Source,Target,Type
17480,18200,Undirected
18200,4608,Undirected
18200,4739,Undirected
18200,4826,Undirected
18200,4844,Undirected
18200,6939,Undirected
18200,7575,Undirected
18200,9266,Undirected
10026,18200,Undirected
18200,2198,Undirected
18200,20144,Undirected
18200,24093,Undirected
18200,38809,Undirected
18200,45345,Undirected
18200,45461,Undirected
18200,56055,Undirected
18200,56089,Undirected
18200,58511,Undirected
131995,18200,Undirected
18200,38456,Undirected
199708,8218,Undirected
14537,199708,Undirected
199708,29608,Undirected
199708,43531,Undirected
15169,18200,Undirected
16509,18200,Undirected
13414,18200,Undirected
18200,7545,Undirected
18200,54113,Undirected
18200,20940,Undirected
