Source,Target,Type
18840,27905,Undirected
18840,52298,Undirected
18840,263177,Undirected
18840,23520,Undirected
11830,19447,Undirected
19447,27742,Undirected
25607,262185,Undirected
25607,27742,Undirected
25607,28036,Undirected
25607,57731,Undirected
20299,27742,Undirected
27742,27811,Undirected
27742,52298,Undirected
262185,27742,Undirected
263177,27742,Undirected
263201,27742,Undirected
262206,27742,Undirected
14754,27761,Undirected
14754,27811,Undirected
14754,27999,Undirected
27999,28036,Undirected
12956,28036,Undirected
14754,28072,Undirected
23520,52242,Undirected
262206,52501,Undirected
262243,52468,Undirected
14754,263201,Undirected
