Source,Target,Type
224,3292,Undirected
224,3943,Undirected
224,6667,Undirected
224,33079,Undirected
224,42708,Undirected
224,50270,Undirected
224,58302,Undirected
224,59863,Undirected
224,2603,Undirected
174,2116,Undirected
1257,2116,Undirected
1299,2116,Undirected
2116,2603,Undirected
2116,3303,Undirected
2116,3307,Undirected
2116,5580,Undirected
2116,6667,Undirected
2116,6939,Undirected
2116,7473,Undirected
2116,8359,Undirected
2116,8928,Undirected
2116,9002,Undirected
12994,2116,Undirected
13243,2116,Undirected
2116,21171,Undirected
2116,21201,Undirected
2116,21297,Undirected
2116,24959,Undirected
2116,25351,Undirected
2116,28824,Undirected
2116,29517,Undirected
2116,31020,Undirected
2116,31264,Undirected
2116,33079,Undirected
2116,34100,Undirected
2116,34822,Undirected
2116,35094,Undirected
2116,39787,Undirected
2116,39792,Undirected
2116,41729,Undirected
2116,41741,Undirected
2116,42022,Undirected
2116,42708,Undirected
2116,43516,Undirected
2116,44381,Undirected
2116,44764,Undirected
2116,47528,Undirected
2116,48144,Undirected
2116,48863,Undirected
2116,49082,Undirected
2116,49193,Undirected
2116,49214,Undirected
2116,49278,Undirected
2116,49409,Undirected
2116,49586,Undirected
2116,49952,Undirected
2116,50484,Undirected
2116,52157,Undirected
2116,56538,Undirected
2116,56828,Undirected
2116,57280,Undirected
2116,58298,Undirected
2116,60052,Undirected
2116,60270,Undirected
2116,60830,Undirected
2116,61275,Undirected
197090,2116,Undirected
197475,2116,Undirected
197519,2116,Undirected
198204,2116,Undirected
199791,2116,Undirected
200163,2116,Undirected
201822,2116,Undirected
201895,2116,Undirected
202008,2116,Undirected
174,2119,Undirected
2119,251,Undirected
2119,286,Undirected
2119,553,Undirected
2119,680,Undirected
1103,2119,Undirected
1257,2119,Undirected
1267,2119,Undirected
2119,2497,Undirected
2119,2603,Undirected
2119,2828,Undirected
2119,3166,Undirected
2119,3216,Undirected
2119,3257,Undirected
2119,3267,Undirected
2119,3292,Undirected
2119,3303,Undirected
2119,3333,Undirected
2119,3549,Undirected
2119,3741,Undirected
2119,4589,Undirected
2119,4637,Undirected
2119,4739,Undirected
2119,5413,Undirected
2119,5580,Undirected
2119,5619,Undirected
2119,6453,Undirected
2119,6461,Undirected
2119,6667,Undirected
2119,6730,Undirected
2119,6830,Undirected
2119,6939,Undirected
2119,8283,Undirected
2119,8359,Undirected
2119,8419,Undirected
2119,8422,Undirected
2119,8426,Undirected
2119,8447,Undirected
2119,8468,Undirected
2119,8492,Undirected
2119,8607,Undirected
2119,8786,Undirected
2119,8928,Undirected
2119,8943,Undirected
2119,9002,Undirected
2119,9158,Undirected
2119,9304,Undirected
2119,9505,Undirected
10026,2119,Undirected
11666,2119,Undirected
12350,2119,Undirected
12501,2119,Undirected
12779,2119,Undirected
12859,2119,Undirected
12874,2119,Undirected
12956,2119,Undirected
12989,2119,Undirected
13030,2119,Undirected
13189,2119,Undirected
13237,2119,Undirected
14537,2119,Undirected
15435,2119,Undirected
15659,2119,Undirected
15932,2119,Undirected
15950,2119,Undirected
16037,2119,Undirected
19151,2119,Undirected
20485,2119,Undirected
20562,2119,Undirected
20764,2119,Undirected
20888,2119,Undirected
20932,2119,Undirected
2119,21297,Undirected
2119,24989,Undirected
2119,25169,Undirected
2119,25220,Undirected
2119,25387,Undirected
2119,25545,Undirected
2119,28726,Undirected
2119,28795,Undirected
2119,28854,Undirected
2119,28908,Undirected
2119,28917,Undirected
2119,29076,Undirected
2119,29208,Undirected
2119,29636,Undirected
2119,29672,Undirected
2119,30132,Undirected
2119,30844,Undirected
2119,31019,Undirected
2119,31133,Undirected
2119,31500,Undirected
2119,33885,Undirected
2119,33891,Undirected
2119,34288,Undirected
2119,34946,Undirected
2119,35041,Undirected
2119,35565,Undirected
2119,35703,Undirected
2119,35742,Undirected
2119,36351,Undirected
2119,38956,Undirected
2119,39052,Undirected
2119,39197,Undirected
2119,39326,Undirected
2119,39656,Undirected
2119,39787,Undirected
2119,39792,Undirected
2119,39912,Undirected
2119,41095,Undirected
2119,41175,Undirected
2119,41410,Undirected
2119,41572,Undirected
2119,41692,Undirected
2119,41695,Undirected
2119,41811,Undirected
2119,41980,Undirected
2119,42303,Undirected
2119,42708,Undirected
2119,43012,Undirected
2119,43096,Undirected
2119,43098,Undirected
2119,43796,Undirected
2119,43905,Undirected
2119,43948,Undirected
2119,44236,Undirected
2119,44381,Undirected
2119,44763,Undirected
2119,47405,Undirected
2119,47953,Undirected
2119,48166,Undirected
2119,48171,Undirected
2119,49310,Undirected
2119,49769,Undirected
2119,49952,Undirected
2119,50171,Undirected
2119,50217,Undirected
2119,51185,Undirected
2119,51634,Undirected
2119,51929,Undirected
2119,51945,Undirected
2119,52157,Undirected
2119,56711,Undirected
2119,60269,Undirected
2119,60376,Undirected
2119,60687,Undirected
2119,60717,Undirected
2119,60745,Undirected
2119,60830,Undirected
2119,61275,Undirected
2119,62225,Undirected
196788,2119,Undirected
196871,2119,Undirected
197090,2119,Undirected
197212,2119,Undirected
197623,2119,Undirected
197909,2119,Undirected
197943,2119,Undirected
198612,2119,Undirected
198965,2119,Undirected
199791,2119,Undirected
199900,2119,Undirected
199990,2119,Undirected
199999,2119,Undirected
200139,2119,Undirected
200168,2119,Undirected
202204,2119,Undirected
202230,2119,Undirected
2119,3356,Undirected
2603,42,Undirected
101,2603,Undirected
251,2603,Undirected
2603,293,Undirected
2603,702,Undirected
2603,714,Undirected
2603,852,Undirected
2603,855,Undirected
1136,2603,Undirected
1248,2603,Undirected
1257,2603,Undirected
1267,2603,Undirected
1299,2603,Undirected
1850,2603,Undirected
1880,2603,Undirected
2110,2603,Undirected
2497,2603,Undirected
2516,2603,Undirected
2529,2603,Undirected
1103,2603,Undirected
1653,2603,Undirected
1741,2603,Undirected
1835,2603,Undirected
2603,2635,Undirected
2603,2686,Undirected
2603,2818,Undirected
2603,2832,Undirected
2603,2847,Undirected
2603,2874,Undirected
2603,2906,Undirected
2603,2907,Undirected
2603,3209,Undirected
2603,3213,Undirected
2603,3216,Undirected
2603,3220,Undirected
2603,3221,Undirected
2603,3223,Undirected
2603,3238,Undirected
2603,3252,Undirected
2603,3267,Undirected
2603,3292,Undirected
2603,3301,Undirected
2603,3303,Undirected
2603,3333,Undirected
2603,3491,Undirected
2603,3741,Undirected
2603,3786,Undirected
2603,4004,Undirected
2603,4181,Undirected
2603,4230,Undirected
2603,4565,Undirected
2603,4589,Undirected
2603,4648,Undirected
2603,4657,Undirected
2603,4725,Undirected
2603,4739,Undirected
2603,4766,Undirected
2603,5381,Undirected
2603,5400,Undirected
2603,5413,Undirected
2603,5459,Undirected
2603,5580,Undirected
2603,5588,Undirected
2603,5607,Undirected
2603,5615,Undirected
2603,5619,Undirected
2603,5650,Undirected
2603,5769,Undirected
2603,6079,Undirected
2603,6128,Undirected
2603,6315,Undirected
2603,6407,Undirected
2603,6509,Undirected
2603,6614,Undirected
2603,6667,Undirected
2603,6730,Undirected
2603,6762,Undirected
2603,6775,Undirected
2603,6830,Undirected
2603,6871,Undirected
2603,6894,Undirected
2603,6908,Undirected
2603,6939,Undirected
2603,7029,Undirected
2603,7332,Undirected
2603,7385,Undirected
2603,7497,Undirected
2603,7539,Undirected
2603,7575,Undirected
2603,7738,Undirected
2603,7795,Undirected
2603,8001,Undirected
2603,8002,Undirected
2603,8075,Undirected
2603,8121,Undirected
2603,8218,Undirected
2603,8283,Undirected
2603,8309,Undirected
2603,8359,Undirected
2603,8403,Undirected
2603,8419,Undirected
2603,8422,Undirected
2603,8426,Undirected
2603,8447,Undirected
2603,8455,Undirected
2603,8468,Undirected
2603,8473,Undirected
2603,8501,Undirected
2603,8530,Undirected
2603,8544,Undirected
2603,8551,Undirected
2603,8553,Undirected
2603,8607,Undirected
2603,8674,Undirected
2603,8676,Undirected
2603,8681,Undirected
2603,8732,Undirected
2603,8737,Undirected
2603,8781,Undirected
2603,8851,Undirected
2603,8896,Undirected
2603,8897,Undirected
2603,8928,Undirected
2603,8943,Undirected
2603,8966,Undirected
2603,9002,Undirected
2603,9009,Undirected
2603,9044,Undirected
2603,9116,Undirected
2603,9120,Undirected
2603,9121,Undirected
2603,9153,Undirected
