Source,Target,Type
174,8529,Undirected
251,8529,Undirected
286,8529,Undirected
553,8529,Undirected
1103,8529,Undirected
1267,8529,Undirected
1299,8529,Undirected
1764,8529,Undirected
3252,8529,Undirected
3267,8529,Undirected
3333,8529,Undirected
3356,8529,Undirected
3491,8529,Undirected
6453,8529,Undirected
6777,8529,Undirected
6939,8529,Undirected
8283,8529,Undirected
8359,8529,Undirected
8426,8529,Undirected
8447,8529,Undirected
8468,8529,Undirected
8492,8529,Undirected
8529,8596,Undirected
8529,9002,Undirected
8529,9189,Undirected
8529,9304,Undirected
10026,8529,Undirected
12486,8529,Undirected
12637,8529,Undirected
12779,8529,Undirected
12859,8529,Undirected
12880,8529,Undirected
12989,8529,Undirected
13237,8529,Undirected
15435,8529,Undirected
20080,8529,Undirected
20562,8529,Undirected
20640,8529,Undirected
20932,8529,Undirected
24989,8529,Undirected
25091,8529,Undirected
25160,8529,Undirected
25220,8529,Undirected
28885,8529,Undirected
28917,8529,Undirected
29076,8529,Undirected
29140,8529,Undirected
29208,8529,Undirected
30132,8529,Undirected
30844,8529,Undirected
31019,8529,Undirected
31025,8529,Undirected
31133,8529,Undirected
31500,8529,Undirected
33891,8529,Undirected
34288,8529,Undirected
36408,8529,Undirected
37100,8529,Undirected
38193,8529,Undirected
38616,8529,Undirected
39792,8529,Undirected
39912,8529,Undirected
41426,8529,Undirected
42708,8529,Undirected
44953,8529,Undirected
48159,8529,Undirected
48166,8529,Undirected
50010,8529,Undirected
50300,8529,Undirected
50304,8529,Undirected
50763,8529,Undirected
51185,8529,Undirected
200130,8529,Undirected
202018,8529,Undirected
8529,9498,Undirected
12713,8529,Undirected
13030,8529,Undirected
15679,28885,Undirected
15679,50010,Undirected
28885,60680,Undirected
201684,28885,Undirected
3356,50010,Undirected
3549,50010,Undirected
50010,6453,Undirected
50010,60680,Undirected
197508,3356,Undirected
197508,3549,Undirected
197508,24753,Undirected
31377,8529,Undirected
