Source,Target,Type
20144,3132,Undirected
26136,3132,Undirected
3132,52234,Undirected
3132,3549,Undirected
22548,3132,Undirected
27678,3132,Undirected
3132,36236,Undirected
3132,42210,Undirected
262253,3132,Undirected
6147,701,Undirected
1239,6147,Undirected
52278,6147,Undirected
12956,6147,Undirected
262182,6147,Undirected
12252,1299,Undirected
12252,2914,Undirected
12252,3257,Undirected
12252,6453,Undirected
12252,23487,Undirected
12252,27809,Undirected
12252,28024,Undirected
12252,28102,Undirected
12252,28513,Undirected
19180,6762,Undirected
12956,19180,Undirected
19180,27809,Undirected
19180,262168,Undirected
19180,27986,Undirected
21575,6762,Undirected
12956,21575,Undirected
22411,3549,Undirected
12956,22411,Undirected
22411,32034,Undirected
27791,3549,Undirected
12956,27843,Undirected
27843,28032,Undirected
27843,57731,Undirected
28032,6762,Undirected
18678,28032,Undirected
27765,28032,Undirected
28032,52400,Undirected
262195,28032,Undirected
262253,28032,Undirected
262589,28032,Undirected
263185,28032,Undirected
263189,28032,Undirected
263224,28032,Undirected
3549,52400,Undirected
12956,262182,Undirected
262182,52489,Undirected
262182,262939,Undirected
262182,263202,Undirected
262210,6762,Undirected
12956,262210,Undirected
262235,3549,Undirected
262253,6762,Undirected
12956,262253,Undirected
