Source,Target,Type
3550,6648,Undirected
3550,9299,Undirected
24298,3550,Undirected
4759,6163,Undirected
17639,4759,Undirected
174,4775,Undirected
4775,701,Undirected
4775,852,Undirected
1239,4775,Undirected
1273,4775,Undirected
2497,4775,Undirected
2516,4775,Undirected
3320,4775,Undirected
3356,4775,Undirected
3491,4775,Undirected
3549,4775,Undirected
4637,4775,Undirected
4657,4775,Undirected
4739,4775,Undirected
4766,4775,Undirected
4775,5580,Undirected
4775,6163,Undirected
4775,7575,Undirected
4775,8359,Undirected
4775,9235,Undirected
4775,9254,Undirected
4775,9505,Undirected
4775,9821,Undirected
10026,4775,Undirected
10879,4775,Undirected
12989,4775,Undirected
14201,4775,Undirected
14361,4775,Undirected
15084,4775,Undirected
15412,4775,Undirected
17452,4775,Undirected
17550,4775,Undirected
17761,4775,Undirected
17811,4775,Undirected
17825,4775,Undirected
17894,4775,Undirected
17895,4775,Undirected
17903,4775,Undirected
18115,4775,Undirected
19151,4775,Undirected
19197,4775,Undirected
19460,4775,Undirected
20258,4775,Undirected
20485,4775,Undirected
21433,4775,Undirected
23689,4775,Undirected
23732,4775,Undirected
23964,4775,Undirected
23994,4775,Undirected
24041,4775,Undirected
24079,4775,Undirected
24102,4775,Undirected
24179,4775,Undirected
24222,4775,Undirected
24383,4775,Undirected
24451,4775,Undirected
24456,4775,Undirected
24471,4775,Undirected
32110,4775,Undirected
36351,4775,Undirected
36408,4775,Undirected
38445,4775,Undirected
38553,4775,Undirected
38609,4775,Undirected
38722,4775,Undirected
38726,4775,Undirected
38822,4775,Undirected
38823,4775,Undirected
39797,4775,Undirected
45177,4775,Undirected
45218,4775,Undirected
45221,4775,Undirected
45343,4775,Undirected
45351,4775,Undirected
45462,4775,Undirected
45799,4775,Undirected
45832,4775,Undirected
45865,4775,Undirected
45936,4775,Undirected
4775,50763,Undirected
4775,55343,Undirected
4775,55402,Undirected
4775,55469,Undirected
4775,55939,Undirected
4775,56095,Undirected
4775,56099,Undirected
4775,58757,Undirected
4775,59366,Undirected
132021,4775,Undirected
132046,4775,Undirected
132199,4775,Undirected
132229,4775,Undirected
132505,4775,Undirected
132595,4775,Undirected
132796,4775,Undirected
132814,4775,Undirected
132843,4775,Undirected
132853,4775,Undirected
133195,4775,Undirected
133377,4775,Undirected
4775,4809,Undirected
4775,6453,Undirected
4775,6939,Undirected
4775,7018,Undirected
4775,7473,Undirected
4775,9304,Undirected
13030,4775,Undirected
18978,4775,Undirected
21859,4775,Undirected
4779,9670,Undirected
4779,9821,Undirected
45600,4779,Undirected
18187,4779,Undirected
4779,55821,Undirected
6163,6648,Undirected
55821,6163,Undirected
174,6648,Undirected
6648,701,Undirected
6648,852,Undirected
1103,6648,Undirected
1267,6648,Undirected
1273,6648,Undirected
1299,6648,Undirected
2516,6648,Undirected
3303,6648,Undirected
3356,6648,Undirected
3491,6648,Undirected
3549,6648,Undirected
3741,6648,Undirected
4637,6648,Undirected
4657,6648,Undirected
4739,6648,Undirected
4766,6648,Undirected
4826,6648,Undirected
4844,6648,Undirected
6453,6648,Undirected
6648,7306,Undirected
6648,7575,Undirected
6648,7611,Undirected
6648,8359,Undirected
6648,8419,Undirected
6648,8422,Undirected
6648,8468,Undirected
6648,9002,Undirected
6648,9304,Undirected
6648,9414,Undirected
6648,9670,Undirected
10141,6648,Undirected
12779,6648,Undirected
12859,6648,Undirected
12989,6648,Undirected
13237,6648,Undirected
13778,6648,Undirected
14537,6648,Undirected
15084,6648,Undirected
17433,6648,Undirected
17921,6648,Undirected
17970,6648,Undirected
18016,6648,Undirected
18187,6648,Undirected
18214,6648,Undirected
18223,6648,Undirected
19151,6648,Undirected
20485,6648,Undirected
21433,6648,Undirected
23660,6648,Undirected
23665,6648,Undirected
23673,6648,Undirected
23732,6648,Undirected
23887,6648,Undirected
23944,6648,Undirected
23964,6648,Undirected
24081,6648,Undirected
24298,6648,Undirected
25091,6648,Undirected
25160,6648,Undirected
29208,6648,Undirected
29611,6648,Undirected
29636,6648,Undirected
30844,6648,Undirected
31133,6648,Undirected
31500,6648,Undirected
33891,6648,Undirected
34288,6648,Undirected
36351,6648,Undirected
36408,6648,Undirected
37100,6648,Undirected
38301,6648,Undirected
38467,6648,Undirected
38471,6648,Undirected
38491,6648,Undirected
38596,6648,Undirected
39202,6648,Undirected
39792,6648,Undirected
41695,6648,Undirected
41811,6648,Undirected
42708,6648,Undirected
42909,6648,Undirected
43531,6648,Undirected
45177,6648,Undirected
45351,6648,Undirected
45464,6648,Undirected
45941,6648,Undirected
50300,6648,Undirected
55343,6648,Undirected
55402,6648,Undirected
55413,6648,Undirected
55565,6648,Undirected
55812,6648,Undirected
55821,6648,Undirected
56730,6648,Undirected
58575,6648,Undirected
58604,6648,Undirected
58757,6648,Undirected
59320,6648,Undirected
59366,6648,Undirected
132021,6648,Undirected
132132,6648,Undirected
132716,6648,Undirected
133334,6648,Undirected
133377,6648,Undirected
202109,6648,Undirected
6648,6939,Undirected
6648,7473,Undirected
6648,7660,Undirected
6648,9318,Undirected
10026,6648,Undirected
13030,6648,Undirected
23930,6648,Undirected
7455,7544,Undirected
7611,9299,Undirected
17639,7611,Undirected
24095,7629,Undirected
132296,7629,Undirected
133369,7629,Undirected
7629,9299,Undirected
9235,9299,Undirected
9254,9299,Undirected
174,9299,Undirected
701,9299,Undirected
1273,9299,Undirected
1299,9299,Undirected
2516,9299,Undirected
2914,9299,Undirected
3356,9299,Undirected
3491,9299,Undirected
4637,9299,Undirected
4657,9299,Undirected
6453,9299,Undirected
6762,9299,Undirected
6939,9299,Undirected
7473,9299,Undirected
9002,9299,Undirected
9299,9497,Undirected
9299,9505,Undirected
10026,9299,Undirected
10096,9299,Undirected
10125,9299,Undirected
10139,9299,Undirected
10141,9299,Undirected
10879,9299,Undirected
14201,9299,Undirected
15084,9299,Undirected
16509,9299,Undirected
17433,9299,Undirected
17452,9299,Undirected
17721,9299,Undirected
17903,9299,Undirected
18018,9299,Undirected
18114,9299,Undirected
18115,9299,Undirected
18194,9299,Undirected
18214,9299,Undirected
18223,9299,Undirected
18360,9299,Undirected
18396,9299,Undirected
20258,9299,Undirected
21433,9299,Undirected
21558,9299,Undirected
23732,9299,Undirected
23862,9299,Undirected
23930,9299,Undirected
24041,9299,Undirected
24079,9299,Undirected
24081,9299,Undirected
24102,9299,Undirected
24109,9299,Undirected
24179,9299,Undirected
24241,9299,Undirected
24298,9299,Undirected
24451,9299,Undirected
24456,9299,Undirected
24471,9299,Undirected
24494,9299,Undirected
33438,9299,Undirected
33680,9299,Undirected
36224,9299,Undirected
38279,9299,Undirected
38301,9299,Undirected
38463,9299,Undirected
38483,9299,Undirected
38553,9299,Undirected
38596,9299,Undirected
38609,9299,Undirected
38722,9299,Undirected
39797,9299,Undirected
45209,9299,Undirected
45218,9299,Undirected
45221,9299,Undirected
45499,9299,Undirected
45600,9299,Undirected
45754,9299,Undirected
45771,9299,Undirected
45799,9299,Undirected
45832,9299,Undirected
45865,9299,Undirected
45941,9299,Undirected
55469,9299,Undirected
55477,9299,Undirected
55506,9299,Undirected
55704,9299,Undirected
55798,9299,Undirected
55821,9299,Undirected
56128,9299,Undirected
56262,9299,Undirected
58437,9299,Undirected
58748,9299,Undirected
58757,9299,Undirected
58884,9299,Undirected
59320,9299,Undirected
131180,9299,Undirected
132021,9299,Undirected
132059,9299,Undirected
132193,9299,Undirected
132206,9299,Undirected
132505,9299,Undirected
132595,9299,Undirected
132716,9299,Undirected
132796,9299,Undirected
132814,9299,Undirected
132843,9299,Undirected
132853,9299,Undirected
132862,9299,Undirected
133132,9299,Undirected
133195,9299,Undirected
133334,9299,Undirected
133377,9299,Undirected
133622,9299,Undirected
133623,9299,Undirected
13030,9299,Undirected
18187,9334,Undirected
23944,9386,Undirected
701,9497,Undirected
21433,9497,Undirected
24106,9497,Undirected
55413,9497,Undirected
3303,9658,Undirected
3356,9658,Undirected
3491,9658,Undirected
3549,9658,Undirected
4637,9658,Undirected
4739,9658,Undirected
4826,9658,Undirected
4844,9658,Undirected
6939,9658,Undirected
7018,9658,Undirected
7473,9658,Undirected
7660,9658,Undirected
9002,9658,Undirected
9304,9658,Undirected
9505,9658,Undirected
4,9658,Undirected
9384,9658,Undirected
9658,9670,Undirected
14454,9658,Undirected
17433,9658,Undirected
17550,9658,Undirected
18360,9658,Undirected
19197,9658,Undirected
20485,9658,Undirected
23606,9658,Undirected
23673,9658,Undirected
23689,9658,Undirected
23732,9658,Undirected
24081,9658,Undirected
24109,9658,Undirected
24383,9658,Undirected
36351,9658,Undirected
38291,9658,Undirected
38334,9658,Undirected
38467,9658,Undirected
38726,9658,Undirected
38823,9658,Undirected
38909,9658,Undirected
45155,9658,Undirected
45664,9658,Undirected
55458,9658,Undirected
55704,9658,Undirected
55798,9658,Undirected
56164,9658,Undirected
56212,9658,Undirected
56269,9658,Undirected
58437,9658,Undirected
58635,9658,Undirected
58677,9658,Undirected
59366,9658,Undirected
132132,9658,Undirected
23930,9670,Undirected
7660,9821,Undirected
17721,9821,Undirected
18188,9821,Undirected
23862,9821,Undirected
24489,9821,Undirected
45600,9821,Undirected
131281,9821,Undirected
132483,9821,Undirected
132792,9821,Undirected
132795,9821,Undirected
132796,9821,Undirected
133064,9821,Undirected
133498,9821,Undirected
18187,9821,Undirected
24167,9821,Undirected
13633,9927,Undirected
58706,9927,Undirected
58884,9927,Undirected
59235,9927,Undirected
133498,9927,Undirected
10026,9927,Undirected
17639,9927,Undirected
23930,9927,Undirected
10096,6453,Undirected
10096,7473,Undirected
132615,17452,Undirected
17476,17639,Undirected
17639,701,Undirected
17639,3491,Undirected
17639,6939,Undirected
17639,9304,Undirected
17639,18188,Undirected
17639,18194,Undirected
17639,23862,Undirected
17639,23944,Undirected
17639,24551,Undirected
17639,55437,Undirected
17639,55477,Undirected
17639,58635,Undirected
17639,58706,Undirected
17639,59244,Undirected
17639,59322,Undirected
131245,17639,Undirected
132193,17639,Undirected
132844,17639,Undirected
133498,17639,Undirected
17721,45209,Undirected
17723,4755,Undirected
174,17895,Undirected
17895,852,Undirected
17895,3356,Undirected
17895,4826,Undirected
17895,6939,Undirected
17895,7575,Undirected
17895,8359,Undirected
17895,9304,Undirected
10026,17895,Undirected
12989,17895,Undirected
17895,24222,Undirected
17895,36351,Undirected
17895,45177,Undirected
17895,55565,Undirected
17970,24306,Undirected
17970,55833,Undirected
17970,23930,Undirected
