Source,Target,Type
251,8781,Undirected
553,8781,Undirected
1103,8781,Undirected
1267,8781,Undirected
1299,8781,Undirected
1764,8781,Undirected
2497,8781,Undirected
2603,8781,Undirected
2914,8781,Undirected
3216,8781,Undirected
3252,8781,Undirected
3267,8781,Undirected
3292,8781,Undirected
3303,8781,Undirected
3333,8781,Undirected
3356,8781,Undirected
3549,8781,Undirected
3741,8781,Undirected
4181,8781,Undirected
4589,8781,Undirected
5413,8781,Undirected
5580,8781,Undirected
5769,8781,Undirected
6079,8781,Undirected
6453,8781,Undirected
6667,8781,Undirected
6730,8781,Undirected
6939,8781,Undirected
8218,8781,Undirected
8283,8781,Undirected
8359,8781,Undirected
8419,8781,Undirected
8422,8781,Undirected
8426,8781,Undirected
8447,8781,Undirected
8468,8781,Undirected
8492,8781,Undirected
8596,8781,Undirected
8607,8781,Undirected
8657,8781,Undirected
5416,8781,Undirected
8781,8943,Undirected
8781,9002,Undirected
8781,9155,Undirected
8781,9189,Undirected
8781,9304,Undirected
10026,8781,Undirected
11039,8781,Undirected
11164,8781,Undirected
11666,8781,Undirected
12350,8781,Undirected
12637,8781,Undirected
12779,8781,Undirected
12859,8781,Undirected
12874,8781,Undirected
12989,8781,Undirected
13030,8781,Undirected
13237,8781,Undirected
13618,8781,Undirected
14361,8781,Undirected
14537,8781,Undirected
15435,8781,Undirected
16559,8781,Undirected
16735,8781,Undirected
19151,8781,Undirected
20080,8781,Undirected
20485,8781,Undirected
20640,8781,Undirected
20932,8781,Undirected
23752,8781,Undirected
24989,8781,Undirected
25074,8781,Undirected
25091,8781,Undirected
25160,8781,Undirected
25220,8781,Undirected
28917,8781,Undirected
29076,8781,Undirected
29140,8781,Undirected
29208,8781,Undirected
29384,8781,Undirected
29611,8781,Undirected
29636,8781,Undirected
29686,8781,Undirected
30132,8781,Undirected
30844,8781,Undirected
31019,8781,Undirected
31025,8781,Undirected
31133,8781,Undirected
31452,8781,Undirected
31500,8781,Undirected
32539,8781,Undirected
33891,8781,Undirected
34288,8781,Undirected
35457,8781,Undirected
35753,8781,Undirected
36351,8781,Undirected
37100,8781,Undirected
39202,8781,Undirected
39273,8781,Undirected
39326,8781,Undirected
39792,8781,Undirected
39912,8781,Undirected
41095,8781,Undirected
41426,8781,Undirected
41695,8781,Undirected
41811,8781,Undirected
42298,8781,Undirected
42708,8781,Undirected
43531,8781,Undirected
44953,8781,Undirected
48166,8781,Undirected
50300,8781,Undirected
50304,8781,Undirected
50763,8781,Undirected
51185,8781,Undirected
51945,8781,Undirected
55944,8781,Undirected
56730,8781,Undirected
59605,8781,Undirected
60185,8781,Undirected
62123,8781,Undirected
198499,8781,Undirected
200130,8781,Undirected
202018,8781,Undirected
202109,8781,Undirected
15412,8781,Undirected
16265,8781,Undirected
20562,8781,Undirected
2153,29384,Undirected
11537,29384,Undirected
15412,29384,Undirected
29384,47901,Undirected
198499,29384,Undirected
42298,42415,Undirected
42298,47901,Undirected
1273,48728,Undirected
3356,48728,Undirected
48728,60185,Undirected
48728,57187,Undirected
1103,62402,Undirected
2603,62402,Undirected
20388,62402,Undirected
198499,62402,Undirected
15169,8781,Undirected
54888,8781,Undirected
43852,8781,Undirected
22822,8781,Undirected
13414,8781,Undirected
10310,8781,Undirected
