Source,Target,Type
174,6700,Undirected
5483,6700,Undirected
6700,6939,Undirected
6700,8492,Undirected
13091,6700,Undirected
15982,6700,Undirected
39377,6700,Undirected
41404,6700,Undirected
41507,6700,Undirected
43547,6700,Undirected
48166,6700,Undirected
48688,6700,Undirected
49198,6700,Undirected
52026,6700,Undirected
56452,6700,Undirected
56816,6700,Undirected
197021,6700,Undirected
6700,8400,Undirected
6701,8492,Undirected
25091,6701,Undirected
48166,6701,Undirected
8270,8400,Undirected
31042,8270,Undirected
8295,8771,Undirected
31042,8295,Undirected
553,8400,Undirected
1103,8400,Undirected
1267,8400,Undirected
1299,8400,Undirected
1764,8400,Undirected
1853,8400,Undirected
2914,8400,Undirected
3216,8400,Undirected
3252,8400,Undirected
3257,8400,Undirected
3267,8400,Undirected
3303,8400,Undirected
3333,8400,Undirected
3356,8400,Undirected
3549,8400,Undirected
3741,8400,Undirected
6762,8400,Undirected
6777,8400,Undirected
6939,8400,Undirected
8283,8400,Undirected
8359,8400,Undirected
8400,8419,Undirected
8400,8426,Undirected
8400,8447,Undirected
8400,8468,Undirected
8400,8492,Undirected
8400,8596,Undirected
8400,8657,Undirected
8400,8771,Undirected
8400,9002,Undirected
8400,9081,Undirected
8400,9119,Undirected
8400,9125,Undirected
8400,9189,Undirected
8400,9304,Undirected
8400,9505,Undirected
10026,8400,Undirected
12637,8400,Undirected
12779,8400,Undirected
12859,8400,Undirected
12989,8400,Undirected
13091,8400,Undirected
13237,8400,Undirected
14537,8400,Undirected
15435,8400,Undirected
15832,8400,Undirected
15926,8400,Undirected
15982,8400,Undirected
19151,8400,Undirected
20080,8400,Undirected
20485,8400,Undirected
20562,8400,Undirected
20640,8400,Undirected
20932,8400,Undirected
24989,8400,Undirected
25091,8400,Undirected
25144,8400,Undirected
25160,8400,Undirected
25220,8400,Undirected
25431,8400,Undirected
25464,8400,Undirected
25467,8400,Undirected
28917,8400,Undirected
28964,8400,Undirected
29076,8400,Undirected
29140,8400,Undirected
29163,8400,Undirected
29170,8400,Undirected
29208,8400,Undirected
29611,8400,Undirected
29636,8400,Undirected
30132,8400,Undirected
30844,8400,Undirected
31019,8400,Undirected
31025,8400,Undirected
31133,8400,Undirected
31161,8400,Undirected
31500,8400,Undirected
31716,8400,Undirected
33891,8400,Undirected
33983,8400,Undirected
34096,8400,Undirected
34131,8400,Undirected
34258,8400,Undirected
34288,8400,Undirected
34404,8400,Undirected
34772,8400,Undirected
35573,8400,Undirected
35796,8400,Undirected
36351,8400,Undirected
37100,8400,Undirected
