Source,Target,Type
17927,3491,Undirected
10031,17927,Undirected
133606,17927,Undirected
174,8895,Undirected
1239,8895,Undirected
3257,8895,Undirected
3356,8895,Undirected
3549,8895,Undirected
5400,8895,Undirected
5511,8895,Undirected
6453,8895,Undirected
6762,8895,Undirected
15505,8895,Undirected
47805,8895,Undirected
50517,8895,Undirected
56604,8895,Undirected
56714,8895,Undirected
39386,8895,Undirected
48237,8895,Undirected
12529,25233,Undirected
12529,34397,Undirected
15505,35819,Undirected
15505,48237,Undirected
24731,34397,Undirected
25019,35819,Undirected
25019,39891,Undirected
25019,41594,Undirected
25019,44614,Undirected
25019,44689,Undirected
25019,47794,Undirected
25019,48932,Undirected
25019,49474,Undirected
25019,50517,Undirected
25019,57112,Undirected
25019,57968,Undirected
25019,60050,Undirected
25019,60462,Undirected
25019,60621,Undirected
198254,25019,Undirected
25019,39386,Undirected
25233,31699,Undirected
25233,35338,Undirected
25233,39370,Undirected
25233,41739,Undirected
25233,42591,Undirected
25233,42684,Undirected
25233,44138,Undirected
25233,47805,Undirected
25233,48937,Undirected
25233,49240,Undirected
25233,50280,Undirected
25233,51670,Undirected
25233,54363,Undirected
25233,57458,Undirected
25233,57900,Undirected
25233,60161,Undirected
199001,25233,Undirected
200025,25233,Undirected
25233,39386,Undirected
25233,47794,Undirected
25438,35819,Undirected
25438,39386,Undirected
25438,48237,Undirected
28938,43316,Undirected
28938,35753,Undirected
28938,39386,Undirected
29160,48695,Undirected
29255,35819,Undirected
29255,48237,Undirected
29684,3573,Undirected
29684,39358,Undirected
29684,41054,Undirected
29684,42182,Undirected
29684,45246,Undirected
29684,49610,Undirected
29684,57689,Undirected
197989,29684,Undirected
29684,35753,Undirected
29684,35819,Undirected
29684,39386,Undirected
29684,48237,Undirected
29690,35819,Undirected
29690,39386,Undirected
29690,48237,Undirected
30815,35753,Undirected
30815,35819,Undirected
30815,39386,Undirected
30815,48237,Undirected
30857,35753,Undirected
30857,39386,Undirected
174,30981,Undirected
1299,30981,Undirected
31416,41132,Undirected
31416,35753,Undirected
31699,35753,Undirected
31699,35819,Undirected
31699,48237,Undirected
34397,43316,Undirected
34397,43378,Undirected
34397,44465,Undirected
34397,48932,Undirected
34397,48937,Undirected
34397,49240,Undirected
34397,60055,Undirected
34397,35819,Undirected
34397,39386,Undirected
34397,48237,Undirected
34400,35819,Undirected
34400,48237,Undirected
34426,51975,Undirected
34426,35819,Undirected
34426,39386,Undirected
34426,48237,Undirected
35338,35819,Undirected
35338,48237,Undirected
35388,39386,Undirected
3356,35753,Undirected
3491,35753,Undirected
3549,35753,Undirected
35753,6453,Undirected
35753,8781,Undirected
35753,8966,Undirected
35753,5080,Undirected
35753,39015,Undirected
35753,39358,Undirected
35753,39919,Undirected
35753,41176,Undirected
35753,41472,Undirected
35753,41594,Undirected
35753,41810,Undirected
35753,42428,Undirected
35753,42591,Undirected
35753,43531,Undirected
35753,43706,Undirected
35753,43775,Undirected
35753,47146,Undirected
35753,47327,Undirected
35753,47606,Undirected
35753,47794,Undirected
35753,47887,Undirected
35753,48937,Undirected
35753,54363,Undirected
35753,60050,Undirected
35753,60462,Undirected
196848,35753,Undirected
197989,35753,Undirected
199001,35753,Undirected
199963,35753,Undirected
35753,39386,Undirected
174,35819,Undirected
251,35819,Undirected
3257,35819,Undirected
3356,35819,Undirected
3549,35819,Undirected
35819,5511,Undirected
35819,6453,Undirected
35819,6939,Undirected
35819,8966,Undirected
11039,35819,Undirected
3573,35819,Undirected
12486,35819,Undirected
35819,36351,Undirected
35819,39228,Undirected
35819,39370,Undirected
35819,39432,Undirected
35819,41176,Undirected
35819,41739,Undirected
35819,42943,Undirected
35819,43373,Undirected
35819,43378,Undirected
35819,44623,Undirected
35819,44689,Undirected
35819,44995,Undirected
35819,47423,Undirected
35819,47805,Undirected
35819,48237,Undirected
35819,48840,Undirected
35819,48932,Undirected
35819,48937,Undirected
35819,49805,Undirected
35819,50104,Undirected
35819,50999,Undirected
35819,51670,Undirected
35819,56714,Undirected
35819,57458,Undirected
