Source,Target,Type
174,2107,Undirected
2107,3549,Undirected
12785,2107,Undirected
2107,26415,Undirected
2107,28933,Undirected
2107,50195,Undirected
2107,51988,Undirected
2107,58046,Undirected
2107,3356,Undirected
20965,2107,Undirected
1299,3212,Undirected
1853,3212,Undirected
3212,3303,Undirected
3212,5603,Undirected
3212,6720,Undirected
3212,8596,Undirected
3212,8928,Undirected
3212,9002,Undirected
12644,3212,Undirected
13237,3212,Undirected
24747,3212,Undirected
25017,3212,Undirected
25034,3212,Undirected
28682,3212,Undirected
31060,3212,Undirected
3212,33929,Undirected
3212,39912,Undirected
3212,41543,Undirected
3212,42560,Undirected
3212,42613,Undirected
3212,43061,Undirected
3212,43128,Undirected
3212,44647,Undirected
3212,48653,Undirected
3212,50634,Undirected
3212,51143,Undirected
3212,56513,Undirected
3212,57291,Undirected
3212,57554,Undirected
3212,57623,Undirected
196846,3212,Undirected
3212,6939,Undirected
3212,8591,Undirected
31042,3212,Undirected
5435,6764,Undirected
29121,5435,Undirected
42681,5435,Undirected
44073,5435,Undirected
48419,5435,Undirected
49618,5435,Undirected
196912,5435,Undirected
197864,5435,Undirected
12778,5435,Undirected
251,5603,Undirected
1299,5603,Undirected
2914,5603,Undirected
3320,5603,Undirected
3356,5603,Undirected
3549,5603,Undirected
5603,6730,Undirected
5603,6764,Undirected
5603,6939,Undirected
5603,8307,Undirected
5603,8591,Undirected
5603,9001,Undirected
5603,9146,Undirected
12874,5603,Undirected
13030,5603,Undirected
15767,5603,Undirected
15822,5603,Undirected
15889,5603,Undirected
16016,5603,Undirected
16104,5603,Undirected
16333,5603,Undirected
20526,5603,Undirected
20691,5603,Undirected
20892,5603,Undirected
21107,5603,Undirected
21246,5603,Undirected
21441,5603,Undirected
24627,5603,Undirected
24629,5603,Undirected
25020,5603,Undirected
25034,5603,Undirected
25059,5603,Undirected
25066,5603,Undirected
25149,5603,Undirected
25173,5603,Undirected
25467,5603,Undirected
25499,5603,Undirected
25541,5603,Undirected
28933,5603,Undirected
28984,5603,Undirected
28985,5603,Undirected
29015,5603,Undirected
29089,5603,Undirected
29276,5603,Undirected
29374,5603,Undirected
31060,5603,Undirected
31134,5603,Undirected
31545,5603,Undirected
33850,5603,Undirected
33891,5603,Undirected
33918,5603,Undirected
34547,5603,Undirected
34717,5603,Undirected
34772,5603,Undirected
35023,5603,Undirected
35047,5603,Undirected
39187,5603,Undirected
39320,5603,Undirected
39387,5603,Undirected
39497,5603,Undirected
39611,5603,Undirected
41095,5603,Undirected
41104,5603,Undirected
41182,5603,Undirected
41505,5603,Undirected
41582,5603,Undirected
41630,5603,Undirected
41640,5603,Undirected
41692,5603,Undirected
41716,5603,Undirected
41916,5603,Undirected
41970,5603,Undirected
42757,5603,Undirected
42791,5603,Undirected
42948,5603,Undirected
43351,5603,Undirected
43663,5603,Undirected
43750,5603,Undirected
43854,5603,Undirected
44085,5603,Undirected
44524,5603,Undirected
44632,5603,Undirected
44730,5603,Undirected
47903,5603,Undirected
47904,5603,Undirected
48398,5603,Undirected
48774,5603,Undirected
49754,5603,Undirected
49927,5603,Undirected
51295,5603,Undirected
51644,5603,Undirected
51803,5603,Undirected
51816,5603,Undirected
5603,56481,Undirected
5603,56681,Undirected
5603,56884,Undirected
5603,57291,Undirected
5603,57427,Undirected
5603,57517,Undirected
5603,57554,Undirected
196772,5603,Undirected
196846,5603,Undirected
197209,5603,Undirected
197266,5603,Undirected
197391,5603,Undirected
197470,5603,Undirected
197536,5603,Undirected
197635,5603,Undirected
197663,5603,Undirected
197679,5603,Undirected
197791,5603,Undirected
197796,5603,Undirected
197843,5603,Undirected
197881,5603,Undirected
198011,5603,Undirected
198298,5603,Undirected
198307,5603,Undirected
198470,5603,Undirected
198644,5603,Undirected
199638,5603,Undirected
199951,5603,Undirected
16265,5603,Undirected
174,8558,Undirected
12778,8558,Undirected
174,8591,Undirected
251,8591,Undirected
553,8591,Undirected
1267,8591,Undirected
1853,8591,Undirected
2914,8591,Undirected
3252,8591,Undirected
3303,8591,Undirected
5580,8591,Undirected
6720,8591,Undirected
6730,8591,Undirected
6939,8591,Undirected
8422,8591,Undirected
8426,8591,Undirected
8447,8591,Undirected
8468,8591,Undirected
8492,8591,Undirected
8591,8596,Undirected
8591,8657,Undirected
8591,8732,Undirected
8591,9002,Undirected
8591,9189,Undirected
12779,8591,Undirected
12859,8591,Undirected
12874,8591,Undirected
13237,8591,Undirected
15822,8591,Undirected
16104,8591,Undirected
20485,8591,Undirected
20640,8591,Undirected
21401,8591,Undirected
24629,8591,Undirected
24908,8591,Undirected
24989,8591,Undirected
25066,8591,Undirected
25091,8591,Undirected
25220,8591,Undirected
25499,8591,Undirected
28682,8591,Undirected
28850,8591,Undirected
28917,8591,Undirected
28985,8591,Undirected
29051,8591,Undirected
29076,8591,Undirected
29140,8591,Undirected
29208,8591,Undirected
29485,8591,Undirected
29686,8591,Undirected
30844,8591,Undirected
31019,8591,Undirected
31025,8591,Undirected
31133,8591,Undirected
31500,8591,Undirected
31687,8591,Undirected
34288,8591,Undirected
34367,8591,Undirected
36351,8591,Undirected
39387,8591,Undirected
39727,8591,Undirected
39792,8591,Undirected
39912,8591,Undirected
41505,8591,Undirected
41716,8591,Undirected
42708,8591,Undirected
42948,8591,Undirected
43128,8591,Undirected
43164,8591,Undirected
43430,8591,Undirected
44073,8591,Undirected
44524,8591,Undirected
44647,8591,Undirected
44968,8591,Undirected
46786,8591,Undirected
47904,8591,Undirected
47917,8591,Undirected
47993,8591,Undirected
48166,8591,Undirected
48772,8591,Undirected
48894,8591,Undirected
49896,8591,Undirected
50093,8591,Undirected
56695,8591,Undirected
57517,8591,Undirected
57854,8591,Undirected
60973,8591,Undirected
196895,8591,Undirected
197545,8591,Undirected
198061,8591,Undirected
198524,8591,Undirected
198644,8591,Undirected
198827,8591,Undirected
199071,8591,Undirected
201522,8591,Undirected
13030,8591,Undirected
50384,8591,Undirected
12644,8727,Undirected
34779,8727,Undirected
9001,9119,Undirected
553,9119,Undirected
1239,9119,Undirected
1267,9119,Undirected
1764,9119,Undirected
1853,9119,Undirected
3252,9119,Undirected
3356,9119,Undirected
3549,9119,Undirected
4589,9119,Undirected
5391,9119,Undirected
5580,9119,Undirected
6667,9119,Undirected
6720,9119,Undirected
6730,9119,Undirected
6939,9119,Undirected
8218,9119,Undirected
8359,9119,Undirected
8400,9119,Undirected
8426,9119,Undirected
8447,9119,Undirected
8468,9119,Undirected
8492,9119,Undirected
8596,9119,Undirected
8732,9119,Undirected
8928,9119,Undirected
9002,9119,Undirected
9050,9119,Undirected
9119,9189,Undirected
12779,9119,Undirected
12859,9119,Undirected
12874,9119,Undirected
13030,9119,Undirected
13237,9119,Undirected
15767,9119,Undirected
15946,9119,Undirected
16184,9119,Undirected
19151,9119,Undirected
20485,9119,Undirected
20526,9119,Undirected
20640,9119,Undirected
20691,9119,Undirected
21441,9119,Undirected
24908,9119,Undirected
24989,9119,Undirected
25020,9119,Undirected
25091,9119,Undirected
25149,9119,Undirected
25220,9119,Undirected
25303,9119,Undirected
25541,9119,Undirected
28766,9119,Undirected
28917,9119,Undirected
28951,9119,Undirected
29076,9119,Undirected
29140,9119,Undirected
29208,9119,Undirected
29374,9119,Undirected
29686,9119,Undirected
30844,9119,Undirected
31019,9119,Undirected
31025,9119,Undirected
31095,9119,Undirected
31133,9119,Undirected
31500,9119,Undirected
33918,9119,Undirected
34288,9119,Undirected
35099,9119,Undirected
35186,9119,Undirected
35343,9119,Undirected
39187,9119,Undirected
39792,9119,Undirected
39912,9119,Undirected
41582,9119,Undirected
41692,9119,Undirected
42473,9119,Undirected
42700,9119,Undirected
42708,9119,Undirected
42757,9119,Undirected
43034,9119,Undirected
43430,9119,Undirected
43854,9119,Undirected
44455,9119,Undirected
44549,9119,Undirected
44632,9119,Undirected
47336,9119,Undirected
47360,9119,Undirected
47666,9119,Undirected
48166,9119,Undirected
48398,9119,Undirected
49015,9119,Undirected
49402,9119,Undirected
50815,9119,Undirected
51573,9119,Undirected
51577,9119,Undirected
51615,9119,Undirected
51735,9119,Undirected
56481,9119,Undirected
56651,9119,Undirected
60973,9119,Undirected
196837,9119,Undirected
198492,9119,Undirected
199051,9119,Undirected
202137,9119,Undirected
33924,9119,Undirected
12644,16477,Undirected
12644,31095,Undirected
12644,31134,Undirected
12644,34367,Undirected
12644,34717,Undirected
12644,39727,Undirected
12644,44993,Undirected
12644,50344,Undirected
12644,50815,Undirected
12644,56635,Undirected
12644,196895,Undirected
12778,174,Undirected
12778,1299,Undirected
12778,29273,Undirected
12778,35471,Undirected
12778,41427,Undirected
12778,44549,Undirected
12778,44667,Undirected
12778,47676,Undirected
12778,47903,Undirected
12778,48016,Undirected
12778,49725,Undirected
12778,51790,Undirected
12778,52035,Undirected
12778,60114,Undirected
12778,197441,Undirected
12778,197470,Undirected
12778,198298,Undirected
12778,198524,Undirected
12778,199638,Undirected
12785,34779,Undirected
15664,34779,Undirected
15664,43061,Undirected
15889,16016,Undirected
16016,174,Undirected
16016,8447,Undirected
16016,25059,Undirected
16016,29121,Undirected
16016,34488,Undirected
16016,41828,Undirected
16016,43164,Undirected
16016,43427,Undirected
16016,44667,Undirected
16016,44823,Undirected
16016,49015,Undirected
16016,49754,Undirected
16016,49853,Undirected
16016,51565,Undirected
