Source,Target,Type
12127,12956,Undirected
12127,13682,Undirected
16592,6487,Undirected
16592,26617,Undirected
16592,57731,Undirected
1299,16906,Undirected
17079,26617,Undirected
17079,262206,Undirected
14754,27708,Undirected
12956,27773,Undirected
20299,27773,Undirected
27773,27903,Undirected
262206,27773,Undirected
14754,27785,Undirected
27900,701,Undirected
23520,27903,Undirected
27903,33576,Undirected
14754,28074,Undirected
262199,28076,Undirected
262179,52276,Undirected
23520,262199,Undirected
14754,262204,Undirected
