Source,Target,Type
12143,6453,Undirected
12143,37278,Undirected
12143,37349,Undirected
12143,37423,Undirected
12143,327771,Undirected
12143,37662,Undirected
22354,36930,Undirected
22354,37100,Undirected
31810,37084,Undirected
32860,36930,Undirected
33765,6453,Undirected
33765,6762,Undirected
33765,37120,Undirected
33765,37362,Undirected
33765,37419,Undirected
327706,33765,Undirected
327730,33765,Undirected
33765,37100,Undirected
33772,37084,Undirected
33772,37100,Undirected
33791,37213,Undirected
3491,36908,Undirected
36908,36994,Undirected
36909,36930,Undirected
36909,37084,Undirected
36909,37100,Undirected
3356,36930,Undirected
3549,36930,Undirected
36930,6453,Undirected
36930,8966,Undirected
15399,36930,Undirected
36902,36930,Undirected
36930,37213,Undirected
36930,37454,Undirected
327692,36930,Undirected
36930,37662,Undirected
36965,37045,Undirected
36965,37362,Undirected
327730,36965,Undirected
36965,37100,Undirected
37013,9498,Undirected
37013,37419,Undirected
15399,37027,Undirected
29032,37027,Undirected
29039,37027,Undirected
36915,37027,Undirected
37027,37071,Undirected
37027,37084,Undirected
37027,37115,Undirected
37027,37684,Undirected
327739,37027,Undirected
37035,6453,Undirected
37035,37124,Undirected
262206,37035,Undirected
27319,37045,Undirected
37045,37084,Undirected
37084,6453,Undirected
15399,37084,Undirected
33763,37084,Undirected
10798,37084,Undirected
25429,37084,Undirected
37084,37142,Undirected
37084,37143,Undirected
37084,37185,Undirected
37084,37349,Undirected
37084,37364,Undirected
37084,37374,Undirected
37084,37496,Undirected
37084,37545,Undirected
37084,37569,Undirected
37084,37592,Undirected
327774,37084,Undirected
327792,37084,Undirected
37084,37100,Undirected
37084,37662,Undirected
37101,6453,Undirected
327714,37101,Undirected
37100,37126,Undirected
3491,37133,Undirected
37133,4788,Undirected
37133,9498,Undirected
37133,37287,Undirected
37133,37440,Undirected
37100,37149,Undirected
36944,37182,Undirected
37182,37496,Undirected
37100,37213,Undirected
1299,327795,Undirected
327795,6453,Undirected
