Source,Target,Type
20294,9129,Undirected
20294,36997,Undirected
33771,36977,Undirected
10798,36977,Undirected
36977,36997,Undirected
36977,37075,Undirected
36977,37273,Undirected
36991,5511,Undirected
12455,36991,Undirected
36991,37386,Undirected
36991,37446,Undirected
36991,37683,Undirected
30844,36997,Undirected
29039,36997,Undirected
36997,37113,Undirected
327724,36997,Undirected
12491,37048,Undirected
30844,37048,Undirected
37063,6762,Undirected
37063,37122,Undirected
37063,37609,Undirected
37063,37610,Undirected
327727,37063,Undirected
37063,37100,Undirected
37063,37273,Undirected
30844,37075,Undirected
33771,37075,Undirected
37075,37273,Undirected
37075,57731,Undirected
37113,37273,Undirected
37027,37115,Undirected
3549,37273,Undirected
37273,4558,Undirected
37273,8966,Undirected
37273,9498,Undirected
33770,37273,Undirected
21491,37273,Undirected
26754,37273,Undirected
29039,37273,Undirected
36915,37273,Undirected
37044,37273,Undirected
37156,37273,Undirected
37273,37354,Undirected
37273,37578,Undirected
37273,37609,Undirected
327717,37273,Undirected
327724,37273,Undirected
21491,37408,Undirected
2905,37446,Undirected
16637,37446,Undirected
30844,37516,Undirected
37100,37516,Undirected
21491,37683,Undirected
327687,36944,Undirected
327690,37282,Undirected
327690,37637,Undirected
327692,36930,Undirected
327744,37100,Undirected
10798,21491,Undirected
21491,26754,Undirected
21491,37662,Undirected
21491,57731,Undirected
29032,30844,Undirected
29032,37027,Undirected
29039,37027,Undirected
36997,37610,Undirected
21491,36944,Undirected
21491,37100,Undirected
