Source,Target,Type
1797,20144,Undirected
1797,6057,Undirected
1797,27750,Undirected
174,6057,Undirected
6057,701,Undirected
1239,6057,Undirected
1299,6057,Undirected
2914,6057,Undirected
3356,6057,Undirected
3549,6057,Undirected
6057,6939,Undirected
11058,6057,Undirected
12989,6057,Undirected
14234,6057,Undirected
20255,6057,Undirected
28000,6057,Undirected
36351,6057,Undirected
52241,6057,Undirected
53237,6057,Undirected
12956,6057,Undirected
262195,6057,Undirected
14234,19422,Undirected
14234,20002,Undirected
18667,19422,Undirected
18667,20002,Undirected
19422,7303,Undirected
12956,19422,Undirected
19422,28000,Undirected
19422,52366,Undirected
19422,61442,Undirected
11664,20002,Undirected
20002,52241,Undirected
20002,52366,Undirected
20255,3549,Undirected
20255,7303,Undirected
20255,52241,Undirected
20255,52366,Undirected
174,27750,Undirected
27750,293,Undirected
27750,2907,Undirected
27750,6509,Undirected
10490,27750,Undirected
11537,27750,Undirected
20080,27750,Undirected
20965,27750,Undirected
23148,27750,Undirected
1916,27750,Undirected
27750,3597,Undirected
11340,27750,Undirected
18592,27750,Undirected
20312,27750,Undirected
27750,27807,Undirected
27750,27817,Undirected
27750,27841,Undirected
27750,27929,Undirected
27750,52470,Undirected
27750,54308,Undirected
20312,27859,Undirected
11556,27913,Undirected
27916,3549,Undirected
27814,27916,Undirected
28000,52224,Undirected
251,28001,Undirected
1916,28001,Undirected
14840,28001,Undirected
20121,28001,Undirected
22548,28001,Undirected
28001,28138,Undirected
28001,28294,Undirected
28001,28303,Undirected
28001,28329,Undirected
28001,28571,Undirected
28001,52610,Undirected
28001,52678,Undirected
28001,52720,Undirected
28001,52888,Undirected
28001,53070,Undirected
28001,53175,Undirected
28001,53237,Undirected
262354,28001,Undirected
262394,28001,Undirected
262750,28001,Undirected
262757,28001,Undirected
27781,28054,Undirected
27759,52243,Undirected
3790,52289,Undirected
22548,61455,Undirected
27678,61455,Undirected
15169,6057,Undirected
