Source,Target,Type
34250,8193,Undirected
12365,28910,Undirected
12365,31203,Undirected
15588,34250,Undirected
25389,34250,Undirected
28910,29385,Undirected
28910,30728,Undirected
28910,31203,Undirected
31203,42654,Undirected
31203,47141,Undirected
31203,49146,Undirected
31203,49235,Undirected
31203,50025,Undirected
31203,50729,Undirected
31492,34718,Undirected
28910,34250,Undirected
34250,42017,Undirected
34250,47752,Undirected
34250,48979,Undirected
34250,61019,Undirected
198107,34250,Undirected
28910,34718,Undirected
34718,39032,Undirected
34718,39231,Undirected
34718,42017,Undirected
34718,43060,Undirected
34718,43533,Undirected
34718,47141,Undirected
34718,49529,Undirected
34718,56759,Undirected
34718,57016,Undirected
34718,57764,Undirected
34718,58254,Undirected
34718,59668,Undirected
34718,61019,Undirected
197917,34718,Undirected
28910,39032,Undirected
201772,39032,Undirected
28910,41202,Undirected
28910,47452,Undirected
47141,49171,Undirected
28910,49273,Undirected
