Source,Target,Type
11081,22069,Undirected
174,40034,Undirected
40034,852,Undirected
3356,40034,Undirected
3491,40034,Undirected
3549,40034,Undirected
3900,40034,Undirected
40034,4323,Undirected
40034,4755,Undirected
40034,6461,Undirected
40034,9498,Undirected
11666,40034,Undirected
17444,40034,Undirected
18101,40034,Undirected
36351,40034,Undirected
40034,42910,Undirected
40034,55410,Undirected
54299,6939,Undirected
62662,6939,Undirected
26484,62662,Undirected
59270,62662,Undirected
1299,62741,Undirected
39792,44571,Undirected
56805,8681,Undirected
16150,56805,Undirected
20521,56805,Undirected
