Source,Target,Type
7552,852,Undirected
1273,7552,Undirected
2914,7552,Undirected
3491,7552,Undirected
4134,7552,Undirected
4637,7552,Undirected
4657,7552,Undirected
4739,7552,Undirected
4826,7552,Undirected
4844,7552,Undirected
6453,7552,Undirected
6939,7552,Undirected
7473,7552,Undirected
7552,7575,Undirected
7552,8359,Undirected
7552,9002,Undirected
7552,9304,Undirected
10026,7552,Undirected
12989,7552,Undirected
15412,7552,Undirected
20485,7552,Undirected
23673,7552,Undirected
23899,7552,Undirected
23902,7552,Undirected
24035,7552,Undirected
24066,7552,Undirected
24086,7552,Undirected
24089,7552,Undirected
36351,7552,Undirected
38623,7552,Undirected
38726,7552,Undirected
38730,7552,Undirected
38731,7552,Undirected
38736,7552,Undirected
38737,7552,Undirected
38738,7552,Undirected
38861,7552,Undirected
45177,7552,Undirected
45541,7552,Undirected
45542,7552,Undirected
45557,7552,Undirected
45901,7552,Undirected
55306,7552,Undirected
55308,7552,Undirected
55311,7552,Undirected
55313,7552,Undirected
55315,7552,Undirected
55317,7552,Undirected
56141,7552,Undirected
131267,7552,Undirected
131343,7552,Undirected
131347,7552,Undirected
131357,7552,Undirected
131364,7552,Undirected
131365,7552,Undirected
131368,7552,Undirected
131375,7552,Undirected
131389,7552,Undirected
131401,7552,Undirected
131405,7552,Undirected
131412,7552,Undirected
131415,7552,Undirected
132132,7552,Undirected
133606,7552,Undirected
7552,7660,Undirected
4739,7602,Undirected
4826,7602,Undirected
6939,7602,Undirected
7602,9002,Undirected
7602,9304,Undirected
7602,9505,Undirected
20485,7602,Undirected
23673,7602,Undirected
24085,7602,Undirected
38248,7602,Undirected
38729,7602,Undirected
45543,7602,Undirected
45545,7602,Undirected
45547,7602,Undirected
45903,7602,Undirected
55314,7602,Undirected
56141,7602,Undirected
7602,7660,Undirected
7602,9498,Undirected
38726,7602,Undirected
45896,7602,Undirected
2516,7643,Undirected
2914,7643,Undirected
4657,7643,Undirected
7473,7643,Undirected
7643,9505,Undirected
23899,7643,Undirected
23902,7643,Undirected
23962,7643,Undirected
23999,7643,Undirected
24066,7643,Undirected
24085,7643,Undirected
24089,7643,Undirected
24173,7643,Undirected
24174,7643,Undirected
38235,7643,Undirected
38247,7643,Undirected
38248,7643,Undirected
38252,7643,Undirected
38726,7643,Undirected
38727,7643,Undirected
38736,7643,Undirected
38737,7643,Undirected
45543,7643,Undirected
45548,7643,Undirected
45552,7643,Undirected
45896,7643,Undirected
45901,7643,Undirected
45902,7643,Undirected
45903,7643,Undirected
55306,7643,Undirected
55318,7643,Undirected
55323,7643,Undirected
56142,7643,Undirected
56143,7643,Undirected
56148,7643,Undirected
56150,7643,Undirected
56156,7643,Undirected
131128,7643,Undirected
131130,7643,Undirected
131131,7643,Undirected
131342,7643,Undirected
131343,7643,Undirected
131354,7643,Undirected
131357,7643,Undirected
131360,7643,Undirected
131362,7643,Undirected
131364,7643,Undirected
131368,7643,Undirected
131372,7643,Undirected
131376,7643,Undirected
131381,7643,Undirected
131383,7643,Undirected
131385,7643,Undirected
131389,7643,Undirected
131397,7643,Undirected
131398,7643,Undirected
131400,7643,Undirected
131401,7643,Undirected
131402,7643,Undirected
131405,7643,Undirected
131411,7643,Undirected
131413,7643,Undirected
131414,7643,Undirected
131415,7643,Undirected
131420,7643,Undirected
18403,7643,Undirected
45899,7643,Undirected
1273,18403,Undirected
18403,2914,Undirected
18403,3320,Undirected
18403,3491,Undirected
18403,4134,Undirected
18403,4637,Undirected
18403,4739,Undirected
18403,4766,Undirected
18403,4826,Undirected
18403,6453,Undirected
18403,6939,Undirected
18403,7473,Undirected
18403,7660,Undirected
18403,9002,Undirected
18403,9304,Undirected
18403,9498,Undirected
18403,9505,Undirected
15412,18403,Undirected
18403,9873,Undirected
18403,9902,Undirected
10226,18403,Undirected
18403,20485,Undirected
18403,23673,Undirected
18403,23999,Undirected
18403,24085,Undirected
18403,24218,Undirected
18403,24492,Undirected
18403,38010,Undirected
18403,38209,Undirected
18403,38244,Undirected
18403,38251,Undirected
18403,38726,Undirected
18403,38730,Undirected
18403,38735,Undirected
18403,38861,Undirected
18403,45348,Undirected
18403,45538,Undirected
18403,45541,Undirected
18403,45544,Undirected
18403,45551,Undirected
18403,45552,Undirected
18403,45556,Undirected
18403,45557,Undirected
18403,45894,Undirected
18403,45899,Undirected
18403,45900,Undirected
18403,45901,Undirected
18403,55308,Undirected
18403,55310,Undirected
18403,55312,Undirected
18403,55316,Undirected
18403,55318,Undirected
18403,55319,Undirected
18403,55323,Undirected
18403,55324,Undirected
18403,55329,Undirected
18403,56144,Undirected
18403,56147,Undirected
18403,56149,Undirected
131125,18403,Undirected
131126,18403,Undirected
131127,18403,Undirected
131128,18403,Undirected
131130,18403,Undirected
131178,18403,Undirected
131342,18403,Undirected
131343,18403,Undirected
131348,18403,Undirected
131351,18403,Undirected
131353,18403,Undirected
131354,18403,Undirected
131355,18403,Undirected
131360,18403,Undirected
131363,18403,Undirected
131365,18403,Undirected
131366,18403,Undirected
131368,18403,Undirected
131372,18403,Undirected
131378,18403,Undirected
131379,18403,Undirected
131383,18403,Undirected
131385,18403,Undirected
131386,18403,Undirected
131387,18403,Undirected
131391,18403,Undirected
131395,18403,Undirected
131398,18403,Undirected
131402,18403,Undirected
131408,18403,Undirected
131409,18403,Undirected
131412,18403,Undirected
131413,18403,Undirected
18403,38248,Undirected
23899,24088,Undirected
23899,45896,Undirected
23899,45903,Undirected
23899,38248,Undirected
23962,24088,Undirected
23962,38244,Undirected
23962,45899,Undirected
23962,45903,Undirected
23962,55314,Undirected
23962,38248,Undirected
131349,23999,Undirected
24085,55318,Undirected
24085,45896,Undirected
1299,24173,Undirected
24173,2914,Undirected
24173,45541,Undirected
131352,24173,Undirected
131417,24173,Undirected
131419,24173,Undirected
24173,38726,Undirected
24173,41095,Undirected
24173,45896,Undirected
24173,45903,Undirected
38244,45899,Undirected
45538,56146,Undirected
45538,56151,Undirected
131367,45538,Undirected
131371,45538,Undirected
131377,45538,Undirected
45538,45899,Undirected
20940,7552,Undirected
15169,7552,Undirected
