Source,Target,Type
38456,9249,Undirected
45495,9249,Undirected
1221,45495,Undirected
2914,45495,Undirected
45495,4826,Undirected
45495,7474,Undirected
131249,45495,Undirected
38456,45935,Undirected
1221,132228,Undirected
132228,2914,Undirected
132228,4608,Undirected
132228,4739,Undirected
132228,4826,Undirected
132228,7474,Undirected
132228,7575,Undirected
132228,9266,Undirected
10026,132228,Undirected
132228,24093,Undirected
132228,38456,Undirected
132228,38809,Undirected
132228,58511,Undirected
132228,132797,Undirected
