Source,Target,Type
12491,7420,Undirected
36959,37262,Undirected
36959,36994,Undirected
2905,36962,Undirected
16637,36962,Undirected
36962,37374,Undirected
12491,37043,Undirected
3491,37146,Undirected
30844,37146,Undirected
37154,5713,Undirected
20459,37154,Undirected
37154,37374,Undirected
37154,37662,Undirected
37084,37185,Undirected
12491,37214,Undirected
37214,57731,Undirected
33763,37262,Undirected
3491,37287,Undirected
37287,9498,Undirected
37133,37287,Undirected
37287,37374,Undirected
30844,37374,Undirected
37084,37374,Undirected
34947,37374,Undirected
36944,37532,Undirected
37084,37569,Undirected
33763,34947,Undirected
36959,37043,Undirected
30844,37043,Undirected
