CC,Source,Target
CL,6429,6535
CL,10778,6429
CL,11340,6429
CL,14708,6429
CL,15208,6429
CL,16780,6429
CL,16849,6429
CL,16874,6429
CL,16990,6429
CL,18941,6429
CL,19338,6429
CL,20191,6429
CL,21753,6429
CL,22661,6429
CL,22860,6429
CL,23140,6429
CL,25718,6429
CL,26604,6429
CL,26610,6429
CL,27678,6429
CL,27735,6429
CL,27746,6429
CL,27897,6429
CL,27918,6429
CL,27943,6429
CL,27946,6429
CL,27952,6429
CL,27979,6429
CL,28098,6429
CL,28099,6429
CL,52226,6429
CL,52267,6429
CL,52368,6429
CL,52439,6429
CL,52441,6429
CL,61460,6429
CL,262167,6429
CL,262237,6429
CL,263214,6429
CL,27978,6429
CL,1,6471
CL,3,6471
CL,4,6471
CL,5,6471
CL,6,6471
CL,6471,7
CL,6471,7867
CL,11340,6471
CL,14966,6471
CL,15208,6471
CL,16780,6471
CL,19228,6471
CL,21753,6471
CL,21862,6471
CL,22975,6471
CL,27651,6471
CL,27676,6471
CL,27678,6471
CL,27838,6471
CL,27853,6471
CL,27888,6471
CL,27952,6471
CL,28059,6471
CL,28096,6471
CL,28106,6471
CL,40703,6471
CL,52252,6471
CL,52313,6471
CL,52353,6471
CL,52368,6471
CL,52497,6471
CL,27986,6471
CL,22661,6535
CL,27978,6535
CL,6507,7004
CL,7004,7418
CL,11340,7004
CL,13381,7004
CL,13424,7004
CL,13774,7004
CL,15311,7004
CL,16471,7004
CL,16629,7004
CL,16742,7004
CL,16780,7004
CL,16874,7004
CL,16990,7004
CL,17126,7004
CL,17147,7004
CL,18941,7004
CL,19411,7004
CL,20015,7004
CL,20256,7004
CL,20940,7004
CL,21838,7004
CL,22047,7004
CL,22661,7004
CL,22860,7004
CL,23140,7004
CL,27659,7004
CL,27680,7004
CL,27856,7004
CL,27880,7004
CL,27899,7004
CL,27901,7004
CL,27963,7004
CL,28047,7004
CL,28059,7004
CL,28099,7004
CL,52341,7004
CL,52353,7004
CL,52396,7004
CL,52407,7004
CL,52411,7004
CL,52439,7004
CL,52441,7004
CL,52452,7004
CL,61492,7004
CL,262224,7004
CL,262237,7004
CL,12956,7004
CL,6505,7993
CL,10778,3549
CL,10778,22661
CL,10778,52246
CL,11340,1916
CL,11340,7049
CL,11340,19226
CL,11340,20191
CL,11340,23140
CL,11340,26610
CL,11340,27676
CL,11340,27897
CL,11340,14259
CL,11340,16629
CL,11340,20080
CL,11340,27750
CL,13381,27986
CL,13381,52280
CL,13424,19411
CL,14117,14259
CL,14259,3549
CL,14259,6762
CL,12956,14259
CL,14259,3573
CL,14259,15208
CL,14259,16874
CL,14259,16921
CL,14259,16990
CL,14259,17126
CL,14259,18492
CL,14259,18822
CL,14259,19077
CL,14259,19228
CL,14259,20191
CL,14259,21753
CL,14259,22975
CL,14259,26604
CL,14259,27678
CL,14259,27732
CL,14259,27735
CL,14259,27849
CL,14259,27853
CL,14259,27888
CL,14259,27899
CL,14259,27904
CL,14259,27909
CL,14259,27918
CL,14259,27943
CL,14259,28044
CL,14259,28077
CL,14259,28091
CL,14259,28099
CL,14259,28120
CL,14259,52252
CL,14259,52267
CL,14259,52280
CL,14259,52452
CL,14259,52460
CL,14259,52479
CL,14259,61492
CL,14259,262155
CL,14259,262167
CL,14259,262224
CL,14259,262233
CL,14259,262256
CL,14259,263237
CL,14259,263688
CL,14259,263702
CL,14318,6762
CL,14966,3549
CL,15208,16629
CL,15311,16629
CL,16471,3549
CL,16471,19411
CL,16471,27678
CL,16471,33075
CL,16629,16780
CL,16629,23416
CL,16629,27677
CL,16629,27735
CL,16629,27838
CL,16629,27946
CL,16629,52230
CL,16629,52248
CL,16629,61459
CL,16780,22661
CL,16849,27986
CL,16874,20015
CL,16990,3549
CL,17147,3549
CL,18941,22661
CL,18941,19338
CL,19077,19411
CL,19228,2688
CL,18747,19228
CL,19228,21838
CL,19228,22661
CL,19228,19338
CL,19338,19411
CL,19338,21838
CL,19338,27995
CL,19338,52226
CL,19338,52439
CL,19338,262237
CL,19411,6505
CL,14551,19411
CL,18747,19411
CL,19411,27659
CL,19411,27962
CL,19411,52280
CL,19411,22661
CL,20256,6505
CL,21765,3549
CL,22047,3549
CL,12956,22047
CL,22047,22661
CL,22661,6505
CL,22661,23140
CL,22661,27897
CL,22661,27979
CL,22661,27995
CL,22661,28098
CL,22661,61460
CL,22661,262167
CL,22661,263173
CL,26048,3549
CL,27651,27732
CL,27651,27874
CL,27651,27946
CL,27659,6762
CL,27659,27986
CL,27659,52280
CL,27676,3549
CL,20080,27676
CL,27678,42
CL,2647,27678
CL,22548,27678
CL,22894,27678
CL,25192,27678
CL,27678,3132
CL,27678,28377
CL,27678,33075
CL,27678,52234
CL,27678,52306
CL,27678,61455
CL,27678,40528
CL,27735,6505
CL,27735,7049
CL,27746,3549
CL,1239,27766
CL,27766,3356
CL,27766,3549
CL,27897,3549
CL,27901,27986
CL,27901,52280
CL,27911,3549
CL,27925,27986
CL,27962,6505
CL,27963,6140
CL,174,27978
CL,1299,27978
CL,27978,2914
CL,27978,3257
CL,27978,6453
CL,27978,27995
CL,263173,27978
CL,27978,28513
CL,1299,27986
CL,27986,3549
CL,27986,6762
CL,12956,27986
CL,27986,7049
CL,16921,27986
CL,18747,27986
CL,19180,27986
