CC,Source,Target
CW,11081,286
CW,11081,1299
CW,11081,2914
CW,11081,22069
CW,11081,26505
CW,11081,27745
CW,11081,27748
CW,11081,27762
CW,11081,52301
CW,11081,52389
CW,11081,52391
CW,11081,61473
CW,174,23541
CW,1239,23541
CW,23541,2914
CW,23541,6939
CW,23541,7738
CW,23541,27748
CW,23541,28017
CW,23541,52231
CW,23541,52301
CW,23541,262162
CW,23520,26505
CW,26505,49933
CW,262933,26505
CW,27970,5580
CW,27970,6939
CW,27970,8359
CW,27970,8455
CW,27970,40191
CW,27970,43531
CW,27970,51999
CW,27970,62567
CW,27970,393406
CW,27745,28017
CW,1103,52233
CW,1267,52233
CW,1764,52233
CW,3252,52233
CW,3267,52233
CW,3333,52233
CW,52233,6777
CW,52233,6939
CW,52233,8283
CW,52233,8359
CW,52233,8447
CW,52233,8468
CW,52233,8492
CW,52233,9002
CW,52233,9304
CW,10026,52233
CW,12637,52233
CW,12779,52233
CW,12859,52233
CW,12989,52233
CW,13030,52233
CW,13237,52233
CW,15435,52233
CW,20080,52233
CW,20562,52233
CW,20932,52233
CW,23520,52233
CW,25091,52233
CW,25160,52233
CW,25220,52233
CW,28917,52233
CW,29140,52233
CW,29208,52233
CW,30132,52233
CW,30844,52233
CW,31019,52233
CW,31133,52233
CW,31500,52233
CW,33891,52233
CW,34288,52233
CW,37100,52233
CW,39792,52233
CW,44953,52233
CW,48166,52233
CW,50300,52233
CW,50304,52233
CW,50763,52233
CW,51185,52233
CW,20940,52233
CW,200130,52233
CW,202018,52233
CW,262162,52233
CW,262173,52233
CW,262238,52233
CW,174,52344
CW,3356,52344
CW,3549,52344
CW,23520,52344
CW,52344,61473
CW,11816,262164
CW,11081,52344
CW,20940,52344
