CC,Source,Target
CY,21320,3268
CY,198336,3268
CY,20965,3268
CY,50233,5425
CY,5425,8544
CY,5504,6866
CY,5504,8888
CY,24655,5504
CY,25195,5504
CY,39935,5504
CY,5504,8544
CY,35432,5504
CY,174,6866
CY,553,6866
CY,1103,6866
CY,1267,6866
CY,1764,6866
CY,3252,6866
CY,3267,6866
CY,3333,6866
CY,3356,6866
CY,3491,6866
CY,3549,6866
CY,6762,6866
CY,6866,6939
CY,6866,7262
CY,6866,8280
CY,6866,8283
CY,6866,8359
CY,6866,8468
CY,6866,8492
CY,6866,8596
CY,6866,9002
CY,6866,9189
CY,6866,9304
CY,12637,6866
CY,12779,6866
CY,12859,6866
CY,12989,6866
CY,13237,6866
CY,15435,6866
CY,15544,6866
CY,15666,6866
CY,16022,6866
CY,20080,6866
CY,20485,6866
CY,20562,6866
CY,20640,6866
CY,20932,6866
CY,24655,6866
CY,24989,6866
CY,25091,6866
CY,25160,6866
CY,25220,6866
CY,28917,6866
CY,29076,6866
CY,29140,6866
CY,29208,6866
CY,29229,6866
CY,30132,6866
CY,30844,6866
CY,31019,6866
CY,31025,6866
CY,31133,6866
CY,31198,6866
CY,31500,6866
CY,33891,6866
CY,34288,6866
CY,35358,6866
CY,36351,6866
CY,37100,6866
CY,39792,6866
CY,39912,6866
CY,39935,6866
CY,42070,6866
CY,42708,6866
CY,44953,6866
CY,48166,6866
CY,48623,6866
CY,49338,6866
CY,50233,6866
CY,50300,6866
CY,50304,6866
CY,50763,6866
CY,51185,6866
CY,51228,6866
CY,196676,6866
CY,196736,6866
CY,196984,6866
CY,197580,6866
CY,197648,6866
CY,198279,6866
CY,198943,6866
CY,199081,6866
CY,199206,6866
CY,199598,6866
CY,200130,6866
CY,201444,6866
CY,202018,6866
CY,202117,6866
CY,12713,6866
CY,174,8544
CY,553,8544
CY,1103,8544
CY,1267,8544
CY,1299,8544
CY,1764,8544
CY,2603,8544
CY,3252,8544
CY,3491,8544
CY,3549,8544
CY,3741,8544
CY,4589,8544
CY,5580,8544
CY,6939,8544
CY,8359,8544
CY,8419,8544
CY,8422,8544
CY,8426,8544
