CC,Source,Target
EC,14420,27757
EC,14522,3257
EC,12956,14522
EC,14522,19169
EC,12956,19114
EC,19114,27738
EC,19114,28021
EC,19114,28041
EC,19114,28058
EC,19114,52238
EC,19114,52482
EC,19114,52487
EC,19114,262154
EC,1239,19169
EC,1299,19169
EC,19169,3549
EC,12956,19169
EC,19169,27947
EC,19169,52482
EC,19169,52483
EC,19169,27765
EC,19582,3549
EC,19582,52345
EC,19582,52417
EC,19582,27757
EC,19582,52482
EC,22724,3549
EC,18678,22724
EC,22724,52274
EC,22724,263174
EC,22724,27757
EC,22724,27765
EC,23216,27757
EC,23216,27947
EC,1299,23487
EC,23487,3257
EC,12252,23487
EC,23487,27738
EC,23487,27868
EC,23487,27919
EC,23487,27958
EC,23487,28058
EC,23487,52377
EC,23487,52482
EC,23487,263243
EC,1299,26613
EC,26613,3356
EC,26613,3549
EC,26613,27757
EC,18678,27668
EC,27668,27757
EC,27668,27765
EC,27738,27765
EC,262589,27738
EC,27740,3549
EC,27740,27765
EC,12956,27757
EC,27757,27958
EC,27757,27968
EC,27757,28006
EC,27757,28025
EC,27757,52331
EC,27757,52482
EC,262157,27757
EC,18678,27765
EC,27765,27814
EC,262154,27765
EC,262223,27765
EC,263243,27765
EC,27765,28032
EC,27765,52482
EC,262589,27765
EC,18487,27784
EC,27814,27916
EC,27814,52274
EC,27814,52482
EC,27816,27947
EC,27820,3549
EC,27820,27841
EC,27820,27947
EC,27750,27841
EC,27841,27947
EC,27868,52482
EC,27902,27947
EC,27947,27998
EC,27947,28027
EC,27947,28041
EC,27947,28097
EC,27947,52257
EC,27947,52274
EC,27947,52343
EC,27947,52345
EC,27947,52417
EC,262212,27947
EC,27968,3549
EC,27998,3549
EC,28097,3549
EC,3549,52274
EC,52274,52482
EC,3549,52331
EC,3549,52343
EC,3549,52458
EC,52458,52482
EC,3549,52482
EC,3549,52483
EC,262257,3549
EC,263243,3549
