CC,Source,Target
FI,1741,565
FI,1739,1741
FI,1741,3267
FI,1741,3292
FI,1741,6667
FI,1741,8359
FI,1741,9002
FI,15496,1741
FI,1741,30754
FI,1741,39098
FI,1741,39662
FI,1741,39857
FI,1741,2603
FI,2586,3221
FI,12757,2586
FI,2586,34729
FI,2586,35407
FI,2586,39632
FI,2586,42016
FI,2586,42472
FI,2586,43958
FI,2586,44839
FI,2586,47525
FI,2586,49604
FI,2586,59725
FI,2586,62024
FI,197517,2586
FI,199800,2586
FI,201321,2586
FI,2586,6667
FI,3222,3292
FI,174,3238
FI,2603,3238
FI,3216,3238
FI,3238,6667
FI,3238,6939
FI,3238,8359
FI,3238,9002
FI,20764,3238
FI,31019,3238
FI,31133,3238
FI,31500,3238
FI,31644,3238
FI,3238,33891
FI,3238,36351
FI,3238,39792
FI,3238,41878
FI,3238,42708
FI,3238,47605
FI,3238,3549
FI,16265,3238
FI,1759,3274
FI,3274,3292
FI,3274,47605
FI,209,5420
FI,5420,719
FI,3292,5420
FI,35985,5420
FI,42,6667
FI,224,6667
FI,251,6667
FI,286,6667
FI,553,6667
FI,6667,702
FI,6667,714
FI,6667,786
FI,1103,6667
FI,1126,6667
FI,1136,6667
FI,1248,6667
FI,1267,6667
FI,1273,6667
FI,1280,6667
FI,1290,6667
FI,1299,6667
FI,1547,6667
FI,1653,6667
FI,1759,6667
FI,1836,6667
FI,1880,6667
FI,2110,6667
FI,2116,6667
FI,2119,6667
FI,2484,6667
FI,2497,6667
FI,2516,6667
FI,2529,6667
FI,2603,6667
FI,2611,6667
FI,2686,6667
FI,2818,6667
FI,2852,6667
FI,2856,6667
FI,2857,6667
FI,2874,6667
FI,2906,6667
FI,3209,6667
FI,3213,6667
FI,3216,6667
FI,3223,6667
FI,3249,6667
FI,3257,6667
FI,3262,6667
FI,3265,6667
FI,3267,6667
FI,3292,6667
FI,3303,6667
FI,3320,6667
FI,3333,6667
FI,3356,6667
FI,3491,6667
FI,3549,6667
FI,3741,6667
FI,3786,6667
FI,3856,6667
FI,4004,6667
FI,4134,6667
FI,4181,6667
FI,4565,6667
FI,4589,6667
FI,4788,6667
FI,5089,6667
FI,5381,6667
FI,5390,6667
FI,5409,6667
FI,5410,6667
FI,5413,6667
FI,5430,6667
FI,5459,6667
FI,5466,6667
FI,5503,6667
FI,5524,6667
FI,5539,6667
FI,5552,6667
FI,5580,6667
FI,5583,6667
FI,5588,6667
FI,5605,6667
FI,5607,6667
FI,5631,6667
FI,6128,6667
FI,6327,6667
FI,6407,6667
FI,6461,6667
FI,6507,6667
FI,6661,6667
FI,6663,6667
FI,375,6667
FI,6667,719
FI,6667,6677
FI,6667,6717
FI,6667,6724
FI,6667,6730
FI,6667,6735
FI,6667,6774
FI,6667,6805
FI,6667,6830
FI,6667,6834
FI,6667,6871
FI,6667,6894
FI,6667,6900
FI,6667,6908
FI,6667,6939
FI,6667,7270
FI,6667,7342
FI,6667,7385
FI,6667,8001
FI,6667,8002
FI,6667,8075
FI,6667,8121
FI,6667,8218
FI,6667,8220
FI,6667,8262
FI,6667,8282
FI,6667,8304
FI,6667,8308
FI,6667,8309
FI,6667,8319
FI,6667,8359
FI,6667,8365
FI,6667,8368
FI,6667,8403
FI,6667,8419
FI,6667,8422
FI,6667,8426
FI,6667,8442
FI,6667,8447
FI,6667,8468
FI,6667,8469
FI,6667,8473
FI,6667,8492
FI,6667,8551
FI,6667,8553
FI,6667,8560
FI,6667,8607
FI,6667,8608
FI,6667,8641
FI,6667,8648
FI,6667,8657
FI,6667,8674
FI,6667,8676
FI,6667,8681
FI,6667,8683
FI,6667,8708
FI,6667,8717
FI,6667,8737
FI,6667,8741
FI,6667,8763
