CC,Source,Target
GE,20771,9144
GE,35805,9144
GE,15491,47810
GE,15491,35805
GE,16010,35805
GE,16010,39452
GE,16010,41877
GE,16010,57881
GE,16010,58227
GE,16010,61961
GE,16010,198512
GE,16010,201598
GE,16010,20771
GE,16010,28751
GE,20545,20771
GE,20545,44327
GE,20771,251
GE,1299,20771
GE,20771,3252
GE,20771,3356
GE,20771,3549
GE,20771,6679
GE,20771,6939
GE,20771,8331
GE,20771,8359
GE,20771,8492
GE,20764,20771
GE,20771,24997
GE,20771,25249
GE,20771,28751
GE,20771,28917
GE,20771,29076
GE,20771,29208
GE,20771,34666
GE,20771,35076
GE,20771,41738
GE,20771,41877
GE,20771,42082
GE,20771,43733
GE,20771,44217
GE,20771,44327
GE,20771,44395
GE,20771,48159
GE,20771,48166
GE,20771,49254
GE,20771,49363
GE,20771,51010
GE,20771,57473
GE,20771,57768
GE,197216,20771
GE,197229,20771
GE,198561,20771
GE,199045,20771
GE,20771,29049
GE,21214,58227
GE,21214,44327
GE,24997,62252
GE,25249,42806
GE,25249,34797
GE,25249,35805
GE,25249,44327
GE,34666,35805
GE,12389,34797
GE,29049,34797
GE,34797,42082
GE,34797,49129
GE,199045,34797
GE,35805,553
GE,1267,35805
GE,1299,35805
GE,1764,35805
GE,3252,35805
GE,3320,35805
GE,3356,35805
GE,3549,35805
GE,35805,6453
GE,35805,6939
GE,35805,8426
GE,35805,8468
GE,35805,8492
GE,35805,8596
GE,35805,9189
GE,12779,35805
GE,12859,35805
GE,13237,35805
GE,16265,35805
GE,20640,35805
GE,24989,35805
GE,25091,35805
GE,25220,35805
GE,29049,35805
GE,29140,35805
GE,29208,35805
GE,30844,35805
GE,31019,35805
GE,31025,35805
GE,33891,35805
GE,34288,35805
GE,12297,35805
GE,35805,39792
GE,35805,39912
GE,35805,41738
GE,35805,42082
GE,35805,42223
GE,35805,42708
GE,35805,43973
GE,35805,44877
GE,35805,47644
GE,35805,48166
GE,35805,48393
GE,35805,48415
GE,35805,56811
GE,35805,56855
GE,35805,56966
GE,35805,57445
GE,35805,58185
GE,35805,59503
GE,35805,61167
GE,35805,62252
GE,196925,35805
GE,198512,35805
GE,198561,35805
GE,198874,35805
GE,198876,35805
GE,199045,35805
GE,199872,35805
GE,201174,35805
GE,201651,35805
GE,202223,35805
GE,35805,57463
GE,41224,41877
GE,3356,41877
GE,3549,41877
GE,41877,57814
GE,42223,44327
GE,3356,44327
GE,3549,44327
GE,44327,6453
GE,34984,44327
GE,44327,51010
GE,44327,56855
GE,44327,57881
GE,44327,58185
GE,44327,59503
GE,44327,61167
GE,201174,44327
GE,201651,44327
GE,51112,51957
GE,20870,57244
GE,20473,57768
GE,16010,31377
GE,16010,20940
GE,15133,16010
GE,16010,16625
GE,35805,6682
GE,15169,35805
GE,15133,35805
GE,41965,44327
