CC,Source,Target
GR,3260,3329
GR,3260,6799
GR,3323,5408
GR,174,3329
GR,3329,3549
GR,3329,8388
GR,3329,9128
GR,13038,3329
GR,15414,3329
GR,15764,3329
GR,28953,3329
GR,28969,3329
GR,29241,3329
GR,31013,3329
GR,31563,3329
GR,3329,34516
GR,3329,35446
GR,3329,35459
GR,3329,39017
GR,3329,39481
GR,3329,39820
GR,3329,41372
GR,3329,42365
GR,3329,42680
GR,3329,44036
GR,3329,44357
GR,3329,56910
GR,3329,60723
GR,197189,3329
GR,197534,3329
GR,198365,3329
GR,199305,3329
GR,3329,3356
GR,3329,6762
GR,112,5408
GR,2546,5408
GR,5408,5470
GR,5408,6744
GR,5408,6867
GR,5408,8248
GR,5408,8253
GR,5408,8278
GR,5408,8522
GR,5408,8643
GR,5408,8700
GR,5408,8762
GR,15536,5408
GR,20813,5408
GR,31563,5408
GR,47616,5408
GR,50555,5408
GR,197121,5408
GR,199399,5408
GR,20965,5408
GR,1241,6674
GR,6674,6799
GR,6799,9128
GR,15430,6799
GR,15439,6799
GR,24735,6799
GR,28969,6799
GR,29247,6799
GR,29353,6799
GR,34239,6799
GR,35446,6799
GR,35472,6799
GR,35506,6799
GR,39929,6799
GR,41125,6799
GR,41579,6799
GR,42365,6799
GR,44036,6799
GR,50501,6799
GR,50919,6799
GR,51537,6799
GR,199081,6799
GR,199141,6799
GR,12713,6799
GR,174,8280
GR,6866,8280
GR,30858,8280
GR,38918,8280
GR,44593,8280
GR,196945,8280
GR,39505,8280
GR,21284,8388
GR,12713,8396
GR,1241,8499
GR,197997,8522
GR,1241,9128
GR,12361,3209
GR,12361,34516
GR,12361,35472
GR,12361,51810
GR,12361,34419
GR,12488,24958
GR,12653,3491
GR,12653,198394
GR,12713,251
GR,12713,553
GR,1103,12713
GR,1267,12713
GR,12713,1273
GR,12713,1299
GR,12713,1764
GR,12713,2603
GR,12713,3216
GR,12713,3252
GR,12713,3267
GR,12713,3292
GR,12713,3303
GR,12713,3320
GR,12713,3333
GR,12713,3356
GR,12713,3741
GR,12713,4589
GR,12713,4739
GR,12713,5413
GR,12713,5580
GR,12713,6461
GR,12713,6667
GR,12713,6730
GR,12713,6939
GR,12713,8218
GR,12713,8283
GR,12713,8359
GR,12713,8419
GR,12713,8426
GR,12713,8447
GR,12713,8468
GR,12713,8492
GR,12713,8596
GR,12713,8607
GR,12713,8657
GR,12713,8732
GR,12713,8928
GR,12713,8943
GR,12713,9002
GR,12713,9189
GR,12713,9304
GR,10026,12713
GR,12350,12713
GR,12637,12713
GR,12713,6821
GR,12713,6866
GR,12713,8452
GR,12713,8529
GR,12713,12779
GR,12713,12859
GR,12713,12874
GR,12713,12989
GR,12713,13030
GR,12713,13237
GR,12713,14537
GR,12713,15435
GR,12713,15544
GR,12713,19151
GR,12713,20080
GR,12713,20485
GR,12713,20562
GR,12713,20640
GR,12713,20932
GR,12713,21183
GR,12713,24989
GR,12713,25091
GR,12713,25160
GR,12713,25220
GR,12713,28917
GR,12713,29076
GR,12713,29140
GR,12713,29208
GR,12713,29611
GR,12713,29636
GR,12713,29686
GR,12713,30132
GR,12713,30844
GR,12713,31019
GR,12713,31025
GR,12713,31133
GR,12713,31500
GR,12713,34288
GR,12713,36351
GR,12713,37100
GR,12713,39202
GR,12713,39792
GR,12713,39912
GR,12713,41095
GR,12713,41695
GR,12713,41697
GR,12713,41811
GR,12713,42313
GR,12713,42708
GR,12713,43531
GR,12713,48166
GR,12713,50300
GR,12713,50304
GR,12713,50763
GR,12713,51185
GR,12713,56730
GR,12713,199370
GR,12713,200130
GR,12713,202018
GR,12713,202109
GR,1241,13038
GR,13153,6762
GR,15439,39062
GR,15439,25472
GR,15544,6866
GR,15544,199382
GR,15617,24897
GR,15617,25472
GR,1241,15764
GR,15853,56910
GR,1241,16013
GR,16022,174
GR,16022,6866
GR,1241,20506
GR,21284,41920
GR,1241,24849
GR,25472,3491
GR,25472,6762
GR,25472,31579
GR,25472,39017
GR,25472,48261
GR,25472,50919
GR,201827,25472
GR,1241,28953
GR,1241,29052
GR,198477,29162
GR,29229,6866
GR,1241,29241
GR,1241,30850
GR,197580,30850
GR,197580,31443
GR,31579,702
GR,1241,34239
GR,1241,34780
GR,1241,35506
GR,39245,56910
GR,39867,6762
GR,12586,39867
GR,13237,39867
GR,39867,57821
GR,1241,41125
GR,41372,56910
GR,199081,41372
GR,41920,6762
GR,39505,41920
GR,41920,60723
GR,1241,42070
GR,42070,6866
GR,174,42455
GR,1103,42455
GR,1267,42455
GR,2914,42455
GR,3741,42455
GR,42455,5580
GR,42455,6939
GR,42455,8359
GR,42455,8419
GR,42455,8422
GR,42455,8447
GR,42455,8468
GR,42455,8607
GR,42455,8943
GR,11666,42455
GR,12779,42455
GR,12859,42455
GR,14537,42455
GR,19151,42455
GR,20485,42455
GR,25091,42455
GR,25160,42455
GR,29208,42455
GR,29611,42455
GR,29636,42455
GR,30844,42455
GR,31133,42455
GR,31500,42455
GR,33891,42455
GR,34288,42455
GR,36351,42455
GR,37100,42455
GR,39202,42455
GR,39792,42455
GR,41095,42455
GR,41695,42455
GR,41811,42455
GR,42455,42708
GR,42455,43531
GR,42455,50300
GR,42455,56730
GR,202109,42455
GR,1241,42680
GR,43079,8607
GR,12703,43081
GR,25577,43081
GR,3356,43082
GR,3549,43082
GR,43082,6908
GR,43082,9009
GR,18117,43082
GR,36086,43082
GR,39733,43082
GR,43082,49487
GR,43082,60103
GR,201862,43082
GR,174,43157
GR,43157,8426
GR,43157,5631
GR,43219,6067
GR,43219,6461
GR,43219,8419
GR,43219,8468
GR,15570,43219
GR,29611,43219
GR,39326,43219
GR,43219,43531
GR,43219,50300
GR,3549,43236
GR,43236,6461
GR,43490,5462
GR,1241,43834
GR,47521,56910
GR,2847,48053
GR,3245,48053
GR,40528,48053
GR,48380,51810
GR,198477,48380
GR,1241,48489
GR,3491,49582
GR,49582,6762
GR,49921,8551
GR,12400,49921
GR,15830,49921
GR,16303,50078
GR,50078,51005
GR,1241,50148
GR,174,50919
GR,1241,51537
GR,174,51810
GR,1241,51810
GR,174,56910
GR,1241,56910
GR,42817,56910
GR,199789,56910
GR,200128,56910
GR,201494,56910
GR,198477,56910
GR,25447,57794
GR,39505,60325
GR,198477,60342
GR,1241,60597
GR,1241,197534
GR,197580,6866
GR,197580,198477
GR,198188,198477
GR,1241,198365
GR,198477,6762
GR,198477,202042
GR,199081,6866
GR,1241,199246
GR,1241,199375
GR,1241,199382
GR,174,199789
GR,174,202042
GR,199399,6799
GR,198477,199399
GR,199399,3329
GR,6799,8396
GR,197580,8280
GR,199399,8280
GR,12361,199399
GR,199399,25472
GR,199399,41920
GR,198477,51810
GR,174,197580
GR,199399,6866
