CC,Source,Target
GT,26617,6133
GT,10586,6458
GT,27654,6458
GT,27737,6458
GT,27929,6458
GT,27933,6458
GT,28069,6458
GT,262166,6458
GT,14754,6458
GT,174,6487
GT,16592,6487
GT,40336,6487
GT,23243,6487
GT,32760,6487
GT,12956,13682
GT,12127,13682
GT,13682,27929
GT,13682,263231
GT,14754,174
GT,14754,2914
GT,14754,3257
GT,14754,8151
GT,14754,27708
GT,14754,27761
GT,14754,27785
GT,14754,27811
GT,14754,27929
GT,14754,27999
GT,14754,28072
GT,14754,28074
GT,14754,262204
GT,14754,262205
GT,14754,263201
GT,14754,263234
GT,14754,263694
GT,14754,23520
GT,14754,28513
GT,174,20299
GT,20299,701
GT,1239,20299
GT,20299,3573
GT,16973,20299
GT,20299,27742
GT,20299,27773
GT,20299,28050
GT,20299,28055
GT,20299,28086
GT,20299,28317
GT,20299,52325
GT,20299,52342
GT,20299,52356
GT,20299,52392
GT,20299,52395
GT,20299,52408
GT,20299,52423
GT,20299,61479
GT,20299,262145
GT,20299,262149
GT,20299,262171
GT,20299,262184
GT,20299,263248
GT,20299,23243
GT,20299,23383
GT,20299,23520
GT,20299,52262
GT,20299,262206
GT,23243,26617
GT,23243,27654
GT,23243,28087
GT,23243,52362
GT,23243,52454
GT,23243,262207
GT,23243,263231
GT,23243,263247
GT,23243,262206
GT,26617,3257
GT,12956,26617
GT,16592,26617
GT,17079,26617
GT,23383,26617
GT,262206,26617
GT,27750,27929
GT,262166,27929
GT,23520,27933
GT,28049,52276
GT,23520,28087
GT,28087,52276
GT,28105,52286
GT,12956,52276
GT,23520,52276
GT,10269,52276
GT,262179,52276
GT,23520,52286
GT,23520,52454
GT,23520,262166
GT,174,262206
GT,1239,262206
GT,1299,262206
GT,262206,2914
GT,262206,3356
GT,262206,3549
GT,13489,262206
GT,23520,262206
GT,262206,57731
GT,17079,262206
GT,262206,27742
GT,262206,27773
GT,262206,27882
GT,262206,37030
GT,262206,37035
GT,262206,37447
GT,262206,37649
GT,262206,52262
GT,262206,52501
GT,262197,262206
GT,15169,262206
GT,20299,3790
