CC,Source,Target
GU,3605,701
GU,3605,852
GU,1280,3605
GU,2914,3605
GU,3303,3605
GU,3605,4181
GU,3605,4323
GU,3605,4739
GU,3605,4826
GU,3605,5580
GU,3605,6939
GU,3605,7575
GU,3605,8359
GU,3605,9505
GU,10026,3605
GU,12989,3605
GU,14361,3605
GU,19151,3605
GU,21996,3605
GU,3605,36351
GU,3605,45177
GU,3605,4766
GU,3605,6453
GU,174,7131
GU,3356,7131
GU,3549,7131
GU,6453,7131
GU,701,9246
GU,852,9246
GU,3356,9246
GU,3549,9246
GU,4739,9246
GU,4826,9246
GU,6453,9246
GU,6939,9246
GU,7575,9246
GU,8359,9246
GU,9002,9246
GU,10026,9246
GU,11666,9246
GU,12989,9246
GU,13030,9246
GU,14361,9246
GU,19151,9246
GU,36351,9246
GU,45177,9246
GU,56200,9246
GU,174,17456
GU,17456,209
