CC,Source,Target
HN,1239,7727
HN,6762,7727
HN,1,23383
HN,20299,23383
HN,23383,27912
HN,23383,28088
HN,23383,52287
HN,23383,52390
HN,23383,262146
HN,23383,262234
HN,23383,262262
HN,23383,263193
HN,23383,23520
HN,23383,26617
HN,23383,52262
HN,23520,27696
HN,27696,27912
HN,27696,28084
HN,27696,52287
HN,27696,52390
HN,263239,27696
HN,1299,27884
HN,12956,27884
HN,27884,28088
HN,262146,27884
HN,263170,27884
HN,263234,27884
HN,263686,27884
HN,27923,27932
HN,1299,27932
HN,23520,27932
HN,27932,52393
HN,27932,52422
HN,262234,27932
HN,262262,27932
HN,263686,27932
HN,20299,28055
HN,23520,28088
HN,23520,52262
HN,20299,52262
HN,262206,52262
HN,14754,262205
HN,23520,262205
HN,14754,263234
HN,14754,263694
