CC,Source,Target
HR,174,1886
HR,1886,25365
HR,1886,34362
HR,174,2108
HR,20965,2108
HR,174,5391
HR,251,5391
HR,5391,553
HR,1267,5391
HR,1764,5391
HR,1853,5391
HR,3252,5391
HR,3257,5391
HR,3320,5391
HR,5391,6720
HR,5391,6939
HR,5391,8426
HR,5391,8447
HR,5391,8468
HR,5391,8492
HR,5391,8585
HR,5391,8596
HR,5391,8732
HR,5391,9002
HR,5391,9119
HR,5391,9146
HR,5391,9189
HR,12779,5391
HR,12859,5391
HR,13046,5391
HR,13237,5391
HR,20485,5391
HR,20640,5391
HR,20875,5391
HR,21323,5391
HR,24989,5391
HR,25091,5391
HR,25220,5391
HR,25328,5391
HR,28917,5391
HR,29076,5391
HR,29140,5391
HR,29208,5391
HR,29647,5391
HR,30841,5391
HR,30844,5391
HR,30905,5391
HR,31019,5391
HR,31025,5391
HR,31133,5391
HR,31500,5391
HR,34288,5391
HR,34463,5391
HR,34519,5391
HR,34540,5391
HR,35128,5391
HR,35225,5391
HR,35567,5391
HR,35620,5391
HR,39663,5391
HR,39792,5391
HR,39912,5391
HR,42488,5391
HR,42571,5391
HR,42708,5391
HR,43179,5391
HR,44377,5391
HR,48166,5391
HR,48794,5391
HR,52152,5391
HR,5391,57888
HR,5391,62161
HR,196622,5391
HR,197324,5391
HR,197716,5391
HR,197823,5391
HR,198565,5391
HR,199433,5391
HR,5391,6762
HR,5391,8928
HR,16265,5391
HR,13046,5620
HR,35549,5620
HR,35549,6794
HR,12810,28766
HR,12810,35416
HR,12810,42488
HR,12810,43540
HR,12810,51989
HR,12810,199433
HR,12810,15994
HR,13046,174
HR,1299,13046
HR,13046,25045
HR,13046,29647
HR,13046,30905
HR,13046,34463
HR,13046,34540
HR,13046,35416
HR,13046,41452
HR,13046,44325
HR,13046,48353
HR,13046,48372
HR,13046,48567
HR,13046,49428
HR,13046,50410
HR,13046,56556
HR,13046,59786
HR,13046,61211
HR,13046,197521
HR,13046,198548
HR,13046,198565
HR,13046,198785
HR,13046,199244
HR,15994,3356
HR,15994,8447
HR,15994,31012
HR,15994,35225
HR,15994,35620
HR,15994,48372
HR,15994,49498
HR,15994,57785
HR,15994,59786
HR,15994,59866
HR,15994,61995
HR,15994,197521
HR,15994,35549
HR,16163,34362
HR,174,25277
HR,25365,34362
HR,25528,34522
HR,25528,35549
HR,28766,9119
HR,28862,35549
HR,29485,8591
HR,26415,29485
HR,29485,47107
HR,29485,49428
HR,29485,57785
HR,29485,59866
HR,31215,41336
HR,34362,60762
HR,34362,35549
HR,34362,41454
HR,174,34594
HR,251,34594
HR,1299,34594
HR,1853,34594
HR,3303,34594
HR,34594,6720
HR,34594,6730
HR,34594,6939
HR,34594,8447
HR,34594,8596
HR,34594,9002
HR,13030,34594
HR,13237,34594
HR,31095,34594
HR,34594,35416
HR,34594,39912
HR,34594,48621
HR,34594,48797
HR,34594,51989
HR,34594,59786
HR,196622,34594
HR,196832,34594
HR,197823,34594
HR,198548,34594
HR,174,34748
HR,34748,38937
HR,34748,44325
HR,34748,59522
HR,34748,35549
HR,3356,35549
HR,3549,35549
HR,35549,8928
HR,30841,35549
HR,31095,35549
HR,35549,41336
HR,35549,42679
HR,35549,43009
HR,35549,43394
HR,35549,43540
HR,35549,43953
HR,35549,44377
HR,35549,47988
HR,35549,48256
HR,35549,48567
HR,35549,48794
HR,35549,49498
HR,35549,52152
HR,35549,52172
HR,35549,56556
HR,35549,56706
HR,35549,62161
HR,197652,35549
HR,199244,35549
HR,199401,35549
HR,41336,57499
HR,174,41454
HR,41454,57499
HR,174,43009
HR,3356,43009
HR,3549,43009
HR,43009,6453
HR,43009,6762
HR,43540,60009
HR,43804,61211
HR,174,44306
HR,1299,44306
HR,3356,44306
HR,3549,44306
HR,174,47107
HR,47948,51577
HR,174,48353
HR,51577,9119
HR,13030,51778
HR,51778,59905
HR,5603,56681
HR,56681,57266
HR,57004,62300
HR,57888,9146
HR,199051,57888
HR,174,59905
HR,1764,59905
HR,59905,8218
HR,59905,8758
HR,20932,59905
HR,25091,59905
HR,29222,59905
HR,33891,59905
HR,34288,59905
HR,43531,59905
HR,60009,61211
HR,198785,60762
HR,174,61211
HR,3356,61211
HR,3549,61211
HR,196832,198785
HR,198492,9119
HR,174,198785
HR,199244,201563
HR,174,201563
HR,15169,5391
HR,20940,5391
HR,43061,5391
HR,16625,5391
HR,10310,5391
HR,13414,5391
HR,2635,5391
HR,12810,8447
HR,3212,5391
HR,31042,5391
HR,5391,8400
HR,3356,5391
HR,5391,5483
HR,12810,34594
HR,12810,174
HR,12810,34362
HR,12810,31012
HR,12810,35549
HR,13046,34594
HR,13046,35549
HR,25528,34594
HR,25528,9119
HR,31012,9119
HR,31012,34362
HR,174,31012
HR,31012,34594
HR,34362,34594
HR,34594,9119
HR,34594,43061
HR,174,35549
