CC,Source,Target
IE,1197,31122
IE,1213,2128
IE,1213,2850
IE,1213,3549
IE,1213,6939
IE,1213,13237
IE,1213,42310
IE,1213,43531
IE,1213,3257
IE,1213,3356
IE,1213,20965
IE,2127,5466
IE,2127,29644
IE,2110,2128
IE,2128,6939
IE,13237,2128
IE,2128,43531
IE,251,5466
IE,286,5466
IE,5466,553
IE,1103,5466
IE,1267,5466
IE,1299,5466
IE,1764,5466
IE,2914,5466
IE,3216,5466
IE,3252,5466
IE,3257,5466
IE,3267,5466
IE,3292,5466
IE,3303,5466
IE,3333,5466
IE,3356,5466
IE,3741,5466
IE,4589,5466
IE,5089,5466
IE,5413,5466
IE,4983,5466
IE,5466,5580
IE,5466,6667
IE,5466,6830
IE,5466,6939
IE,5466,8116
IE,5466,8283
IE,5466,8359
IE,5466,8419
IE,5466,8426
IE,5466,8447
IE,5466,8468
IE,5466,8492
IE,5466,8596
IE,5466,8607
IE,5466,8928
IE,5466,9002
IE,5466,9115
IE,5466,9189
IE,5466,9304
IE,10026,5466
IE,11521,5466
IE,12637,5466
IE,12779,5466
IE,12859,5466
IE,12989,5466
IE,13030,5466
IE,13237,5466
IE,14537,5466
IE,15435,5466
IE,15751,5466
IE,15806,5466
IE,19151,5466
IE,20080,5466
IE,20485,5466
IE,20562,5466
IE,20640,5466
IE,20932,5466
IE,24989,5466
IE,25091,5466
IE,25160,5466
IE,25220,5466
IE,28917,5466
IE,29076,5466
IE,29140,5466
IE,29208,5466
IE,29686,5466
IE,30132,5466
IE,30614,5466
IE,30844,5466
IE,31019,5466
IE,31025,5466
IE,31133,5466
IE,31500,5466
IE,34004,5466
IE,34288,5466
IE,35289,5466
IE,35299,5466
IE,37100,5466
IE,39326,5466
IE,39730,5466
IE,39792,5466
IE,39912,5466
IE,39915,5466
IE,41095,5466
IE,41811,5466
IE,42708,5466
IE,44953,5466
IE,47615,5466
IE,48166,5466
IE,50300,5466
IE,50304,5466
IE,50763,5466
IE,51185,5466
IE,51516,5466
IE,51945,5466
IE,197953,5466
IE,200130,5466
IE,202018,5466
IE,1273,8760
IE,12388,174
IE,12388,3356
IE,12388,3549
IE,12388,13237
IE,12388,43531
IE,13100,15830
IE,13280,2110
IE,15405,49634
IE,15405,16171
IE,15405,47720
IE,1273,15502
IE,15502,6939
IE,13237,15502
IE,15502,34912
IE,15502,43531
IE,15612,174
IE,1273,15612
IE,15612,39319
IE,15806,174
IE,15806,3356
IE,15806,3549
