CC,Source,Target
IL,1680,174
IL,1680,553
IL,1103,1680
IL,1267,1680
IL,1299,1680
IL,1547,1680
IL,1680,1764
IL,1680,3252
IL,1680,3267
IL,1680,3288
IL,1680,3333
IL,1680,3741
IL,1680,5540
IL,1680,6777
IL,1680,6939
IL,1680,8283
IL,1680,8359
IL,1680,8419
IL,1680,8422
IL,1680,8426
IL,1680,8447
IL,1680,8468
IL,1680,8492
IL,1680,8596
IL,1680,8738
IL,1680,8867
IL,1680,8894
IL,1680,9002
IL,1680,9189
IL,1680,9304
IL,10026,1680
IL,11856,1680
IL,12222,1680
IL,12257,1680
IL,12441,1680
IL,12619,1680
IL,12637,1680
IL,12736,1680
IL,12754,1680
IL,12779,1680
IL,12859,1680
IL,12874,1680
IL,12989,1680
IL,13030,1680
IL,13073,1680
IL,13074,1680
IL,13093,1680
IL,13237,1680
IL,13240,1680
IL,13448,1680
IL,14537,1680
IL,15435,1680
IL,15526,1680
IL,15643,1680
IL,15686,1680
IL,15708,1680
IL,15976,1680
IL,16061,1680
IL,16158,1680
IL,16370,1680
IL,1680,19151
IL,1680,20080
IL,1680,20485
IL,1680,20562
IL,1680,20640
IL,1680,20645
IL,1680,20800
IL,1680,20841
IL,1680,20932
IL,1680,21350
IL,1680,21363
IL,1680,21486
IL,1680,24989
IL,1680,25046
IL,1680,25091
IL,1680,25160
IL,1680,25220
IL,1680,25237
IL,1680,28917
IL,1680,29076
IL,1680,29140
IL,1680,29149
IL,1680,29208
IL,1680,29410
IL,1680,29608
IL,1680,29611
IL,1680,29636
IL,1680,30132
IL,1680,30744
IL,1680,30844
IL,1680,30866
IL,1680,31019
IL,1680,31025
IL,1680,31133
IL,1680,31417
IL,1680,31500
IL,1680,31578
IL,1680,33891
IL,1680,34105
IL,1680,34288
IL,1680,34583
IL,1680,35243
IL,1680,35435
IL,1680,35438
IL,1680,35532
IL,1680,35553
IL,1680,35560
IL,1680,36351
IL,1680,37100
IL,1680,39202
IL,1680,39213
IL,1680,39274
IL,1680,39343
IL,1680,39768
IL,1680,39792
IL,1680,39912
IL,1680,41095
IL,1680,41346
IL,1680,41394
IL,1680,41695
IL,1680,41811
IL,1680,41923
IL,1680,41927
IL,1680,42647
IL,1680,42708
IL,1680,42793
IL,1680,42925
IL,1680,43194
IL,1680,43514
IL,1680,43871
IL,1680,44282
IL,1680,44367
IL,1680,44669
IL,1680,44953
IL,1680,47253
IL,1680,47256
IL,1680,47776
IL,1680,47997
IL,1680,48068
IL,1680,48166
IL,1680,48966
IL,1680,49069
IL,1680,49308
IL,1680,49391
IL,1680,49456
IL,1680,49771
IL,1680,49794
IL,1680,50237
IL,1680,50300
IL,1680,50304
IL,1680,50454
IL,1680,50744
IL,1680,50763
IL,1680,50995
IL,1680,51185
IL,1680,51304
IL,1680,51336
IL,1680,51440
IL,1680,51825
IL,1680,56378
IL,1680,56596
IL,1680,56730
IL,1680,56804
IL,1680,56839
IL,1680,57035
IL,1680,57259
IL,1680,58268
IL,1680,197538
IL,1680,197797
IL,1680,197819
IL,1680,198087
IL,1680,198114
IL,1680,198773
IL,1680,199270
IL,1680,200130
IL,1680,201415
IL,1680,202018
IL,1680,202109
IL,1680,202122
IL,1680,3257
IL,1680,6453
IL,1680,6762
IL,1680,43531
IL,3288,8551
IL,3356,5486
IL,3549,5486
IL,5486,8738
IL,20623,5486
IL,20645,5486
IL,20841,5486
IL,47135,5486
IL,5486,8551
IL,5486,9116
IL,6810,8551
IL,8203,8551
IL,174,8551
IL,251,8551
IL,553,8551
IL,1103,8551
IL,1267,8551
IL,1299,8551
IL,1764,8551
IL,2603,8551
IL,3216,8551
IL,3252,8551
IL,3257,8551
IL,3267,8551
IL,3303,8551
IL,3333,8551
IL,3356,8551
IL,3491,8551
IL,3549,8551
IL,3741,8551
IL,4589,8551
IL,4739,8551
IL,5413,8551
IL,5580,8551
IL,6453,8551
IL,6667,8551
IL,6730,8551
IL,6777,8551
IL,6939,8551
IL,8218,8551
IL,8283,8551
IL,8359,8551
IL,8419,8551
IL,8422,8551
IL,8426,8551
IL,8447,8551
IL,8468,8551
IL,8492,8551
IL,109,8551
IL,714,8551
IL,1547,8551
IL,4983,8551
IL,6907,8551
IL,8551,8596
IL,8551,8607
IL,8551,8657
IL,8551,8732
IL,8551,8867
IL,8551,8928
IL,8551,8958
IL,8551,9002
IL,8551,9071
IL,8551,9116
IL,8551,9189
IL,8551,9304
IL,8551,9505
IL,10026,8551
IL,11666,8551
IL,12491,8551
IL,12619,8551
IL,12637,8551
IL,12714,8551
IL,12749,8551
IL,12753,8551
IL,12779,8551
IL,12802,8551
IL,12849,8551
IL,12859,8551
IL,12874,8551
IL,12989,8551
IL,13035,8551
IL,13074,8551
IL,13093,8551
IL,13237,8551
IL,13240,8551
IL,14537,8551
IL,15435,8551
IL,15805,8551
IL,15976,8551
IL,16116,8551
IL,16158,8551
IL,16370,8551
IL,19151,8551
IL,19551,8551
IL,20080,8551
IL,20464,8551
IL,20485,8551
IL,20562,8551
IL,20640,8551
IL,20645,8551
IL,20800,8551
IL,20932,8551
IL,21486,8551
IL,24989,8551
IL,25003,8551
IL,25091,8551
IL,25125,8551
IL,25160,8551
IL,25220,8551
IL,25565,8551
IL,25804,8551
IL,28783,8551
IL,28799,8551
IL,28833,8551
IL,28917,8551
IL,29076,8551
IL,29140,8551
IL,29149,8551
IL,29208,8551
IL,29611,8551
IL,29636,8551
IL,29686,8551
IL,30132,8551
IL,30844,8551
IL,31019,8551
IL,31025,8551
IL,31092,8551
IL,31133,8551
IL,31162,8551
IL,31500,8551
IL,33802,8551
IL,33891,8551
IL,33914,8551
IL,34105,8551
IL,34288,8551
IL,34380,8551
IL,34886,8551
IL,35243,8551
IL,35435,8551
IL,35532,8551
IL,35541,8551
IL,35553,8551
IL,36351,8551
IL,36408,8551
IL,37100,8551
IL,39202,8551
IL,39274,8551
IL,39343,8551
IL,39768,8551
IL,39792,8551
IL,39912,8551
IL,41095,8551
IL,41116,8551
IL,41394,8551
IL,41692,8551
IL,41695,8551
IL,41811,8551
IL,41924,8551
IL,42243,8551
IL,42384,8551
IL,42647,8551
IL,42708,8551
IL,42793,8551
IL,42976,8551
IL,43381,8551
IL,43423,8551
IL,43438,8551
IL,43514,8551
IL,43531,8551
IL,43842,8551
IL,43937,8551
IL,44282,8551
IL,44427,8551
IL,44435,8551
IL,44709,8551
IL,44953,8551
IL,45887,8551
IL,47665,8551
IL,47766,8551
IL,47770,8551
IL,48166,8551
IL,48966,8551
IL,49069,8551
IL,49076,8551
IL,49308,8551
IL,49484,8551
IL,49771,8551
IL,49794,8551
IL,49921,8551
IL,49993,8551
IL,50006,8551
IL,50079,8551
IL,50300,8551
IL,50304,8551
IL,50365,8551
IL,50454,8551
IL,50763,8551
IL,51082,8551
IL,51185,8551
IL,51651,8551
IL,51825,8551
IL,56521,8551
IL,56596,8551
IL,56730,8551
IL,56787,8551
IL,56804,8551
IL,56914,8551
IL,57259,8551
IL,57666,8551
IL,57704,8551
IL,57727,8551
IL,59648,8551
IL,60933,8551
IL,61102,8551
IL,62571,8551
IL,197797,8551
IL,197819,8551
IL,198114,8551
IL,198425,8551
IL,198484,8551
IL,198986,8551
IL,199267,8551
IL,199989,8551
IL,200130,8551
IL,201660,8551
IL,201857,8551
IL,202018,8551
IL,202109,8551
IL,13030,8551
IL,16265,8551
IL,50384,8551
IL,174,8867
IL,8894,9116
IL,3491,9071
IL,51606,9071
IL,251,9116
IL,286,9116
IL,553,9116
IL,701,9116
IL,702,9116
IL,1103,9116
IL,1267,9116
IL,1764,9116
IL,2603,9116
IL,3252,9116
IL,3257,9116
IL,3303,9116
IL,3356,9116
IL,3491,9116
IL,3549,9116
IL,3741,9116
IL,5580,9116
IL,6453,9116
IL,6762,9116
IL,6939,9116
IL,8218,9116
IL,8359,9116
IL,8419,9116
IL,8422,9116
IL,8426,9116
IL,8447,9116
IL,8468,9116
IL,8492,9116
IL,8596,9116
IL,8657,9116
IL,8732,9116
IL,8943,9116
IL,9002,9116
IL,109,9116
IL,714,9116
IL,9116,9189
IL,9116,9304
IL,11666,9116
IL,12257,9116
IL,12350,9116
IL,12400,9116
IL,12491,9116
IL,12736,9116
IL,12749,9116
IL,12753,9116
IL,12779,9116
IL,12802,9116
IL,12859,9116
IL,12874,9116
IL,13073,9116
IL,13237,9116
IL,14537,9116
IL,15412,9116
IL,15823,9116
IL,15976,9116
IL,16061,9116
IL,16240,9116
IL,19151,9116
IL,19239,9116
IL,20485,9116
IL,20640,9116
IL,20645,9116
IL,20800,9116
IL,21486,9116
IL,22753,9116
IL,24989,9116
IL,25046,9116
IL,25091,9116
IL,25160,9116
IL,25220,9116
IL,25237,9116
IL,25565,9116
IL,28799,9116
IL,28917,9116
IL,29076,9116
IL,29140,9116
IL,29208,9116
IL,29611,9116
IL,29636,9116
IL,29686,9116
IL,30844,9116
IL,31019,9116
IL,31025,9116
IL,31092,9116
IL,31133,9116
IL,31162,9116
IL,31334,9116
IL,31417,9116
IL,31500,9116
IL,33802,9116
IL,33891,9116
IL,34288,9116
IL,34598,9116
IL,34852,9116
IL,34886,9116
IL,35016,9116
IL,35435,9116
IL,35532,9116
IL,36351,9116
IL,37100,9116
IL,39159,9116
IL,39202,9116
IL,39274,9116
IL,39792,9116
IL,39912,9116
IL,41095,9116
IL,41695,9116
IL,41811,9116
IL,41923,9116
IL,41924,9116
IL,42708,9116
IL,43165,9116
IL,43423,9116
IL,43531,9116
IL,43739,9116
IL,43871,9116
IL,44367,9116
IL,44709,9116
IL,47135,9116
IL,47461,9116
IL,48166,9116
IL,48627,9116
IL,49771,9116
IL,50081,9116
IL,50300,9116
IL,51385,9116
IL,51440,9116
IL,51651,9116
IL,56730,9116
IL,56914,9116
IL,60590,9116
IL,60933,9116
IL,196828,9116
IL,197012,9116
IL,197538,9116
IL,202109,9116
IL,13030,9116
IL,16265,9116
IL,50384,9116
IL,12400,12988
IL,12400,13035
IL,12400,14857
IL,12400,15526
IL,12400,15708
IL,12400,16240
IL,12400,19239
IL,12400,20645
IL,12400,31578
IL,12400,34380
IL,12400,39213
IL,12400,41264
IL,12400,42384
IL,12400,43842
IL,12400,47155
IL,12400,49921
IL,12400,57035
IL,12400,198087
IL,12441,25003
IL,12491,174
IL,12491,3320
IL,12491,3491
IL,12491,6453
IL,12491,7420
IL,12491,24890
IL,12491,32842
IL,12491,36913
IL,12491,36955
IL,12491,37012
IL,12491,37043
IL,12491,37047
IL,12491,37048
IL,12491,37098
IL,12491,37103
IL,12491,37214
IL,12491,37409
IL,12491,37415
IL,12491,37453
IL,12491,37584
IL,12491,37641
IL,12491,37662
IL,12491,22351
IL,12491,60725
IL,12749,701
IL,12749,702
IL,12849,174
IL,12849,553
IL,1103,12849
IL,1267,12849
IL,12849,1764
IL,12849,3252
IL,12849,3267
IL,12849,3333
IL,12849,4739
IL,12849,6453
IL,12849,6730
IL,12849,6762
IL,12849,6777
IL,12849,6939
IL,12849,8283
IL,12849,8359
IL,12849,8426
IL,12849,8447
IL,12849,8468
IL,12849,8492
IL,12849,8596
IL,12849,8657
IL,12849,8732
IL,12849,9002
IL,12849,9189
IL,12849,9304
IL,10026,12849
IL,12637,12849
IL,12779,12849
IL,12849,4983
IL,12849,12859
IL,12849,12989
IL,12849,13237
IL,12849,15435
IL,12849,20080
IL,12849,20485
IL,12849,20562
IL,12849,20640
IL,12849,20932
IL,12849,21450
IL,12849,24989
IL,12849,25091
IL,12849,25160
IL,12849,25220
IL,12849,28917
IL,12849,29076
IL,12849,29140
IL,12849,29208
IL,12849,30132
IL,12849,30844
IL,12849,31019
IL,12849,31025
IL,12849,31133
IL,12849,31500
IL,12849,33891
IL,12849,34288
IL,12849,35392
IL,12849,37100
IL,12849,39792
IL,12849,39912
IL,12849,42708
IL,12849,44953
IL,12849,47665
IL,12849,48166
IL,12849,48627
IL,12849,50300
