CC,Source,Target
IQ,3178,44217
IQ,3194,62368
IQ,3194,44217
IQ,3194,50597
IQ,174,21277
IQ,21277,3356
IQ,21277,3549
IQ,21277,6453
IQ,21277,8928
IQ,21277,9121
IQ,21277,39216
IQ,21277,51018
IQ,21277,51539
IQ,21277,51684
IQ,21277,56484
IQ,21277,62223
IQ,196918,21277
IQ,197882,21277
IQ,197985,21277
IQ,198183,21277
IQ,198802,21277
IQ,35160,50597
IQ,29049,39216
IQ,34708,39216
IQ,39216,49571
IQ,39216,50597
IQ,39216,57324
IQ,39216,57908
IQ,39216,59588
IQ,39216,62223
IQ,197985,39216
IQ,198183,39216
IQ,198589,39216
IQ,39216,44217
IQ,39216,44395
IQ,251,44217
IQ,44217,553
IQ,1267,44217
IQ,1299,44217
IQ,1764,44217
IQ,3252,44217
IQ,3320,44217
IQ,3356,44217
IQ,3549,44217
IQ,44217,6453
IQ,44217,6939
IQ,44217,8426
IQ,44217,8468
IQ,44217,8492
IQ,44217,8596
IQ,44217,8732
IQ,44217,8928
IQ,44217,9002
IQ,44217,9189
IQ,12779,44217
IQ,12859,44217
IQ,13030,44217
IQ,13237,44217
IQ,16265,44217
IQ,20640,44217
IQ,20771,44217
IQ,24989,44217
IQ,25091,44217
IQ,25220,44217
IQ,28917,44217
IQ,29049,44217
IQ,29076,44217
IQ,29140,44217
IQ,29208,44217
IQ,30844,44217
IQ,31019,44217
IQ,31025,44217
IQ,31133,44217
IQ,31500,44217
IQ,34288,44217
IQ,34984,44217
IQ,36351,44217
IQ,39792,44217
IQ,39912,44217
IQ,42708,44217
IQ,34708,44217
IQ,36408,44217
IQ,44217,44395
IQ,44217,47872
IQ,44217,48166
IQ,44217,50710
IQ,44217,51018
IQ,44217,51684
IQ,44217,56484
IQ,44217,57324
IQ,44217,57585
IQ,44217,57588
IQ,44217,58322
IQ,44217,58336
IQ,133540,44217
IQ,197893,44217
IQ,198589,44217
IQ,198735,44217
IQ,198802,44217
IQ,201668,44217
IQ,174,48407
IQ,50461,60929
IQ,50162,50597
IQ,50597,56484
IQ,50597,57585
IQ,50597,57588
IQ,50597,58322
IQ,50597,59458
IQ,50597,59588
IQ,50597,60815
IQ,50597,60849
IQ,50597,62368
IQ,197893,50597
IQ,199826,50597
IQ,202055,50597
IQ,50597,60929
IQ,3356,50710
IQ,3549,50710
IQ,15412,50710
IQ,50162,50710
IQ,50710,59588
IQ,50710,62338
IQ,198589,50710
IQ,202055,50710
IQ,44356,56484
IQ,198735,56484
IQ,56484,60929
IQ,57324,60145
IQ,199826,57324
IQ,201272,57324
IQ,57324,60929
IQ,42705,57588
IQ,198666,57588
IQ,57958,60929
IQ,58070,60929
IQ,59458,6453
IQ,201272,59458
IQ,197305,29259
IQ,15169,44217
