CC,Source,Target
JO,50955,8376
JO,59451,8376
JO,197921,8376
JO,202092,8376
JO,8376,8697
JO,3356,8697
JO,3549,8697
JO,5511,8697
JO,6453,8697
JO,8452,8697
JO,21088,8697
JO,35656,8697
JO,42319,8697
JO,51958,8697
JO,57393,8697
JO,12975,8697
JO,15412,8697
JO,48237,8697
JO,8934,9038
JO,42912,8934
JO,47887,8934
JO,3257,9038
JO,3356,9038
JO,3549,9038
JO,6762,9038
JO,28730,9038
JO,60838,9038
JO,197921,9038
JO,47887,9038
JO,48237,9038
JO,12524,47887
JO,28730,50670
JO,3257,33831
JO,35282,47887
JO,20,42912
JO,3257,42912
JO,39386,42912
JO,42912,50670
JO,42912,51958
JO,42912,48832
JO,44702,50670
JO,251,47887
JO,47887,553
JO,1267,47887
JO,1764,47887
JO,3252,47887
JO,3257,47887
JO,3356,47887
JO,3491,47887
JO,3549,47887
JO,47887,6939
JO,47887,8426
JO,47887,8468
JO,47887,8492
JO,47887,8596
JO,47887,8732
JO,47887,9002
JO,47887,9189
JO,12779,47887
JO,12859,47887
JO,13237,47887
JO,20485,47887
JO,20640,47887
JO,24989,47887
JO,25091,47887
JO,25220,47887
JO,28917,47887
JO,29076,47887
JO,29140,47887
JO,29208,47887
JO,30844,47887
JO,31019,47887
JO,31025,47887
JO,31133,47887
JO,31500,47887
JO,33891,47887
JO,34288,47887
JO,35753,47887
JO,39792,47887
JO,39912,47887
JO,42708,47887
JO,40986,47887
JO,47887,48166
JO,3257,48832
JO,20,48832
JO,48832,60302
JO,48832,60838
JO,48832,60849
JO,202092,48832
JO,48832,59605
JO,50162,50597
JO,50162,50710
JO,1299,50670
JO,3356,50670
JO,3549,50670
JO,12975,50670
JO,100,51958
JO,15802,59451
JO,32787,59451
JO,20,60838
JO,3257,60849
JO,3491,60849
JO,50597,60849
