CC,Source,Target
KG,39214,8511
KG,41271,8511
KG,61010,8511
KG,12764,39214
KG,12764,44343
KG,12764,50873
KG,12764,56988
KG,12764,59430
KG,12764,35104
KG,12764,61010
KG,12997,9198
KG,12389,12997
KG,12997,8847
KG,12997,20485
KG,12997,24722
KG,12997,25035
KG,12997,48271
KG,12997,48887
KG,12997,50223
KG,12997,51346
KG,12997,43727
KG,25035,39819
KG,12695,29061
KG,29061,39819
KG,29061,50251
KG,29061,60188
KG,29061,61196
KG,29061,61010
KG,39214,8449
KG,41271,8449
KG,41329,8449
KG,35168,41329
KG,35104,41750
KG,41750,47782
KG,41750,50873
KG,41750,52214
KG,41750,61010
KG,35104,47237
KG,35168,47237
KG,47782,8449
KG,48271,8449
KG,50223,8449
KG,31133,50223
KG,35168,50223
KG,12389,57041
KG,28745,57041
KG,57096,8449
KG,57878,8449
KG,59430,8449
KG,59527,8449
KG,59527,59684
KG,43727,61010
KG,44604,61010
KG,61196,8449
KG,197118,20965
KG,197118,43030
KG,197118,51327
KG,197118,197119
KG,197118,41419
