CC,Source,Target
KH,55329,7712
KH,4739,9902
KH,4809,9902
KH,4826,9902
KH,6939,9902
KH,7660,9902
KH,9002,9902
KH,9304,9902
KH,9505,9902
KH,17726,9902
KH,17887,9902
KH,17981,9902
KH,23673,9902
KH,24441,9902
KH,38286,9902
KH,45498,9902
KH,45656,9902
KH,55636,9902
KH,55769,9902
KH,58424,9902
KH,58447,9902
KH,132590,9902
KH,18403,9902
KH,24218,9902
KH,38726,9902
KH,58453,9902
KH,17726,9304
KH,17726,23673
KH,17726,38286
KH,17726,38579
KH,17726,58447
KH,17976,55329
KH,17981,38235
KH,17981,45896
KH,18014,55329
KH,23673,42
KH,209,23673
KH,1239,23673
KH,1299,23673
KH,1836,23673
KH,23673,2518
KH,23673,2687
KH,23673,2706
KH,23673,2914
KH,23673,3491
KH,23673,3549
KH,23673,3661
KH,23673,3662
KH,23673,3741
KH,23673,3856
KH,23673,4040
KH,23673,4058
KH,23673,4382
KH,23673,4434
KH,23673,4515
KH,23673,4637
KH,23673,4641
KH,23673,4645
KH,23673,4651
KH,23673,4658
KH,23673,4739
KH,23673,4760
KH,23673,4761
KH,23673,4780
KH,23673,4788
KH,23673,4826
KH,23673,4862
KH,23673,6453
KH,23673,6619
KH,23673,6648
KH,23673,6660
KH,23673,6939
KH,23673,7479
KH,23673,7497
KH,23673,7540
KH,23673,7552
KH,23673,7598
KH,23673,7602
KH,23673,7610
KH,23673,7617
KH,23673,7660
KH,23673,7713
KH,23673,7862
KH,23673,8075
KH,23673,8304
KH,23673,9002
KH,23673,9221
KH,23673,9228
KH,23673,9229
KH,23673,9231
KH,23673,9253
KH,23673,9263
KH,23673,9264
KH,23673,9269
KH,23673,9293
KH,23673,9304
KH,23673,9381
KH,23673,9409
KH,23673,9498
KH,23673,9505
KH,23673,9513
KH,23673,9534
KH,23673,9535
KH,23673,9536
KH,23673,9584
KH,23673,9658
KH,23673,9729
KH,23673,9732
KH,23673,9785
KH,23673,9875
KH,23673,9905
KH,23673,9906
KH,23673,9908
KH,23673,9909
KH,23673,9924
KH,23673,9925
KH,23673,9957
KH,10026,23673
KH,10030,23673
KH,10032,23673
KH,10098,23673
KH,10099,23673
KH,10103,23673
KH,10118,23673
KH,10153,23673
KH,10205,23673
KH,10310,23673
KH,12678,23673
KH,13335,23673
KH,13414,23673
KH,13445,23673
KH,15133,23673
KH,15169,23673
KH,15695,23673
KH,17299,23673
KH,17444,23673
KH,17450,23673
KH,17451,23673
KH,17454,23673
KH,17537,23673
KH,17554,23673
KH,17579,23673
KH,17619,23673
KH,17657,23673
KH,17660,23673
KH,17666,23673
KH,17670,23673
KH,17671,23673
KH,17727,23673
KH,17814,23673
KH,17884,23673
KH,17888,23673
KH,17924,23673
KH,17934,23673
KH,17975,23673
KH,17990,23673
KH,17995,23673
KH,18056,23673
KH,18103,23673
KH,18106,23673
KH,18218,23673
KH,18366,23673
KH,18368,23673
KH,18382,23673
KH,18393,23673
KH,18403,23673
KH,20485,23673
KH,21859,23673
KH,22822,23673
KH,23576,23673
KH,23666,23673
KH,23673,23695
KH,23673,23709
KH,23673,23749
KH,23673,23756
KH,23673,23875
KH,23673,23881
KH,23673,23930
KH,23673,23944
KH,23673,23953
