CC,Source,Target
KW,1103,3225
KW,1267,3225
KW,1299,3225
KW,3225,3741
KW,3225,6939
KW,3225,8359
KW,3225,8419
KW,3225,8422
KW,3225,8468
KW,12779,3225
KW,12859,3225
KW,13237,3225
KW,14537,3225
KW,19151,3225
KW,20485,3225
KW,25091,3225
KW,25122,3225
KW,25160,3225
KW,29208,3225
KW,29611,3225
KW,29636,3225
KW,30844,3225
KW,31133,3225
KW,31500,3225
KW,3225,33891
KW,3225,34288
KW,3225,36351
KW,3225,37100
KW,3225,39202
KW,3225,39792
KW,3225,41695
KW,3225,41811
KW,3225,42708
KW,3225,43531
KW,3225,47519
KW,3225,47589
KW,3225,49205
KW,3225,50300
KW,3225,56730
KW,3225,60992
KW,199869,3225
KW,202109,3225
KW,3225,6762
KW,15802,3225
KW,3225,39386
KW,3356,9155
KW,3549,9155
KW,6453,9155
KW,8781,9155
KW,16060,9155
KW,29029,9155
KW,29357,9155
KW,30033,9155
KW,39504,9155
KW,41890,9155
KW,42013,9155
KW,42028,9155
KW,42961,9155
KW,43184,9155
KW,45246,9155
KW,47589,9155
KW,49104,9155
KW,51914,9155
KW,56680,9155
KW,61089,9155
KW,196921,9155
KW,15412,9155
KW,39386,9155
KW,48237,9155
KW,21050,31488
KW,21050,39682
KW,21050,41890
KW,21050,42606
KW,21050,43158
KW,21050,43184
KW,21050,45246
KW,21050,50774
KW,21050,51080
KW,21050,52081
KW,21050,57719
KW,196635,21050
KW,196921,21050
KW,199729,21050
KW,201756,21050
KW,21050,43852
KW,1299,25122
KW,25122,3257
KW,25122,3356
KW,25122,3549
KW,24627,25122
KW,25242,43852
KW,29357,43852
KW,209,35181
KW,35181,6412
KW,10026,35181
KW,35181,43852
KW,39504,42781
KW,39682,42781
KW,15830,41669
KW,41669,43531
KW,41890,42781
KW,42642,42781
KW,42781,6412
KW,30033,42781
KW,42028,42781
KW,42781,43080
KW,42781,43158
KW,42781,43184
KW,42781,49104
KW,42781,50774
KW,42781,51080
KW,42781,52081
KW,42781,57278
KW,42781,57714
KW,42781,61089
KW,198019,42781
KW,199526,42781
KW,199616,42781
KW,42961,59605
KW,43852,553
KW,1267,43852
KW,1299,43852
KW,1764,43852
KW,3252,43852
KW,3303,43852
KW,43852,5580
KW,43852,6453
KW,43852,6939
KW,43852,8426
KW,43852,8468
KW,43852,8492
KW,43852,8596
KW,43852,8732
KW,43852,9002
KW,43852,9189
KW,12779,43852
KW,12859,43852
KW,13030,43852
KW,13237,43852
KW,20485,43852
KW,20640,43852
KW,24989,43852
KW,25091,43852
KW,25220,43852
KW,28917,43852
KW,29076,43852
KW,29140,43852
KW,29208,43852
KW,30844,43852
KW,31019,43852
KW,31025,43852
KW,31133,43852
KW,31500,43852
KW,34288,43852
KW,39792,43852
KW,39912,43852
KW,42708,43852
KW,43531,43852
KW,43852,44356
KW,43852,48166
KW,43852,48237
KW,43852,50384
KW,1299,47442
KW,47589,6412
KW,196921,6412
KW,198392,6412
KW,3225,8966
KW,13414,3225
KW,21050,35819
KW,43852,8781
KW,2635,43852
