CC,Source,Target
KZ,20578,5434
KZ,5434,9198
KZ,29046,8393
KZ,35168,8393
KZ,41520,8393
KZ,57826,8393
KZ,59443,8393
KZ,8393,9198
KZ,35104,8393
KZ,43994,8720
KZ,59583,8720
KZ,31465,8825
KZ,8825,9198
KZ,2895,9198
KZ,3252,9198
KZ,3267,9198
KZ,3327,9198
KZ,6679,9198
KZ,8331,9198
KZ,8492,9198
KZ,8430,9198
KZ,12997,9198
KZ,15549,9198
KZ,20578,9198
KZ,20632,9198
KZ,20661,9198
KZ,20764,9198
KZ,20940,9198
KZ,21282,9198
KZ,24722,9198
KZ,25091,9198
KZ,28910,9198
KZ,28917,9198
KZ,29076,9198
KZ,29555,9198
KZ,31500,9198
KZ,33878,9198
KZ,34879,9198
KZ,35673,9198
KZ,39433,9198
KZ,39725,9198
KZ,39821,9198
KZ,41419,9198
KZ,41664,9198
KZ,43601,9198
KZ,43934,9198
KZ,43994,9198
KZ,43999,9198
KZ,44653,9198
KZ,47192,9198
KZ,48007,9198
KZ,48166,9198
KZ,48502,9198
KZ,48503,9198
KZ,49393,9198
KZ,50482,9198
KZ,51236,9198
KZ,51833,9198
KZ,51837,9198
KZ,55330,9198
KZ,56698,9198
KZ,57301,9198
KZ,57466,9198
KZ,57826,9198
KZ,60186,9198
KZ,60286,9198
KZ,60411,9198
KZ,60708,9198
KZ,61367,9198
KZ,198200,9198
KZ,198787,9198
KZ,198834,9198
KZ,12389,9198
KZ,20485,9198
KZ,31133,9198
KZ,60299,9198
KZ,13082,21299
KZ,13082,35566
KZ,15549,35104
KZ,15736,35168
KZ,15736,29046
KZ,20144,21282
KZ,21282,42909
KZ,21282,51833
KZ,21299,31525
KZ,21299,33878
KZ,21299,35168
KZ,21299,35566
KZ,21299,39433
KZ,21299,43601
KZ,21299,43994
KZ,21299,44256
KZ,21299,51979
KZ,21299,56968
KZ,21299,57301
KZ,21299,60186
KZ,25349,59583
KZ,29046,35168
KZ,29046,35566
KZ,29046,41798
KZ,29046,43994
KZ,29355,35168
KZ,29355,35104
KZ,29355,41798
KZ,31253,59583
KZ,31525,41798
KZ,34609,43994
KZ,3216,35104
KZ,12389,35104
KZ,31133,35104
KZ,35104,72
KZ,12764,35104
KZ,16525,35104
KZ,33959,35104
KZ,35104,35168
KZ,35104,41371
KZ,35104,41750
KZ,35104,44027
KZ,35104,47139
KZ,35104,47237
KZ,35104,48007
KZ,35104,48366
KZ,35104,48450
KZ,35104,56568
KZ,35104,57466
KZ,35104,57950
KZ,35104,59498
KZ,197079,35104
KZ,198787,35104
KZ,35104,41798
KZ,35104,43994
KZ,35104,60299
KZ,35168,35566
KZ,35673,43994
KZ,39188,41798
KZ,39188,43994
KZ,3325,39805
KZ,39805,9002
KZ,39805,43265
KZ,35168,39824
KZ,39824,60411
KZ,39824,41798
KZ,39824,43994
KZ,41007,59583
KZ,41124,43994
KZ,41371,49095
KZ,41413,43994
KZ,41520,43994
KZ,3216,41798
KZ,3327,41798
KZ,41798,9002
KZ,20485,41798
KZ,21219,41798
KZ,25534,41798
KZ,41798,43873
KZ,41798,43994
KZ,41798,47613
KZ,41798,48503
KZ,41798,48716
KZ,41798,51363
KZ,41798,56968
KZ,41798,60411
KZ,41798,61392
KZ,41798,62111
KZ,197686,41798
KZ,25534,41800
KZ,35168,42770
KZ,197556,42770
KZ,35168,43994
KZ,25534,43994
KZ,41284,43994
KZ,42597,43994
KZ,43370,43994
KZ,43994,49393
KZ,43994,50386
KZ,43994,51192
KZ,43994,56968
KZ,43994,59583
KZ,197686,43994
KZ,43994,60299
KZ,44256,48716
KZ,197686,44653
KZ,48535,59583
KZ,49696,59583
KZ,197686,51162
KZ,51363,56369
KZ,51833,8495
KZ,15835,51833
KZ,29066,51833
KZ,49070,51878
KZ,20485,51997
KZ,25534,56444
KZ,35168,56444
KZ,35168,56698
KZ,50245,56786
KZ,35168,57013
KZ,20485,57826
KZ,197079,59583
KZ,35168,60708
KZ,25534,61185
KZ,197556,2895
KZ,197556,3216
KZ,197556,3252
KZ,197556,3267
KZ,197556,3327
KZ,197556,6679
KZ,197556,8331
KZ,197556,8492
KZ,197556,20632
KZ,197556,21219
KZ,197556,25091
KZ,197556,31500
KZ,197556,35168
KZ,197556,39821
KZ,197556,48166
KZ,197556,60299
KZ,197686,198834
KZ,198200,43370
KZ,47613,8393
KZ,15169,9198
KZ,29355,9198
KZ,3216,9198
KZ,15736,43999
KZ,15736,43994
KZ,21299,35104
KZ,197118,41419
KZ,15169,197556
KZ,197556,34747
KZ,51997,9198
KZ,29355,43999
KZ,25534,43999
