CC,Source,Target
LB,3176,9051
LB,16130,3176
LB,3176,39010
LB,12376,9051
LB,12812,9051
LB,24634,9051
LB,34370,9051
LB,34741,9051
LB,39275,9051
LB,39868,9051
LB,47674,9051
LB,48740,9051
LB,49004,9051
LB,51938,9051
LB,58281,9051
LB,60406,9051
LB,61113,9051
LB,199643,9051
LB,30721,9051
LB,31198,9051
LB,42020,9051
LB,12812,31126
LB,16130,42020
LB,24634,24982
LB,24634,31126
LB,24634,61113
LB,197249,24634
LB,198867,24634
LB,24634,29286
LB,24634,30721
LB,24634,42020
LB,24982,39010
LB,29286,31126
LB,30721,31126
LB,31126,39918
LB,31126,51938
LB,31126,58281
LB,31126,62144
LB,31126,42020
LB,34708,39216
LB,34708,44217
LB,34741,42020
LB,35074,37148
LB,35074,37282
LB,3223,35197
LB,29686,35197
LB,35197,39743
LB,35197,42020
LB,38999,42020
LB,30721,39010
LB,31198,39010
LB,39010,39868
LB,39010,39918
LB,39010,41211
LB,39010,43056
LB,39010,44189
LB,196856,39010
LB,196917,39010
LB,39010,42020
LB,39402,42020
LB,30721,41833
LB,41833,42020
LB,42003,42020
LB,174,42020
LB,3356,42020
LB,3491,42020
LB,3549,42020
LB,42020,6453
LB,42020,42183
LB,42020,42334
LB,42020,42852
LB,42020,43019
LB,42020,43056
LB,42020,43824
LB,42020,44189
LB,42020,47935
LB,42020,48847
LB,42020,51558
LB,42020,57256
LB,42020,57513
LB,42020,59931
LB,42020,59989
LB,42020,60372
LB,42020,60398
LB,42020,60999
LB,198867,42334
LB,42852,58281
LB,29686,47935
LB,48847,57256
LB,50285,52036
LB,51910,701
LB,51910,702
LB,3356,51910
LB,3549,51910
LB,51910,6461
LB,37100,51910
LB,37631,51910
LB,174,56530
LB,3356,56530
LB,3549,56530
LB,174,57937
LB,25577,57937
LB,3223,59989
LB,39743,59989
LB,197674,3491
LB,198727,35568
