CC,Source,Target
LI,15955,174
LI,15955,6830
LI,15955,48362
LI,174,20634
LI,20634,251
LI,20634,513
LI,1103,20634
LI,1267,20634
LI,20634,3252
LI,20634,3267
LI,20634,3303
LI,20634,3320
LI,20634,3333
LI,20634,3356
LI,20634,3549
LI,20634,4589
LI,20634,5580
LI,20634,6667
LI,20634,6939
LI,20634,8283
LI,20634,8359
LI,20634,8447
LI,20634,8468
LI,20634,8492
LI,20634,8758
LI,20634,9002
LI,20634,9304
LI,12350,20634
LI,12637,20634
LI,12779,20634
LI,12859,20634
LI,12989,20634
LI,13237,20634
LI,15435,20634
LI,19151,20634
LI,20080,20634
LI,20562,20634
LI,20612,20634
LI,20634,20932
LI,20634,25091
LI,20634,25160
LI,20634,25220
LI,20634,28917
LI,20634,29140
LI,20634,29208
LI,20634,30132
LI,20634,30844
LI,20634,31019
LI,20634,31133
LI,20634,31500
LI,20634,34288
LI,20634,37100
LI,20634,39145
LI,20634,39326
LI,20634,39792
LI,20634,42708
LI,20634,48166
LI,20634,48362
LI,20634,50300
LI,20634,50304
LI,20634,50763
LI,20634,51185
LI,20634,57210
LI,198288,20634
LI,200130,20634
LI,202018,20634
LI,21113,6730
LI,21113,8447
LI,1764,35223
LI,3257,35223
LI,35223,5385
LI,35223,6939
LI,35223,8218
LI,35223,9002
LI,12350,35223
LI,12387,35223
LI,20932,35223
LI,25091,35223
LI,29222,35223
LI,34288,35223
LI,35223,49652
LI,3303,35535
LI,12387,35535
LI,3257,39145
LI,39145,6939
LI,39145,9002
LI,12350,39145
LI,12387,39145
LI,20932,39145
LI,34288,39145
LI,39145,48362
LI,174,42162
LI,42162,6830
LI,42162,48362
LI,12387,49652
LI,56653,8447
LI,12387,56653
LI,12387,57210
LI,12387,59748
LI,174,196734
LI,196734,3356
LI,196734,3549
LI,198288,48362
LI,198288,34919
LI,198412,5577
LI,198412,6939
LI,198412,7604
LI,198412,8492
LI,15003,198412
LI,16154,198412
LI,198412,20836
LI,198412,22356
LI,198412,25761
LI,198412,36236
LI,198412,36446
LI,198412,36943
LI,198412,42708
LI,198412,47720
LI,198412,49634
LI,198412,57463
LI,198412,58436
LI,198412,61163
LI,198412,62588
LI,132335,198412
LI,13414,20634
LI,20634,20940
LI,10310,20634
LI,15169,20634
LI,20634,8075
LI,198288,58119
