CC,Source,Target
LU,2602,6939
LU,13237,2602
LU,2602,26415
LU,2602,42909
LU,2602,3356
LU,2602,5577
LU,20965,2602
LU,174,3347
LU,3347,6939
LU,3347,3549
LU,3347,6661
LU,174,5577
LU,5577,8632
LU,29608,5577
LU,34769,5577
LU,41095,5577
LU,49624,5577
LU,50763,5577
LU,51405,5577
LU,51430,5577
LU,53667,5577
LU,54456,5577
LU,5577,60778
LU,198412,5577
LU,46786,5577
LU,174,6661
LU,251,6661
LU,553,6661
LU,6661,680
LU,1103,6661
LU,1267,6661
LU,1764,6661
LU,2497,6661
LU,2914,6661
LU,3216,6661
LU,3252,6661
LU,3257,6661
LU,3267,6661
LU,3292,6661
LU,3303,6661
LU,3320,6661
LU,3333,6661
LU,3741,6661
LU,4589,6661
LU,4739,6661
LU,5580,6661
LU,6661,6667
LU,6661,6730
LU,6661,6891
LU,6661,6939
LU,6661,8283
LU,6661,8359
LU,6661,8419
LU,6661,8426
LU,6661,8447
LU,6661,8468
LU,6661,8492
LU,6661,8596
LU,6661,8607
LU,6661,9002
LU,6661,9008
LU,6661,9189
LU,6661,9304
LU,10026,6661
LU,11245,6661
LU,11666,6661
LU,12350,6661
LU,12637,6661
LU,12684,6661
LU,12779,6661
LU,12859,6661
LU,12874,6661
LU,12989,6661
LU,13030,6661
LU,13237,6661
LU,14537,6661
LU,15435,6661
LU,19151,6661
LU,20080,6661
LU,20501,6661
LU,20562,6661
LU,20640,6661
LU,20932,6661
LU,21179,6661
LU,21484,6661
LU,24611,6661
LU,24989,6661
LU,25091,6661
LU,25160,6661
LU,25220,6661
LU,25367,6661
LU,28917,6661
LU,29076,6661
LU,29140,6661
LU,29208,6661
LU,29608,6661
LU,29611,6661
LU,29636,6661
LU,29686,6661
LU,30132,6661
LU,30844,6661
LU,31019,6661
LU,31025,6661
LU,31133,6661
LU,31500,6661
LU,34288,6661
LU,34683,6661
LU,36351,6661
LU,37100,6661
LU,39202,6661
LU,39792,6661
LU,39912,6661
LU,41095,6661
LU,41695,6661
LU,41811,6661
LU,43719,6661
LU,43751,6661
LU,44295,6661
LU,44708,6661
LU,47137,6661
LU,47557,6661
LU,47944,6661
LU,48166,6661
LU,49814,6661
LU,50300,6661
LU,50304,6661
LU,50763,6661
LU,51185,6661
LU,51497,6661
LU,56730,6661
LU,57205,6661
LU,57935,6661
LU,60319,6661
LU,198015,6661
LU,198191,6661
LU,198290,6661
LU,198664,6661
LU,200130,6661
LU,201441,6661
LU,201973,6661
LU,202018,6661
LU,202109,6661
LU,16265,6661
LU,174,8632
LU,553,8632
LU,1103,8632
LU,1267,8632
LU,1764,8632
LU,3252,8632
LU,3267,8632
LU,3333,8632
LU,4589,8632
LU,6939,8632
LU,8283,8632
LU,8359,8632
LU,8468,8632
LU,8492,8632
LU,8596,8632
LU,8632,9002
LU,8632,9189
LU,8632,9304
LU,12637,8632
LU,12779,8632
LU,12859,8632
LU,12989,8632
LU,13030,8632
LU,13237,8632
LU,15435,8632
LU,20080,8632
LU,20485,8632
LU,20562,8632
LU,20640,8632
LU,20932,8632
LU,24989,8632
LU,25091,8632
LU,25220,8632
LU,28917,8632
LU,29076,8632
LU,29140,8632
LU,30132,8632
LU,30844,8632
LU,31019,8632
LU,31025,8632
LU,31133,8632
LU,34288,8632
LU,37100,8632
LU,39792,8632
LU,39912,8632
LU,50300,8632
LU,50304,8632
LU,50763,8632
LU,51185,8632
LU,200130,8632
LU,202018,8632
LU,48968,9008
LU,12684,174
LU,12684,1299
LU,12684,2914
