CC,Source,Target
LV,2588,8285
LV,15684,2588
LV,15818,2588
LV,20548,2588
LV,21061,2588
LV,21178,2588
LV,25121,2588
LV,2588,28699
LV,2588,33867
LV,2588,34326
LV,2588,34620
LV,2588,35036
LV,2588,35484
LV,2588,39352
LV,2588,39365
LV,2588,39675
LV,2588,41918
LV,2588,42330
LV,2588,42480
LV,2588,43188
LV,2588,43340
LV,2588,43513
LV,2588,44105
LV,2588,44242
LV,2588,50485
LV,2588,51894
LV,2588,52173
LV,2588,56617
LV,2588,57841
LV,2588,59993
LV,2588,60066
LV,197446,2588
LV,197616,2588
LV,198138,2588
LV,198793,2588
LV,199558,2588
LV,201673,2588
LV,2588,42979
LV,2877,5518
LV,5518,553
LV,1267,5518
LV,1299,5518
LV,1764,5518
LV,2895,5518
LV,3252,5518
LV,3267,5518
LV,5518,6679
LV,5518,6939
LV,5518,8194
LV,5518,8285
LV,5518,8331
LV,5518,8426
LV,5518,8468
LV,5518,8492
LV,5518,8538
LV,5518,8596
LV,5518,8605
LV,5518,9189
LV,5518,9304
LV,12443,5518
LV,12509,5518
LV,12714,5518
LV,12779,5518
LV,12847,5518
LV,12859,5518
LV,13070,5518
LV,13237,5518
LV,16279,5518
LV,20632,5518
LV,20640,5518
LV,24620,5518
LV,24989,5518
LV,25091,5518
LV,25107,5518
LV,25220,5518
LV,29140,5518
LV,29208,5518
LV,30844,5518
LV,31019,5518
LV,31025,5518
LV,31500,5518
LV,31519,5518
LV,33867,5518
LV,34001,5518
LV,34288,5518
LV,34417,5518
LV,35108,5518
LV,35182,5518
LV,35373,5518
LV,35484,5518
LV,35809,5518
LV,39352,5518
LV,39821,5518
LV,39912,5518
LV,41563,5518
LV,41898,5518
LV,42480,5518
LV,43813,5518
LV,43956,5518
LV,44441,5518
LV,44483,5518
LV,47105,5518
LV,47499,5518
LV,47922,5518
LV,48166,5518
LV,48412,5518
LV,48546,5518
LV,49036,5518
LV,49382,5518
LV,51610,5518
LV,51955,5518
LV,52173,5518
LV,5518,56454
LV,5518,56560
LV,5518,56617
LV,5518,57318
LV,5518,57516
LV,5518,59615
LV,197616,5518
LV,199103,5518
LV,199577,5518
LV,199962,5518
LV,12389,5518
LV,50384,5518
LV,24651,5528
LV,5538,8605
LV,24620,5538
LV,42909,5538
LV,44358,5538
LV,51955,5538
LV,199029,5538
LV,20965,5538
LV,35254,5538
LV,42979,5538
LV,24607,6747
LV,41726,8194
LV,57058,8194
LV,201547,8194
LV,202199,8194
LV,42979,8194
LV,12578,8206
LV,51763,8285
LV,56572,8285
LV,12578,8285
LV,12578,8538
LV,12578,9091
LV,12509,12578
LV,12525,12578
