CC,Source,Target
MG,37037,5511
MG,21042,37037
MG,37037,37054
MG,174,37054
MG,1103,37054
MG,1267,37054
MG,3356,37054
MG,3549,37054
MG,37054,3741
MG,37054,6939
MG,37054,8359
MG,37054,8419
MG,37054,8422
MG,37054,8468
MG,37054,9304
MG,37054,9505
MG,12779,37054
MG,12859,37054
MG,13237,37054
MG,14537,37054
MG,16265,37054
MG,19151,37054
MG,20485,37054
MG,25091,37054
MG,25160,37054
MG,29208,37054
MG,29608,37054
MG,29611,37054
MG,29636,37054
MG,30844,37054
MG,30990,37054
MG,31019,37054
MG,31133,37054
MG,31500,37054
MG,33891,37054
MG,34288,37054
MG,36351,37054
MG,21042,37054
MG,37054,37100
MG,37054,37608
MG,37054,39202
MG,37054,39792
MG,37054,41095
MG,37054,41692
MG,37054,41695
MG,37054,41811
MG,37054,42708
MG,37054,43531
MG,37054,48166
MG,37054,50300
MG,37054,56730
MG,202109,37054
MG,37303,9498
MG,37054,57734
