CC,Source,Target
MK,20965,5379
MK,34547,5379
MK,34772,5379
MK,3320,6821
MK,6821,8982
MK,41557,6821
MK,43227,6821
MK,44021,6821
MK,44537,6821
MK,44777,6821
MK,52077,6821
MK,61332,6821
MK,199128,6821
MK,199969,6821
MK,201810,6821
MK,12713,6821
MK,41313,6821
MK,6663,8982
MK,199969,8982
MK,34547,8982
MK,34772,8982
MK,34772,9172
MK,48057,9172
MK,16333,5603
MK,16333,56620
MK,174,34547
MK,34547,5603
MK,34547,47212
MK,34547,49056
MK,34547,56520
MK,34547,57134
MK,34547,57374
MK,1299,34772
MK,34772,5603
MK,34772,6939
MK,34772,8400
MK,34772,8492
MK,25091,34772
MK,33891,34772
MK,34772,8661
MK,29170,34772
MK,34772,41557
MK,34772,43227
MK,34772,44021
MK,34772,44537
MK,34772,44566
MK,34772,44777
MK,34772,47212
MK,34772,47686
MK,34772,48166
MK,34772,48265
MK,34772,49056
MK,34772,57116
MK,34772,57374
MK,34772,59900
MK,34772,61332
MK,39766,8866
MK,39766,43612
MK,43494,8447
MK,43612,8447
MK,13124,43612
MK,43612,49056
MK,43612,57374
MK,201810,43612
MK,44118,44814
MK,48057,6939
MK,12615,48057
MK,34224,48057
MK,48057,48166
MK,48057,57463
MK,174,57134
MK,34772,6821
MK,16333,199128
MK,16333,34772
MK,3356,34772
MK,34772,39766
MK,43494,43612
MK,16333,5379
MK,16333,6821
MK,16333,43612
MK,34547,43612
MK,34547,41313
MK,34547,8928
MK,34547,8866
MK,43612,5483
MK,41313,43612
