CC,Source,Target
SI,174,2107
SI,2107,3549
SI,12785,2107
SI,2107,26415
SI,2107,28933
SI,2107,50195
SI,2107,51988
SI,2107,58046
SI,2107,3356
SI,20965,2107
SI,1299,3212
SI,1853,3212
SI,3212,3303
SI,3212,5603
SI,3212,6720
SI,3212,8596
SI,3212,8928
SI,3212,9002
SI,12644,3212
SI,13237,3212
SI,24747,3212
SI,25017,3212
SI,25034,3212
SI,28682,3212
SI,31060,3212
SI,3212,33929
SI,3212,39912
SI,3212,41543
SI,3212,42560
SI,3212,42613
SI,3212,43061
SI,3212,43128
SI,3212,44647
SI,3212,48653
SI,3212,50634
SI,3212,51143
SI,3212,56513
SI,3212,57291
SI,3212,57554
SI,3212,57623
SI,196846,3212
SI,3212,6939
SI,3212,8591
SI,31042,3212
SI,5435,6764
SI,29121,5435
SI,42681,5435
SI,44073,5435
SI,48419,5435
SI,49618,5435
SI,196912,5435
SI,197864,5435
SI,12778,5435
SI,251,5603
SI,1299,5603
SI,2914,5603
SI,3320,5603
SI,3356,5603
SI,3549,5603
SI,5603,6730
SI,5603,6764
SI,5603,6939
SI,5603,8307
SI,5603,8591
SI,5603,9001
SI,5603,9146
SI,12874,5603
SI,13030,5603
SI,15767,5603
SI,15822,5603
SI,15889,5603
SI,16016,5603
SI,16104,5603
SI,16333,5603
SI,20526,5603
SI,20691,5603
SI,20892,5603
SI,21107,5603
SI,21246,5603
SI,21441,5603
SI,24627,5603
SI,24629,5603
SI,25020,5603
SI,25034,5603
SI,25059,5603
SI,25066,5603
SI,25149,5603
SI,25173,5603
SI,25467,5603
SI,25499,5603
SI,25541,5603
SI,28933,5603
SI,28984,5603
SI,28985,5603
SI,29015,5603
SI,29089,5603
SI,29276,5603
SI,29374,5603
SI,31060,5603
SI,31134,5603
SI,31545,5603
SI,33850,5603
SI,33891,5603
SI,33918,5603
SI,34547,5603
SI,34717,5603
SI,34772,5603
SI,35023,5603
SI,35047,5603
SI,39187,5603
SI,39320,5603
SI,39387,5603
SI,39497,5603
SI,39611,5603
SI,41095,5603
SI,41104,5603
SI,41182,5603
SI,41505,5603
SI,41582,5603
SI,41630,5603
SI,41640,5603
SI,41692,5603
SI,41716,5603
SI,41916,5603
SI,41970,5603
SI,42757,5603
SI,42791,5603
SI,42948,5603
SI,43351,5603
SI,43663,5603
SI,43750,5603
SI,43854,5603
SI,44085,5603
SI,44524,5603
SI,44632,5603
SI,44730,5603
SI,47903,5603
SI,47904,5603
SI,48398,5603
SI,48774,5603
SI,49754,5603
SI,49927,5603
SI,51295,5603
SI,51644,5603
SI,51803,5603
SI,51816,5603
SI,5603,56481
SI,5603,56681
SI,5603,56884
SI,5603,57291
SI,5603,57427
SI,5603,57517
SI,5603,57554
SI,196772,5603
SI,196846,5603
SI,197209,5603
SI,197266,5603
SI,197391,5603
SI,197470,5603
SI,197536,5603
SI,197635,5603
SI,197663,5603
SI,197679,5603
SI,197791,5603
SI,197796,5603
SI,197843,5603
SI,197881,5603
SI,198011,5603
SI,198298,5603
SI,198307,5603
SI,198470,5603
SI,198644,5603
SI,199638,5603
SI,199951,5603
SI,16265,5603
SI,174,8558
SI,12778,8558
SI,174,8591
SI,251,8591
SI,553,8591
SI,1267,8591
SI,1853,8591
SI,2914,8591
SI,3252,8591
SI,3303,8591
SI,5580,8591
SI,6720,8591
SI,6730,8591
SI,6939,8591
SI,8422,8591
SI,8426,8591
SI,8447,8591
SI,8468,8591
SI,8492,8591
SI,8591,8596
SI,8591,8657
SI,8591,8732
SI,8591,9002
SI,8591,9189
SI,12779,8591
SI,12859,8591
SI,12874,8591
SI,13237,8591
SI,15822,8591
SI,16104,8591
SI,20485,8591
SI,20640,8591
SI,21401,8591
SI,24629,8591
SI,24908,8591
SI,24989,8591
SI,25066,8591
SI,25091,8591
SI,25220,8591
SI,25499,8591
SI,28682,8591
SI,28850,8591
SI,28917,8591
SI,28985,8591
SI,29051,8591
SI,29076,8591
SI,29140,8591
SI,29208,8591
SI,29485,8591
SI,29686,8591
SI,30844,8591
SI,31019,8591
SI,31025,8591
SI,31133,8591
SI,31500,8591
SI,31687,8591
SI,34288,8591
SI,34367,8591
SI,36351,8591
SI,39387,8591
SI,39727,8591
SI,39792,8591
SI,39912,8591
SI,41505,8591
SI,41716,8591
SI,42708,8591
SI,42948,8591
SI,43128,8591
SI,43164,8591
SI,43430,8591
SI,44073,8591
SI,44524,8591
SI,44647,8591
SI,44968,8591
SI,46786,8591
SI,47904,8591
SI,47917,8591
SI,47993,8591
SI,48166,8591
SI,48772,8591
SI,48894,8591
SI,49896,8591
SI,50093,8591
SI,56695,8591
SI,57517,8591
SI,57854,8591
SI,60973,8591
SI,196895,8591
SI,197545,8591
SI,198061,8591
SI,198524,8591
SI,198644,8591
SI,198827,8591
SI,199071,8591
SI,201522,8591
SI,13030,8591
SI,50384,8591
SI,12644,8727
SI,34779,8727
SI,9001,9119
SI,553,9119
SI,1239,9119
SI,1267,9119
SI,1764,9119
SI,1853,9119
SI,3252,9119
SI,3356,9119
SI,3549,9119
SI,4589,9119
SI,5391,9119
SI,5580,9119
SI,6667,9119
SI,6720,9119
SI,6730,9119
SI,6939,9119
SI,8218,9119
SI,8359,9119
SI,8400,9119
SI,8426,9119
SI,8447,9119
SI,8468,9119
SI,8492,9119
SI,8596,9119
SI,8732,9119
SI,8928,9119
SI,9002,9119
SI,9050,9119
SI,9119,9189
SI,12779,9119
SI,12859,9119
SI,12874,9119
SI,13030,9119
SI,13237,9119
SI,15767,9119
SI,15946,9119
SI,16184,9119
SI,19151,9119
SI,20485,9119
SI,20526,9119
SI,20640,9119
SI,20691,9119
SI,21441,9119
SI,24908,9119
SI,24989,9119
SI,25020,9119
SI,25091,9119
SI,25149,9119
SI,25220,9119
SI,25303,9119
SI,25541,9119
SI,28766,9119
SI,28917,9119
SI,28951,9119
SI,29076,9119
SI,29140,9119
SI,29208,9119
SI,29374,9119
SI,29686,9119
SI,30844,9119
SI,31019,9119
SI,31025,9119
SI,31095,9119
SI,31133,9119
SI,31500,9119
SI,33918,9119
SI,34288,9119
SI,35099,9119
SI,35186,9119
SI,35343,9119
SI,39187,9119
SI,39792,9119
SI,39912,9119
SI,41582,9119
SI,41692,9119
SI,42473,9119
SI,42700,9119
SI,42708,9119
SI,42757,9119
SI,43034,9119
SI,43430,9119
SI,43854,9119
SI,44455,9119
SI,44549,9119
SI,44632,9119
SI,47336,9119
SI,47360,9119
SI,47666,9119
SI,48166,9119
SI,48398,9119
SI,49015,9119
SI,49402,9119
SI,50815,9119
SI,51573,9119
SI,51577,9119
SI,51615,9119
SI,51735,9119
SI,56481,9119
SI,56651,9119
SI,60973,9119
SI,196837,9119
SI,198492,9119
SI,199051,9119
SI,202137,9119
SI,33924,9119
SI,12644,16477
SI,12644,31095
SI,12644,31134
SI,12644,34367
SI,12644,34717
SI,12644,39727
SI,12644,44993
SI,12644,50344
SI,12644,50815
SI,12644,56635
SI,12644,196895
SI,12778,174
SI,12778,1299
SI,12778,29273
SI,12778,35471
SI,12778,41427
SI,12778,44549
SI,12778,44667
SI,12778,47676
SI,12778,47903
SI,12778,48016
SI,12778,49725
SI,12778,51790
SI,12778,52035
SI,12778,60114
SI,12778,197441
SI,12778,197470
SI,12778,198298
SI,12778,198524
SI,12778,199638
SI,12785,34779
SI,15664,34779
SI,15664,43061
SI,15889,16016
SI,16016,174
SI,16016,8447
SI,16016,25059
SI,16016,29121
SI,16016,34488
SI,16016,41828
SI,16016,43164
SI,16016,43427
SI,16016,44667
SI,16016,44823
SI,16016,49015
SI,16016,49754
SI,16016,49853
SI,16016,51565
SI,16016,197391
SI,16184,34779
SI,20892,43061
SI,21283,8447
SI,21401,34779
SI,24728,34779
SI,24747,42432
SI,25303,34779
SI,251,25467
SI,1853,25467
SI,25467,6720
SI,25467,8400
SI,25467,8447
SI,25467,8596
SI,12615,25467
SI,13237,25467
SI,15958,25467
SI,16178,25467
SI,16265,25467
SI,25144,25467
SI,25467,8534
SI,25467,9081
SI,25467,39912
SI,201683,25467
SI,28850,34779
SI,28951,34779
SI,28985,43061
SI,29015,34779
SI,29051,43061
SI,29089,34779
SI,30841,5391
SI,30841,35549
SI,15935,31095
SI,29208,31095
SI,31095,34594
SI,31095,35549
SI,31711,34779
SI,197791,33929
SI,34024,34779
SI,174,34779
SI,1299,34779
SI,3356,34779
SI,34779,3549
SI,16477,34779
SI,34779,35023
SI,34779,35343
SI,34779,39320
SI,34779,39497
SI,34779,39872
SI,34779,41640
SI,34779,41828
SI,34779,42273
SI,34779,42681
SI,34779,42700
SI,34779,43034
SI,34779,43351
SI,34779,43462
SI,34779,44085
SI,34779,44455
SI,34779,44615
SI,34779,44730
SI,34779,45002
SI,34779,47676
SI,34779,47904
SI,34779,47917
SI,34779,47993
SI,34779,48222
SI,34779,48388
SI,34779,48419
SI,34779,48609
SI,34779,48772
SI,34779,48894
SI,34779,49402
SI,34779,49407
SI,34779,49590
SI,34779,49593
SI,34779,49636
SI,34779,49853
SI,34779,49896
SI,34779,49927
SI,34779,50093
SI,34779,50344
SI,34779,50391
SI,34779,50592
SI,34779,51565
SI,34779,51573
SI,34779,51644
SI,34779,51735
SI,34779,51803
SI,34779,51816
SI,34779,56651
SI,34779,60215
SI,196837,34779
SI,197045,34779
SI,197416,34779
SI,197579,34779
SI,197655,34779
SI,197806,34779
SI,197843,34779
SI,197877,34779
SI,197881,34779
SI,197907,34779
SI,197944,34779
SI,198061,34779
SI,198213,34779
SI,198470,34779
SI,198572,34779
SI,198644,34779
SI,198827,34779
SI,198841,34779
SI,199071,34779
SI,199177,34779
SI,201522,34779
SI,3257,39765
SI,39765,43704
SI,41427,44968
SI,41427,50634
SI,41828,51790
SI,41828,57127
SI,41828,60435
SI,41916,43061
SI,42613,43663
SI,197441,42613
SI,197536,42613
SI,197579,42613
SI,42791,43061
SI,174,43061
SI,251,43061
SI,1853,43061
SI,3356,43061
SI,3549,43061
SI,43061,6720
SI,43061,8596
SI,13237,43061
SI,39912,43061
SI,43061,47336
SI,43061,47360
SI,43061,48609
SI,43061,48774
SI,43061,49402
SI,43061,49407
SI,43061,49593
SI,43061,49636
SI,43061,49896
SI,43061,50592
SI,43061,51143
SI,43061,51295
SI,43061,51615
SI,43061,51803
SI,43061,56695
SI,43061,56884
SI,43061,56993
SI,43061,57854
SI,196772,43061
SI,197511,43061
SI,197545,43061
SI,197655,43061
SI,197663,43061
SI,197679,43061
SI,197806,43061
SI,197843,43061
SI,197907,43061
SI,198307,43061
SI,198572,43061
SI,174,44615
SI,3356,44615
SI,3549,44615
SI,44647,51509
SI,174,44993
SI,3741,44993
SI,47959,9146
SI,201985,48016
SI,16178,48059
SI,31042,48653
SI,174,49402
SI,31042,49402
SI,29453,51434
SI,262254,51790
SI,198011,57554
SI,174,58056
SI,29405,61424
SI,197209,3356
SI,197209,3549
SI,201985,8928
SI,3212,51988
SI,15169,5603
SI,16509,5603
SI,20940,8591
SI,13414,8591
SI,10310,8591
SI,22822,8591
SI,2635,8591
SI,16625,8591
SI,10310,9119
SI,16625,9119
SI,13414,9119
SI,20940,9119
SI,16509,9119
SI,51988,9119
SI,15169,9119
SI,15133,9119
SI,2635,9119
SI,22822,9119
SI,43061,5391
SI,3212,5391
SI,3212,8339
SI,29056,3212
SI,1764,3212
SI,3212,34779
SI,3212,8412
SI,3212,34347
SI,51988,8591
SI,31012,9119
SI,34594,9119
SI,25528,9119
SI,12644,50391
SI,12644,51988
SI,12778,51988
SI,16016,51988
SI,34779,51988
SI,35471,51988
SI,34594,43061
SI,50391,51988
SI,39912,51988
