CC,Source,Target
SK,1853,2607
SK,2607,5610
SK,2607,6855
SK,2607,6862
SK,2607,8264
SK,2607,8501
SK,2607,8620
SK,2607,8778
SK,2607,8928
SK,12905,2607
SK,15935,2607
SK,15962,2607
SK,16160,2607
SK,21019,2607
SK,25373,2607
SK,25496,2607
SK,2607,29086
SK,2607,29208
SK,2607,29405
SK,2607,29531
SK,2607,31117
SK,2607,31127
SK,2607,35328
SK,2607,39392
SK,2607,42005
SK,2607,42841
SK,2607,43451
SK,2607,44185
SK,2607,49044
SK,2607,49115
SK,2607,50128
SK,2607,50953
SK,2607,51947
SK,2607,56349
SK,2607,56656
SK,2607,56800
SK,2607,56926
SK,2607,61192
SK,2607,2852
SK,2607,5578
SK,20965,2607
SK,5628,6855
SK,34820,6658
SK,174,6855
SK,3257,6855
SK,3320,6855
SK,21433,6855
SK,25496,6855
SK,29208,6855
SK,30898,6855
SK,34443,6855
SK,34521,6855
SK,41318,6855
SK,42826,6855
SK,48907,6855
SK,49044,6855
SK,49115,6855
SK,50881,6855
SK,51947,6855
SK,57788,6855
SK,197642,6855
SK,201997,6855
SK,6855,8928
SK,5578,6862
SK,6862,8928
SK,8257,8778
SK,5578,8264
SK,8290,8778
SK,5578,8620
SK,8620,8928
SK,16160,8620
SK,5578,8778
SK,6762,8778
SK,6830,8778
SK,6939,8778
SK,12426,8778
SK,24791,8778
SK,31679,8778
SK,42826,8778
SK,56656,8778
SK,56800,8778
SK,60296,8778
SK,29208,8778
SK,39392,8778
SK,31117,8887
SK,12508,174
SK,12508,6762
SK,12508,8928
SK,12905,251
SK,12905,6663
SK,12905,6881
SK,12905,6939
SK,12905,8218
SK,12905,16367
SK,12905,20485
SK,12905,24744
SK,12905,29208
SK,12905,44234
SK,12905,38949
SK,15962,174
SK,1299,15962
SK,15962,5511
SK,15962,5578
SK,15962,20581
SK,15962,39574
SK,15962,56356
SK,15962,56937
SK,15962,57566
SK,16006,31117
SK,16006,51947
SK,16142,5578
SK,16160,174
SK,16160,6762
SK,16160,20579
SK,16160,21019
SK,16160,24980
SK,16160,25373
SK,16160,29208
SK,16160,35476
SK,16160,39456
SK,16160,39854
SK,16160,42473
SK,16160,49659
SK,16160,50128
SK,16160,56937
SK,16160,57801
SK,16160,57865
SK,16160,58232
SK,16160,59548
SK,16160,201603
SK,16160,16265
SK,15935,16354
SK,20581,57716
SK,20581,60895
SK,21019,38949
SK,24727,5578
SK,24744,39574
SK,24980,5578
SK,25373,29208
SK,25496,5578
SK,202224,25496
SK,29208,42
SK,174,29208
SK,251,29208
SK,260,29208
SK,29208,553
SK,29208,559
SK,29208,680
SK,29208,702
SK,29208,714
SK,29208,786
SK,29208,855
SK,1103,29208
SK,1126,29208
SK,1140,29208
SK,1241,29208
SK,1248,29208
SK,1267,29208
SK,1290,29208
SK,1299,29208
SK,1547,29208
SK,1680,29208
SK,1764,29208
SK,2119,29208
SK,2134,29208
SK,2529,29208
SK,2603,29208
SK,2611,29208
SK,2635,29208
SK,2686,29208
SK,2852,29208
SK,2854,29208
SK,2857,29208
SK,2860,29208
SK,2906,29208
SK,2914,29208
SK,29208,3209
SK,29208,3213
SK,29208,3216
SK,29208,3223
SK,29208,3225
SK,29208,3252
SK,29208,3255
SK,29208,3257
SK,29208,3262
SK,29208,3267
SK,29208,3303
SK,29208,3327
SK,29208,3333
SK,29208,3741
SK,29208,4004
SK,29208,4589
SK,29208,4651
SK,29208,4739
SK,29208,4761
SK,29208,4788
SK,29208,4800
SK,29208,5089
SK,29208,5390
SK,29208,5391
SK,29208,5394
SK,29208,5409
SK,29208,5410
SK,29208,5413
SK,29208,5430
SK,29208,5459
SK,29208,5466
SK,29208,5483
SK,29208,5500
SK,29208,5503
SK,29208,5518
SK,29208,5539
SK,29208,5552
SK,29208,5563
SK,29208,5564
SK,29208,5568
SK,29208,5580
SK,29208,5583
SK,29208,5588
SK,29208,5605
SK,29208,5610
SK,29208,5615
SK,29208,5631
SK,29208,5713
SK,29208,6327
SK,29208,6507
SK,29208,6643
SK,29208,6648
SK,29208,6659
SK,29208,6661
SK,29208,6667
SK,29208,6677
SK,29208,6717
SK,29208,6724
SK,29208,6730
SK,29208,6735
SK,29208,6746
SK,29208,6768
SK,29208,6774
SK,29208,6775
SK,29208,6777
SK,29208,6805
