CC,Source,Target
TZ,12143,6453
TZ,12143,37278
TZ,12143,37349
TZ,12143,37423
TZ,12143,327771
TZ,12143,37662
TZ,22354,36930
TZ,22354,37100
TZ,31810,37084
TZ,32860,36930
TZ,33765,6453
TZ,33765,6762
TZ,33765,37120
TZ,33765,37362
TZ,33765,37419
TZ,327706,33765
TZ,327730,33765
TZ,33765,37100
TZ,33772,37084
TZ,33772,37100
TZ,33791,37213
TZ,3491,36908
TZ,36908,36994
TZ,36909,36930
TZ,36909,37084
TZ,36909,37100
TZ,3356,36930
TZ,3549,36930
TZ,36930,6453
TZ,36930,8966
TZ,15399,36930
TZ,36902,36930
TZ,36930,37213
TZ,36930,37454
TZ,327692,36930
TZ,36930,37662
TZ,36965,37045
TZ,36965,37362
TZ,327730,36965
TZ,36965,37100
TZ,37013,9498
TZ,37013,37419
TZ,15399,37027
TZ,29032,37027
TZ,29039,37027
TZ,36915,37027
TZ,37027,37071
TZ,37027,37084
TZ,37027,37115
TZ,37027,37684
TZ,327739,37027
TZ,37035,6453
TZ,37035,37124
TZ,262206,37035
TZ,27319,37045
TZ,37045,37084
TZ,37084,6453
TZ,15399,37084
TZ,33763,37084
TZ,10798,37084
TZ,25429,37084
TZ,37084,37142
TZ,37084,37143
TZ,37084,37185
TZ,37084,37349
TZ,37084,37364
TZ,37084,37374
TZ,37084,37496
TZ,37084,37545
TZ,37084,37569
TZ,37084,37592
TZ,327774,37084
TZ,327792,37084
TZ,37084,37100
TZ,37084,37662
TZ,37101,6453
TZ,327714,37101
TZ,37100,37126
TZ,3491,37133
TZ,37133,4788
TZ,37133,9498
TZ,37133,37287
TZ,37133,37440
TZ,37100,37149
TZ,36944,37182
TZ,37182,37496
TZ,37100,37213
TZ,1299,327795
TZ,327795,6453
