CC,Source,Target
UG,20294,9129
UG,20294,36997
UG,33771,36977
UG,10798,36977
UG,36977,36997
UG,36977,37075
UG,36977,37273
UG,36991,5511
UG,12455,36991
UG,36991,37386
UG,36991,37446
UG,36991,37683
UG,30844,36997
UG,29039,36997
UG,36997,37113
UG,327724,36997
UG,12491,37048
UG,30844,37048
UG,37063,6762
UG,37063,37122
UG,37063,37609
UG,37063,37610
UG,327727,37063
UG,37063,37100
UG,37063,37273
UG,30844,37075
UG,33771,37075
UG,37075,37273
UG,37075,57731
UG,37113,37273
UG,37027,37115
UG,3549,37273
UG,37273,4558
UG,37273,8966
UG,37273,9498
UG,33770,37273
UG,21491,37273
UG,26754,37273
UG,29039,37273
UG,36915,37273
UG,37044,37273
UG,37156,37273
UG,37273,37354
UG,37273,37578
UG,37273,37609
UG,327717,37273
UG,327724,37273
UG,21491,37408
UG,2905,37446
UG,16637,37446
UG,30844,37516
UG,37100,37516
UG,21491,37683
UG,327687,36944
UG,327690,37282
UG,327690,37637
UG,327692,36930
UG,327744,37100
UG,10798,21491
UG,21491,26754
UG,21491,37662
UG,21491,57731
UG,29032,30844
UG,29032,37027
UG,29039,37027
UG,36997,37610
UG,21491,36944
UG,21491,37100
