CC,Source,Target
UY,1797,20144
UY,1797,6057
UY,1797,27750
UY,174,6057
UY,6057,701
UY,1239,6057
UY,1299,6057
UY,2914,6057
UY,3356,6057
UY,3549,6057
UY,6057,6939
UY,11058,6057
UY,12989,6057
UY,14234,6057
UY,20255,6057
UY,28000,6057
UY,36351,6057
UY,52241,6057
UY,53237,6057
UY,12956,6057
UY,262195,6057
UY,14234,19422
UY,14234,20002
UY,18667,19422
UY,18667,20002
UY,19422,7303
UY,12956,19422
UY,19422,28000
UY,19422,52366
UY,19422,61442
UY,11664,20002
UY,20002,52241
UY,20002,52366
UY,20255,3549
UY,20255,7303
UY,20255,52241
UY,20255,52366
UY,174,27750
UY,27750,293
UY,27750,2907
UY,27750,6509
UY,10490,27750
UY,11537,27750
UY,20080,27750
UY,20965,27750
UY,23148,27750
UY,1916,27750
UY,27750,3597
UY,11340,27750
UY,18592,27750
UY,20312,27750
UY,27750,27807
UY,27750,27817
UY,27750,27841
UY,27750,27929
UY,27750,52470
UY,27750,54308
UY,20312,27859
UY,11556,27913
UY,27916,3549
UY,27814,27916
UY,28000,52224
UY,251,28001
UY,1916,28001
UY,14840,28001
UY,20121,28001
UY,22548,28001
UY,28001,28138
UY,28001,28294
UY,28001,28303
UY,28001,28329
UY,28001,28571
UY,28001,52610
UY,28001,52678
UY,28001,52720
UY,28001,52888
UY,28001,53070
UY,28001,53175
UY,28001,53237
UY,262354,28001
UY,262394,28001
UY,262750,28001
UY,262757,28001
UY,27781,28054
UY,27759,52243
UY,3790,52289
UY,22548,61455
UY,27678,61455
UY,15169,6057
