CC,Source,Target
UZ,34250,8193
UZ,12365,28910
UZ,12365,31203
UZ,15588,34250
UZ,25389,34250
UZ,28910,29385
UZ,28910,30728
UZ,28910,31203
UZ,31203,42654
UZ,31203,47141
UZ,31203,49146
UZ,31203,49235
UZ,31203,50025
UZ,31203,50729
UZ,31492,34718
UZ,28910,34250
UZ,34250,42017
UZ,34250,47752
UZ,34250,48979
UZ,34250,61019
UZ,198107,34250
UZ,28910,34718
UZ,34718,39032
UZ,34718,39231
UZ,34718,42017
UZ,34718,43060
UZ,34718,43533
UZ,34718,47141
UZ,34718,49529
UZ,34718,56759
UZ,34718,57016
UZ,34718,57764
UZ,34718,58254
UZ,34718,59668
UZ,34718,61019
UZ,197917,34718
UZ,28910,39032
UZ,201772,39032
UZ,28910,41202
UZ,28910,47452
UZ,47141,49171
UZ,28910,49273
