CC,Source,Target
VE,3496,8048
VE,3549,6306
VE,5511,6306
VE,12956,6306
VE,286,7908
VE,1239,7908
VE,3356,7908
VE,3549,7908
VE,4181,7908
VE,4739,7908
VE,5769,7908
VE,6939,7908
VE,7246,7908
VE,10964,7908
VE,11058,7908
VE,11271,7908
VE,11514,7908
VE,14187,7908
VE,14339,7908
VE,16735,7908
VE,19151,7908
VE,20080,7908
VE,26415,7908
VE,27744,7908
VE,27936,7908
VE,27964,7908
VE,27996,7908
VE,52358,7908
VE,52386,7908
VE,52410,7908
VE,52413,7908
VE,52427,7908
VE,22927,7908
VE,3549,7965
VE,1299,8048
VE,3257,8048
VE,3356,8048
VE,3549,8048
VE,6762,8048
VE,19192,8048
VE,20312,8048
VE,21980,8048
VE,22726,8048
VE,23007,8048
VE,23146,8048
VE,27782,8048
VE,27862,8048
VE,27889,8048
VE,27892,8048
VE,27893,8048
VE,27957,8048
VE,28012,8048
VE,28089,8048
VE,61461,8048
VE,61471,8048
VE,262176,8048
VE,263182,8048
VE,23520,8048
VE,52320,8048
VE,11562,701
VE,11562,1239
VE,11562,3549
VE,11562,6762
VE,11556,11562
VE,11562,20312
VE,11562,27771
VE,11562,27957
VE,11562,14551
VE,11562,14709
VE,11562,23520
VE,11562,52320
VE,11694,3549
VE,11694,20312
VE,11694,27807
VE,17287,27893
VE,19192,3549
VE,19192,20312
VE,19192,27807
VE,20312,3257
VE,20080,20312
VE,20312,23007
VE,20312,27686
VE,20312,27808
VE,20312,27859
VE,20312,27890
VE,20312,27891
VE,20312,27892
VE,20312,27893
VE,20312,27750
VE,20312,27807
VE,21826,3549
VE,21826,6762
VE,21826,52320
VE,21980,52320
VE,22313,3549
VE,22726,2647
VE,23007,27807
VE,26194,3549
VE,27648,6762
VE,12180,27648
VE,27717,3549
VE,16477,27717
VE,27717,27872
VE,263223,27717
VE,263701,27717
VE,27717,52320
VE,11537,27807
VE,20080,27807
VE,27750,27807
VE,27807,27808
VE,27807,27890
VE,27807,27891
VE,27807,27892
VE,27807,27893
VE,27862,3549
VE,27862,28007
VE,27862,52320
VE,27872,3549
VE,27957,3549
VE,174,28007
VE,28007,3549
VE,28007,6939
VE,28012,3549
VE,52281,6762
VE,42,52320
VE,174,52320
VE,1299,52320
VE,2603,52320
VE,2828,52320
VE,2906,52320
VE,3186,52320
VE,4258,52320
VE,52320,5580
VE,52320,6079
VE,52320,6939
VE,52320,7311
VE,52320,7738
VE,52320,7772
VE,52320,8001
VE,52320,8002
VE,52320,8075
VE,52320,8359
VE,52320,9002
VE,52320,9304
VE,52320,9498
VE,10026,52320
VE,10848,52320
VE,11039,52320
VE,11383,52320
VE,11403,52320
VE,11666,52320
VE,12989,52320
VE,13030,52320
VE,13536,52320
VE,13618,52320
VE,13768,52320
VE,14116,52320
VE,14361,52320
VE,14537,52320
VE,15133,52320
VE,16509,52320
VE,16559,52320
VE,17169,52320
VE,18106,52320
VE,18881,52320
VE,20473,52320
VE,21949,52320
VE,22302,52320
VE,22691,52320
VE,23148,52320
VE,23576,52320
VE,26282,52320
VE,29697,52320
VE,29791,52320
VE,31950,52320
VE,32613,52320
VE,32787,52320
VE,33891,52320
VE,34948,52320
VE,36236,52320
VE,36351,52320
VE,36408,52320
VE,39326,52320
VE,41095,52320
VE,43531,52320
VE,10299,52320
VE,11323,52320
VE,16735,52320
VE,18678,52320
VE,18747,52320
VE,19429,52320
VE,27810,52320
VE,27855,52320
VE,52320,52720
VE,52320,52981
VE,52320,53345
VE,52320,55081
VE,52320,61568
VE,52320,62567
VE,262186,52320
VE,262215,52320
VE,262928,52320
VE,3549,52358
VE,3549,61471
VE,262176,3549
VE,263182,3549
VE,3257,52320
