CC,Source,Target
VN,7552,852
VN,1273,7552
VN,2914,7552
VN,3491,7552
VN,4134,7552
VN,4637,7552
VN,4657,7552
VN,4739,7552
VN,4826,7552
VN,4844,7552
VN,6453,7552
VN,6939,7552
VN,7473,7552
VN,7552,7575
VN,7552,8359
VN,7552,9002
VN,7552,9304
VN,10026,7552
VN,12989,7552
VN,15412,7552
VN,20485,7552
VN,23673,7552
VN,23899,7552
VN,23902,7552
VN,24035,7552
VN,24066,7552
VN,24086,7552
VN,24089,7552
VN,36351,7552
VN,38623,7552
VN,38726,7552
VN,38730,7552
VN,38731,7552
VN,38736,7552
VN,38737,7552
VN,38738,7552
VN,38861,7552
VN,45177,7552
VN,45541,7552
VN,45542,7552
VN,45557,7552
VN,45901,7552
VN,55306,7552
VN,55308,7552
VN,55311,7552
VN,55313,7552
VN,55315,7552
VN,55317,7552
VN,56141,7552
VN,131267,7552
VN,131343,7552
VN,131347,7552
VN,131357,7552
VN,131364,7552
VN,131365,7552
VN,131368,7552
VN,131375,7552
VN,131389,7552
VN,131401,7552
VN,131405,7552
VN,131412,7552
VN,131415,7552
VN,132132,7552
VN,133606,7552
VN,7552,7660
VN,4739,7602
VN,4826,7602
VN,6939,7602
VN,7602,9002
VN,7602,9304
VN,7602,9505
VN,20485,7602
VN,23673,7602
VN,24085,7602
VN,38248,7602
VN,38729,7602
VN,45543,7602
VN,45545,7602
VN,45547,7602
VN,45903,7602
VN,55314,7602
VN,56141,7602
VN,7602,7660
VN,7602,9498
VN,38726,7602
VN,45896,7602
VN,2516,7643
VN,2914,7643
VN,4657,7643
VN,7473,7643
VN,7643,9505
VN,23899,7643
VN,23902,7643
VN,23962,7643
VN,23999,7643
VN,24066,7643
VN,24085,7643
VN,24089,7643
VN,24173,7643
VN,24174,7643
VN,38235,7643
VN,38247,7643
VN,38248,7643
VN,38252,7643
VN,38726,7643
VN,38727,7643
VN,38736,7643
VN,38737,7643
VN,45543,7643
VN,45548,7643
VN,45552,7643
VN,45896,7643
VN,45901,7643
VN,45902,7643
VN,45903,7643
VN,55306,7643
VN,55318,7643
VN,55323,7643
VN,56142,7643
VN,56143,7643
VN,56148,7643
VN,56150,7643
VN,56156,7643
VN,131128,7643
VN,131130,7643
VN,131131,7643
VN,131342,7643
VN,131343,7643
VN,131354,7643
VN,131357,7643
VN,131360,7643
VN,131362,7643
VN,131364,7643
VN,131368,7643
VN,131372,7643
VN,131376,7643
VN,131381,7643
VN,131383,7643
VN,131385,7643
VN,131389,7643
VN,131397,7643
VN,131398,7643
VN,131400,7643
VN,131401,7643
VN,131402,7643
VN,131405,7643
VN,131411,7643
VN,131413,7643
VN,131414,7643
VN,131415,7643
VN,131420,7643
VN,18403,7643
VN,45899,7643
VN,1273,18403
VN,18403,2914
VN,18403,3320
VN,18403,3491
VN,18403,4134
VN,18403,4637
VN,18403,4739
VN,18403,4766
VN,18403,4826
VN,18403,6453
VN,18403,6939
VN,18403,7473
VN,18403,7660
VN,18403,9002
VN,18403,9304
VN,18403,9498
VN,18403,9505
VN,15412,18403
VN,18403,9873
VN,18403,9902
VN,10226,18403
VN,18403,20485
VN,18403,23673
VN,18403,23999
VN,18403,24085
VN,18403,24218
VN,18403,24492
VN,18403,38010
VN,18403,38209
VN,18403,38244
VN,18403,38251
VN,18403,38726
VN,18403,38730
VN,18403,38735
VN,18403,38861
VN,18403,45348
VN,18403,45538
VN,18403,45541
VN,18403,45544
VN,18403,45551
VN,18403,45552
VN,18403,45556
VN,18403,45557
VN,18403,45894
VN,18403,45899
VN,18403,45900
VN,18403,45901
VN,18403,55308
VN,18403,55310
VN,18403,55312
VN,18403,55316
VN,18403,55318
VN,18403,55319
VN,18403,55323
VN,18403,55324
VN,18403,55329
VN,18403,56144
VN,18403,56147
VN,18403,56149
VN,131125,18403
VN,131126,18403
VN,131127,18403
VN,131128,18403
VN,131130,18403
VN,131178,18403
VN,131342,18403
VN,131343,18403
VN,131348,18403
VN,131351,18403
VN,131353,18403
VN,131354,18403
VN,131355,18403
VN,131360,18403
VN,131363,18403
VN,131365,18403
VN,131366,18403
VN,131368,18403
VN,131372,18403
VN,131378,18403
VN,131379,18403
VN,131383,18403
VN,131385,18403
VN,131386,18403
VN,131387,18403
VN,131391,18403
VN,131395,18403
VN,131398,18403
VN,131402,18403
VN,131408,18403
VN,131409,18403
VN,131412,18403
VN,131413,18403
VN,18403,38248
VN,23899,24088
VN,23899,45896
VN,23899,45903
VN,23899,38248
VN,23962,24088
VN,23962,38244
VN,23962,45899
VN,23962,45903
VN,23962,55314
VN,23962,38248
VN,131349,23999
VN,24085,55318
VN,24085,45896
VN,1299,24173
VN,24173,2914
VN,24173,45541
VN,131352,24173
VN,131417,24173
VN,131419,24173
VN,24173,38726
VN,24173,41095
VN,24173,45896
VN,24173,45903
VN,38244,45899
VN,45538,56146
VN,45538,56151
VN,131367,45538
VN,131371,45538
VN,131377,45538
VN,45538,45899
VN,20940,7552
VN,15169,7552
