CC,Source,Target
ZA,2018,2905
ZA,2018,3741
ZA,2018,8094
ZA,10474,2018
ZA,19232,2018
ZA,20144,2018
ZA,2018,30844
ZA,2018,36982
ZA,2018,37105
ZA,2018,37501
ZA,2018,37520
ZA,2018,36937
ZA,2018,36944
ZA,2905,42
ZA,2905,3741
ZA,2905,5713
ZA,2905,6083
ZA,2905,6187
ZA,2905,6968
ZA,2905,8075
ZA,2905,9129
ZA,10474,2905
ZA,10798,2905
ZA,11744,2905
ZA,11845,2905
ZA,12091,2905
ZA,15022,2905
ZA,15805,2905
ZA,16875,2905
ZA,20459,2905
ZA,21433,2905
ZA,25818,2905
ZA,2905,29465
ZA,2905,30844
ZA,2905,33762
ZA,2905,33764
ZA,2905,33769
ZA,2905,36937
ZA,2905,36962
ZA,2905,36974
ZA,2905,37014
ZA,2905,37028
ZA,2905,37105
ZA,2905,37179
ZA,2905,37188
ZA,2905,37255
ZA,2905,37353
ZA,2905,37410
ZA,2905,37424
ZA,2905,37429
ZA,2905,37446
ZA,2905,37463
ZA,2905,37511
ZA,2905,37513
ZA,2905,37612
ZA,2905,327694
ZA,2905,3356
ZA,3067,5713
ZA,3067,36937
ZA,3741,42
ZA,174,3741
ZA,286,3741
ZA,3741,855
ZA,1103,3741
ZA,1267,3741
ZA,1290,3741
ZA,1547,3741
ZA,1680,3741
ZA,2110,3741
ZA,2119,3741
ZA,2134,3741
ZA,2484,3741
ZA,2603,3741
ZA,2611,3741
ZA,2635,3741
ZA,2818,3741
ZA,2860,3741
ZA,2906,3741
ZA,2914,3741
ZA,3209,3741
ZA,3213,3741
ZA,3216,3741
ZA,3225,3741
ZA,3249,3741
ZA,3303,3741
ZA,3356,3741
ZA,3491,3741
ZA,3549,3741
ZA,2047,3741
ZA,2686,3741
ZA,3741,3856
ZA,3741,4004
ZA,3741,4589
ZA,3741,4739
ZA,3741,4788
ZA,3741,4800
ZA,3741,4826
ZA,3741,5410
ZA,3741,5413
ZA,3741,5459
ZA,3741,5466
ZA,3741,5500
ZA,3741,5503
ZA,3741,5552
ZA,3741,5564
ZA,3741,5588
ZA,3741,5713
ZA,3741,6067
ZA,3741,6327
ZA,3741,6461
ZA,3741,6619
ZA,3741,6643
ZA,3741,6648
ZA,3741,6661
ZA,3741,6663
ZA,3741,6667
ZA,3741,6677
ZA,3741,6717
ZA,3741,6730
ZA,3741,6774
ZA,3741,6805
ZA,3741,6871
ZA,3741,6894
ZA,3741,6939
ZA,3741,6968
ZA,3741,7020
ZA,3741,7154
ZA,3741,7160
ZA,3741,7342
ZA,3741,7473
ZA,3741,7642
ZA,3741,7713
ZA,3741,8001
ZA,3741,8075
ZA,3741,8220
ZA,3741,8282
ZA,3741,8301
ZA,3741,8359
ZA,3741,8400
ZA,3741,8419
ZA,3741,8422
ZA,3741,8426
ZA,3741,8447
