CC,Source,Target
ZW,18922,25818
ZW,30844,31856
ZW,30619,36986
ZW,36986,37238
ZW,36986,37204
ZW,30844,37024
ZW,37123,37204
ZW,30844,37183
ZW,37100,37183
ZW,37183,37238
ZW,37183,37306
ZW,37183,37442
ZW,37183,37554
ZW,37183,37204
ZW,37100,37184
ZW,37184,37375
ZW,37184,37568
ZW,37184,37204
ZW,37184,37678
ZW,30844,37189
ZW,37189,37204
ZW,3491,37204
ZW,37204,5713
ZW,37204,37238
ZW,37204,37442
ZW,37204,37568
ZW,37204,37662
ZW,30844,37485
ZW,30844,37568
ZW,30844,327770
ZW,327770,37100
ZW,327770,37238
ZW,30844,36986
ZW,21144,37123
ZW,37123,37183
