code,ip_density,diameter,avg_pgrank,num_intl_countries,num_edges,num_nodes,num_large_providers,avg_deg,avg_bcen,largest_cust_cone,num_announced_ip,num_intl_nodes
BD,0.008,8.0,0.003,10,589,316,1,3.728,0.008,127,2989,29
BF,0.005,5.0,0.067,8,13,15,0,1.733,0.094,4,80,10
BG,0.61,7.0,0.0,92,6894,2523,6,5.465,0.001,175,6393,1970
BA,0.212,6.0,0.011,18,111,91,0,2.44,0.02,15,577,59
BB,0.626,2.0,0.071,4,12,14,0,1.714,0.037,6,169,10
BE,2.389,9.0,0.002,42,1372,439,1,6.251,0.005,163,1198,235
BM,1.811,5.0,0.037,6,31,27,0,2.296,0.044,8,115,16
BN,0.502,3.0,0.063,5,18,16,0,2.25,0.081,3,115,10
BO,0.108,6.0,0.042,7,28,24,0,2.333,0.098,7,675,8
JP,1.598,8.0,0.001,42,1160,768,1,3.021,0.003,352,1577,679
BI,0.004,5.0,0.05,6,22,20,0,2.2,0.094,8,88,9
BJ,0.006,1.0,0.043,11,20,23,0,1.739,0.043,4,76,15
BT,0.043,4.0,0.019,19,52,53,0,1.962,0.024,2,11,49
JM,0.08,4.0,0.045,9,21,22,0,1.909,0.059,15,521,14
JO,0.101,10.0,0.02,11,76,49,0,3.102,0.051,16,653,20
WS,0.115,3.0,0.048,6,21,21,0,2.0,0.073,1,49,15
BR,0.399,8.0,0.0,44,23716,3935,18,12.054,0.001,1054,29098,455
BS,0.37,8.0,0.077,1,12,13,0,1.846,0.157,2,57,7
BY,0.195,6.0,0.007,18,207,150,0,2.76,0.012,53,845,59
BZ,0.446,2.0,0.024,12,34,41,0,1.659,0.008,22,101,32
RU,0.318,10.0,0.0,98,22023,7041,24,6.256,0.0,3332,26419,2372
RW,0.031,5.0,0.037,9,36,27,0,2.667,0.069,12,62,16
RS,0.316,7.0,0.004,32,568,273,2,4.161,0.006,151,1153,128
LT,0.856,6.0,0.009,10,174,113,0,3.08,0.016,73,1002,20
TM,0.004,1.0,0.5,0,1,2,0,1.0,0.0,2,16,0
LR,0.008,1.0,0.5,0,1,2,0,1.0,0.0,2,39,1
RO,0.463,8.0,0.001,47,2621,1399,7,3.747,0.002,358,6024,295
LS,0.052,4.0,0.143,0,6,7,0,1.714,0.238,5,34,0
GW,0.006,2.0,0.333,2,2,3,0,1.333,0.333,1,5,2
GU,1.313,5.0,0.025,12,60,40,0,3.0,0.037,3,69,35
GT,0.038,8.0,0.009,17,143,114,0,2.509,0.023,76,712,80
GR,0.542,8.0,0.004,34,381,275,1,2.771,0.008,111,683,141
GQ,0.025,2.0,0.091,4,8,11,0,1.455,0.016,2,33,6
BH,0.337,6.0,0.009,28,128,111,0,2.306,0.015,15,452,94
