cc,ip_density,diameter,avg_p_len,percentile_cust_cone,avg_h_im,percentile_degree,stub_count,num_intl_countries,tot_peer_edges,num_edges,num_nodes,num_large_providers,avg_deg,avg_v_im,num_intl_nodes,num_large_nodes,num_announced_ip,max_h_im,max_p_len,max_v_im
BD,0.0001,0.5385,0.6344,0.1021,0.2002,0.28,0.0155,0.0474,0.0018,0.0089,0.013,0.0217,0.247,0.0006,0.0033,0.0,0.0188,0.0206,0.5618,0.0003
BE,0.0375,0.6154,0.2595,0.0315,0.3658,0.48,0.0124,0.2211,0.037,0.0213,0.0184,0.0217,0.4789,0.0006,0.0282,0.0,0.0075,0.0764,0.1546,0.0003
BF,0.0001,0.3077,0.4563,0.0199,0.1904,0.078,0.0002,0.0368,0.0,0.0002,0.0005,0.0,0.0664,0.0,0.001,0.0,0.0005,0.0049,0.2618,0.0
BG,0.0096,0.4615,0.2452,0.0378,0.4438,0.16,0.0338,0.4842,0.2432,0.1047,0.1043,0.1304,0.4052,0.1615,0.2297,0.1111,0.0402,0.0834,0.218,0.0851
BA,0.0033,0.3846,0.4721,0.0499,0.2189,0.108,0.0014,0.0947,0.0018,0.0017,0.0038,0.0,0.1295,0.0012,0.007,0.0,0.0036,0.0146,0.1517,0.0001
BB,0.0098,0.0769,0.4093,0.0283,0.0,0.074,0.0001,0.0158,0.0,0.0002,0.0005,0.0,0.0646,0.0,0.001,0.0,0.0011,0.0,0.3258,0.0
BN,0.0079,0.1538,0.3706,0.0157,0.1975,0.125,0.0002,0.0211,0.0003,0.0003,0.0006,0.0,0.1132,0.0,0.001,0.0,0.0007,0.0051,0.3685,0.0
BO,0.0017,0.3846,0.551,0.0328,0.1758,0.117,0.0009,0.0316,0.0,0.0004,0.0009,0.0,0.1207,0.0,0.0008,0.0,0.0042,0.0077,0.4202,0.0
BH,0.0053,0.3846,0.4746,0.0598,0.3213,0.06,0.0006,0.1684,0.0037,0.0021,0.005,0.0,0.1171,0.0,0.0122,0.0,0.0028,0.0273,0.4067,0.0
BI,0.0,0.3077,0.3269,0.0278,0.2214,0.048,0.0005,0.0263,0.0,0.0003,0.0007,0.0,0.1086,0.0,0.0009,0.0,0.0005,0.0057,0.1506,0.0
BJ,0.0001,0.0,0.2734,0.0147,0.1136,0.114,0.0004,0.0526,0.0002,0.0003,0.0009,0.0,0.0669,0.0001,0.0016,0.0,0.0005,0.0049,0.0562,0.0
BT,0.0007,0.1538,0.1497,0.0105,0.1402,0.002,0.0001,0.1105,0.0021,0.0009,0.0024,0.0,0.0905,0.0046,0.0063,0.0,0.0001,0.0036,0.1236,0.0002
JM,0.0012,0.3077,0.5191,0.0659,0.247,0.114,0.0004,0.0526,0.0,0.0004,0.0009,0.0,0.1132,0.0,0.0017,0.0,0.0033,0.0103,0.2416,0.0
BW,0.001,0.2308,0.3701,0.0383,0.3967,0.02,0.0009,0.1,0.0018,0.001,0.0027,0.0,0.0933,0.0001,0.0059,0.0,0.0006,0.0103,0.167,0.0
WS,0.0018,0.1538,0.4407,0.0,0.0745,0.04,0.0004,0.0263,0.0,0.0003,0.0008,0.0,0.0905,0.0,0.0016,0.0,0.0003,0.0037,0.2509,0.0
BR,0.0062,0.5385,0.1508,0.0367,0.5443,0.6,0.199,0.2421,0.769,0.3595,0.1628,0.3913,1.0,0.0278,0.0537,1.0,0.1829,0.2264,0.0872,0.062
BY,0.003,0.3846,0.5558,0.0346,0.4892,0.094,0.0056,0.0947,0.0032,0.0033,0.0063,0.0,0.1658,0.0028,0.0072,0.0,0.0053,0.0148,0.3596,0.0003
BZ,0.007,0.0769,0.8867,0.0735,0.0,0.039,0.0005,0.0632,0.0,0.0005,0.0017,0.0,0.0604,0.0,0.0037,0.0,0.0006,0.0,0.5112,0.0
RU,0.005,0.7692,0.2917,0.0367,0.6457,0.26,0.2709,0.5632,0.527,0.3472,0.2955,0.5217,0.49,0.0239,0.2893,0.4074,0.166,0.5378,0.0966,0.0804
RW,0.0005,0.3077,0.293,0.0399,0.1568,0.145,0.0004,0.0474,0.0001,0.0006,0.0011,0.0,0.1552,0.0001,0.0019,0.0,0.0004,0.0069,0.2011,0.0
RS,0.0049,0.4615,0.3565,0.0572,0.4982,0.144,0.0085,0.1737,0.0133,0.0097,0.0122,0.0435,0.299,0.0005,0.0176,0.0,0.0072,0.0587,0.1775,0.0001
LT,0.0134,0.4615,0.5256,0.0336,0.3507,0.12,0.0065,0.1316,0.0053,0.0056,0.0098,0.0,0.1871,0.0001,0.0148,0.0,0.0063,0.0586,0.2854,0.0
LU,0.0395,0.4615,0.1387,0.0472,0.3752,0.355,0.0031,0.1842,0.0242,0.0116,0.0105,0.0,0.4499,0.0007,0.0227,0.0,0.0026,0.0477,0.0412,0.0001
LR,0.0001,0.3077,0.1455,0.0084,0.1203,0.054,0.0003,0.0316,0.0,0.0002,0.0005,0.0,0.0646,0.0,0.0009,0.0,0.0002,0.0041,0.2884,0.0
RO,0.0073,0.5385,0.3739,0.021,0.487,0.12,0.0713,0.2684,0.0311,0.0427,0.0595,0.1522,0.2639,0.0064,0.0392,0.0,0.0378,0.1288,0.1266,0.0052
GW,0.0001,0.0769,0.4088,0.0,0.0,0.018,0.0001,0.0053,0.0,0.0,0.0,0.0,0.0301,0.0,0.0001,0.0,0.0,0.0,0.5281,0.0
GT,0.0006,0.5385,0.4148,0.1312,0.2865,0.144,0.0016,0.0947,0.0,0.0022,0.0048,0.0,0.1346,0.0003,0.0098,0.0,0.0045,0.0238,0.4202,0.0001
GR,0.0086,0.4615,0.245,0.0388,0.3836,0.12,0.0083,0.1895,0.0061,0.0063,0.012,0.0217,0.1653,0.0008,0.0182,0.0,0.0043,0.0552,0.1101,0.0002
GQ,0.0004,0.0769,0.355,0.0105,0.0369,0.03,0.0002,0.0158,0.0,0.0001,0.0004,0.0,0.0412,0.0,0.0006,0.0,0.0002,0.001,0.2584,0.0
JP,0.0251,0.5385,0.2985,0.0512,0.4976,0.1,0.0048,0.2211,0.0237,0.0177,0.0319,0.0217,0.1828,0.0163,0.0796,0.0,0.0099,0.0964,0.1506,0.0034
GY,0.0013,0.1538,0.456,0.0142,0.083,0.054,0.0001,0.0105,0.0,0.0001,0.0002,0.0,0.0646,0.0,0.0003,0.0,0.0001,0.0021,0.2584,0.0
GE,0.005,0.4615,0.4422,0.0577,0.5479,0.02,0.0042,0.2947,0.0215,0.0093,0.022,0.0,0.1187,0.0003,0.0541,0.0,0.0027,0.0491,0.2764,0.0
GB,0.0298,0.5385,0.0912,0.0315,0.5327,0.8,0.0965,0.6895,0.8838,0.3918,0.2126,0.2174,0.8197,0.0914,0.4138,0.4074,0.0671,0.2841,0.0831,0.1935
GA,0.0032,0.3077,0.4329,0.0199,0.2231,0.09,0.0005,0.0211,0.0,0.0002,0.0005,0.0,0.1026,0.0,0.0006,0.0,0.0005,0.0058,0.338,0.0
GN,0.0,0.1538,0.1711,0.0,0.0369,0.04,0.0004,0.0263,0.0,0.0001,0.0005,0.0,0.0487,0.0,0.0007,0.0,0.0002,0.001,0.1536,0.0
GM,0.0002,0.2308,0.1977,0.0105,0.0277,0.06,0.0003,0.0105,0.0,0.0002,0.0004,0.0,0.1235,0.0,0.0003,0.0,0.0002,0.0007,0.1313,0.0
KW,0.0081,0.4615,0.5563,0.1031,0.2028,0.114,0.0029,0.1211,0.0025,0.0025,0.0055,0.0,0.1311,0.0017,0.0099,0.0,0.0101,0.0105,0.4562,0.0002
GH,0.0006,0.4615,0.5435,0.0302,0.1954,0.126,0.0023,0.0632,0.0002,0.0016,0.003,0.0,0.1605,0.0001,0.004,0.0,0.0018,0.0198,0.2584,0.0
OM,0.0034,0.3077,0.1628,1.0,0.4401,0.024,0.0004,0.1421,0.0055,0.0024,0.0039,0.0217,0.21,0.0,0.0103,0.0,0.0022,0.0114,0.6697,0.0
JO,0.0016,0.6923,0.3864,0.0315,0.2406,0.156,0.0016,0.0526,0.0002,0.0011,0.0019,0.0,0.1903,0.0,0.0022,0.0,0.0041,0.0189,0.5591,0.0
HR,0.0087,0.4615,0.1374,0.0464,0.353,0.132,0.0062,0.1105,0.0028,0.0041,0.0077,0.0217,0.1681,0.0003,0.0094,0.0,0.0019,0.0464,0.1182,0.0001
HT,0.0002,0.2308,0.4234,0.0223,0.183,0.076,0.0003,0.0158,0.0,0.0002,0.0004,0.0,0.0905,0.0,0.0006,0.0,0.0009,0.0047,0.4185,0.0
HU,0.0094,0.5385,0.1754,0.0157,0.3616,0.1,0.0112,0.1737,0.017,0.0116,0.016,0.0217,0.267,0.0012,0.0239,0.0,0.007,0.0491,0.1155,0.0004
HK,0.0249,0.4615,0.2088,0.0488,0.5336,0.16,0.023,0.5368,0.1527,0.0782,0.1027,0.087,0.2853,0.0958,0.2434,0.0741,0.0556,0.1593,0.2163,0.0817
HN,0.0009,0.5385,0.5618,0.0472,0.3245,0.166,0.0022,0.0316,0.0,0.001,0.0022,0.0,0.1399,0.0001,0.0019,0.0,0.0039,0.0185,0.4202,0.0
AD,0.0093,0.0769,0.3221,0.0,0.0,0.034,0.0001,0.0105,0.0,0.0,0.0001,0.0,0.0453,0.0,0.0002,0.0,0.0002,0.0,0.5281,0.0
PT,0.0096,0.3846,0.2246,0.0976,0.5038,0.088,0.0039,0.2316,0.0085,0.0057,0.0106,0.0217,0.1737,0.0012,0.022,0.0,0.004,0.039,0.185,0.0002
KN,0.0185,0.0769,0.3198,0.0,0.0,0.0,0.0001,0.0211,0.0006,0.0003,0.0009,0.0,0.0754,0.0,0.0024,0.0,0.0,0.0,0.3258,0.0
PY,0.0026,0.5385,0.4214,0.0567,0.1889,0.179,0.0017,0.0263,0.0,0.0008,0.0017,0.0,0.1193,0.0,0.0017,0.0,0.0039,0.0121,0.3056,0.0
PA,0.0078,0.6923,0.2729,0.0294,0.3177,0.1,0.0045,0.0947,0.0007,0.0027,0.0055,0.0,0.1438,0.0002,0.0066,0.0,0.0047,0.0309,0.3231,0.0
PG,0.0001,0.2308,0.5249,0.0294,0.2261,0.077,0.0004,0.0158,0.0003,0.0004,0.0009,0.0,0.0981,0.0,0.0017,0.0,0.0003,0.0058,0.2787,0.0
PE,0.0016,0.4615,0.2447,0.0669,0.2007,0.162,0.0012,0.0579,0.0,0.0011,0.0024,0.0,0.1305,0.0001,0.0037,0.0,0.0104,0.0154,0.2315,0.0
PK,0.0004,0.3077,0.355,0.0588,0.3127,0.1,0.0043,0.1632,0.0035,0.0038,0.0076,0.0,0.1532,0.0034,0.0122,0.0,0.0233,0.0267,0.4337,0.0005
PH,0.0008,0.5385,0.3874,0.0352,0.3208,0.18,0.0133,0.1316,0.0067,0.0117,0.016,0.0217,0.2688,0.0012,0.0201,0.0,0.0208,0.0644,0.3124,0.0004
PL,0.0085,0.6154,0.1817,0.021,0.5443,0.286,0.1102,0.2579,0.1009,0.0947,0.0874,0.2609,0.4446,0.0077,0.0344,0.0741,0.0316,0.202,0.2483,0.008
ZM,0.0011,0.5385,0.3799,0.0152,0.0755,0.08,0.0009,0.0368,0.0002,0.0005,0.0011,0.0,0.103,0.0,0.0015,0.0,0.0006,0.0036,0.159,0.0
EE,0.016,0.5385,0.1307,0.0283,0.3154,0.1,0.0043,0.1579,0.004,0.0043,0.0087,0.0217,0.1517,0.0003,0.0166,0.0,0.0029,0.035,0.1011,0.0001
EG,0.0035,0.2308,0.5937,0.0808,0.9886,0.074,0.0035,0.1158,0.002,0.0027,0.0052,0.0217,0.1604,0.0006,0.0084,0.0,0.034,0.0256,0.3798,0.0
ZA,0.0078,0.4615,0.2284,0.0417,0.5425,0.28,0.0141,0.4684,0.0662,0.0318,0.0391,0.0435,0.311,0.0019,0.0815,0.037,0.0246,0.0931,0.1067,0.0007
EC,0.0025,0.3846,0.5621,0.0596,0.0813,0.184,0.0032,0.0421,0.0001,0.0015,0.0029,0.0,0.1625,0.0001,0.0021,0.0,0.02,0.0033,0.3663,0.0
AL,0.0019,0.4615,0.5048,0.0598,0.175,0.14,0.002,0.0632,0.0,0.0013,0.0025,0.0,0.1665,0.0,0.0024,0.0,0.002,0.0208,0.3258,0.0
AO,0.0008,0.4615,0.2633,0.0493,0.2067,0.098,0.0019,0.1211,0.0025,0.0018,0.0042,0.0,0.1204,0.0014,0.0079,0.0,0.001,0.0121,0.2584,0.0002
KZ,0.0027,0.4615,0.9465,0.1532,0.304,0.188,0.006,0.0789,0.0027,0.0043,0.0069,0.0217,0.2138,0.0002,0.0078,0.0,0.0159,0.0435,0.8921,0.0001
ET,0.0,0.0769,0.5791,0.0,0.0,0.048,0.0001,0.0105,0.0,0.0,0.0001,0.0,0.0543,0.0,0.0003,0.0,0.0007,0.0,1.0,0.0
ZW,0.0001,0.3077,0.1721,0.0257,0.1679,0.1,0.0008,0.0263,0.0,0.0005,0.0009,0.0,0.1536,0.0,0.0008,0.0,0.001,0.007,0.1506,0.0
ES,0.0102,0.3846,0.098,0.0262,0.3968,0.18,0.0332,0.3368,0.0316,0.0303,0.0377,0.087,0.3066,0.0065,0.0436,0.0,0.0337,0.0797,0.0292,0.0037
MG,0.0001,0.1538,0.3387,0.0142,0.142,0.003,0.0001,0.1105,0.0021,0.0008,0.0023,0.0,0.0843,0.0,0.0063,0.0,0.0017,0.0037,0.3371,0.0
MA,0.0046,0.3077,0.3367,0.0464,0.3078,0.12,0.0004,0.0368,0.0,0.0004,0.0008,0.0,0.1336,0.0,0.0014,0.0,0.0053,0.008,0.2584,0.0
MC,0.0249,0.0769,0.2294,0.0105,0.0,0.048,0.0,0.0421,0.0006,0.0002,0.0007,0.0,0.0805,0.0,0.0019,0.0,0.0001,0.0,0.309,0.0
UZ,0.0001,0.2308,0.9211,0.0604,0.2337,0.163,0.0023,0.0105,0.0,0.0006,0.0016,0.0,0.1041,0.0001,0.0003,0.0,0.0008,0.0108,0.8247,0.0
MM,0.0,0.4615,0.7739,0.031,0.1684,0.104,0.0003,0.0474,0.0001,0.0004,0.0011,0.0,0.0968,0.0001,0.0019,0.0,0.0005,0.01,0.6575,0.0
ML,0.0001,0.2308,0.4769,0.0134,0.1107,0.053,0.0002,0.0105,0.0,0.0001,0.0002,0.0,0.0679,0.0,0.0003,0.0,0.0001,0.0029,0.3056,0.0
